"county","party","candidate","votes","persons_per_household"
DuPage,Democrat,Bernie Sanders,65159,2.71
Ouachita,Democrat,Hillary Clinton,2095,2.36
Lafayette,Democrat,Hillary Clinton,443,2.7
Sublette,Democrat,Bernie Sanders,3,2.84
St. Bernard,Democrat,Hillary Clinton,1057,2.81
San Mateo,Democrat,Hillary Clinton,47358,2.79
Berkeley,Democrat,Hillary Clinton,9471,2.77
Deer Lodge,Democrat,Hillary Clinton,986,2.17
Boone,Republican,Donald Trump,740,2.38
Williamsburg,Democrat,Hillary Clinton,4609,2.76
Tippecanoe,Republican,Donald Trump,10296,2.43
Daviess,Republican,Donald Trump,634,2.61
Trempealeau,Democrat,Bernie Sanders,2429,2.43
Putnam,Democrat,Bernie Sanders,504,2.39
Bell,Republican,Donald Trump,692,2.46
Harlan,Democrat,Bernie Sanders,1092,2.51
Harrison,Republican,Donald Trump,4326,2.67
Lowndes,Democrat,Hillary Clinton,3782,2.61
Martin,Republican,Donald Trump,16065,2.41
Phelps,Republican,Donald Trump,3425,2.5
Surry,Democrat,Hillary Clinton,812,2.66
Madison,Democrat,Hillary Clinton,4351,2.64
Fayette,Republican,Donald Trump,8055,2.81
Coal,Democrat,Bernie Sanders,456,2.51
Carter,Republican,Donald Trump,349,2.46
Laurel,Republican,Donald Trump,2313,2.55
Box Butte,Republican,Donald Trump,1188,2.28
Hyde,Democrat,Hillary Clinton,459,2.34
St. Louis City,Democrat,Hillary Clinton,34458,2.19
Miller,Republican,Ted Cruz,2741,2.49
Sonoma,Democrat,Hillary Clinton,44923,2.57
Jackson,Republican,Donald Trump,5463,2.53
Centre,Democrat,Bernie Sanders,10269,2.4
Cuyahoga,Democrat,Hillary Clinton,125914,2.33
Radford,Democrat,Bernie Sanders,655,2.49
Sebastian,Republican,Donald Trump,6030,2.53
Caldwell,Republican,Donald Trump,780,2.42
Dona Ana,Democrat,Hillary Clinton,9097,2.79
Twiggs,Democrat,Hillary Clinton,818,2.85
Hale,Democrat,Hillary Clinton,2426,2.56
Berrien,Republican,Donald Trump,1563,2.69
Boise,Republican,Donald Trump,691,2.29
Ste. Genevieve,Republican,Donald Trump,1080,2.45
Marquette,Democrat,Bernie Sanders,5530,2.38
Big Horn,Democrat,Hillary Clinton,2,2.59
Hampton,Democrat,Hillary Clinton,13529,2.52
Delta,Democrat,Bernie Sanders,417,2.33
Parke,Republican,Donald Trump,1996,2.66
Antrim,Republican,Donald Trump,1969,2.39
Payne,Democrat,Bernie Sanders,3829,2.33
Lewis,Republican,Donald Trump,801,2.39
Page,Republican,Ted Cruz,249,2.27
Iberia,Democrat,Hillary Clinton,2171,2.71
Broward,Democrat,Hillary Clinton,132527,2.67
Jasper,Republican,Ted Cruz,11113,2.55
Kinney,Democrat,Hillary Clinton,211,2.81
Ogemaw,Republican,Donald Trump,1612,2.36
Sequoyah,Democrat,Bernie Sanders,1872,2.65
Granite,Republican,Donald Trump,487,2.07
Rankin,Republican,Donald Trump,13729,2.6
Mason,Republican,Donald Trump,1785,2.26
Simpson,Democrat,Hillary Clinton,708,2.54
Ashley,Democrat,Hillary Clinton,1375,2.47
Pondera,Republican,Donald Trump,930,2.52
Terrell,Democrat,Hillary Clinton,67,2.08
Hidalgo,Democrat,Hillary Clinton,515,2.57
Hancock,Republican,Donald Trump,1494,2.3
Merrick,Republican,Donald Trump,775,2.29
Kankakee,Republican,Donald Trump,6403,2.62
Macoupin,Democrat,Bernie Sanders,3552,2.41
Madison,Democrat,Bernie Sanders,4385,2.49
Knox,Democrat,Bernie Sanders,3168,2.25
Crockett,Democrat,Hillary Clinton,266,2.73
Lake,Democrat,Bernie Sanders,2704,2.38
Dolores,Democrat,Bernie Sanders,22,2.19
Greene,Democrat,Hillary Clinton,1643,2.71
Alamosa,Democrat,Bernie Sanders,167,2.51
Casey,Republican,Donald Trump,1029,2.59
St. Tammany,Republican,Donald Trump,12933,2.68
Tuscola,Republican,Donald Trump,3750,2.55
Union,Republican,Donald Trump,1332,2.47
Adams,Republican,Donald Trump,354,2.27
Henderson,Republican,Donald Trump,516,2.22
Kershaw,Democrat,Hillary Clinton,3743,2.55
Camden,Democrat,Hillary Clinton,43720,2.69
Park,Republican,Donald Trump,1901,2.39
Randolph,Republican,Donald Trump,1887,2.59
Montezuma,Democrat,Bernie Sanders,412,2.36
Lee,Republican,Ted Cruz,5921,2.59
Mariposa,Republican,Donald Trump,1940,2.36
Greene,Republican,Donald Trump,1014,2.33
Paulding,Republican,Donald Trump,10002,2.99
Washita,Democrat,Bernie Sanders,700,2.48
Delaware,Democrat,Hillary Clinton,440,2.44
Nevada,Democrat,Bernie Sanders,8472,2.38
Blaine,Republican,Donald Trump,543,2.28
Ohio,Democrat,Bernie Sanders,943,2.71
Grenada,Republican,Donald Trump,1727,2.69
Pointe Coupee,Democrat,Hillary Clinton,1680,2.55
Butler,Democrat,Bernie Sanders,350,2.37
Kern,Republican,Donald Trump,33838,3.19
Cass,Republican,Donald Trump,2859,2.63
Mercer,Democrat,Bernie Sanders,1331,2.42
Nash,Democrat,Hillary Clinton,8554,2.47
Morgan,Republican,Donald Trump,2378,2.32
Warren,Republican,Donald Trump,1321,2.55
Lapeer,Republican,Donald Trump,7446,2.65
Placer,Republican,Donald Trump,25700,2.66
Hancock,Democrat,Hillary Clinton,1112,2.78
Attala,Democrat,Hillary Clinton,1519,2.65
Pope,Republican,Donald Trump,507,2.33
Rush,Republican,Donald Trump,2362,2.47
Franklin,Republican,Donald Trump,333,2.21
Montgomery,Democrat,Hillary Clinton,28650,2.49
Garvin,Democrat,Bernie Sanders,1505,2.62
Christian,Republican,Ted Cruz,10586,2.63
McIntosh,Republican,Donald Trump,1078,2.81
Thomas,Republican,Donald Trump,2649,2.51
San Benito,Democrat,Hillary Clinton,2022,3.28
Cross,Republican,Donald Trump,972,2.57
Bingham,Republican,Ted Cruz,3471,3.08
Mora,Democrat,Hillary Clinton,986,3.1
Mineral,Democrat,Bernie Sanders,25,1.85
Silver Bow,Democrat,Hillary Clinton,4089,2.21
Mason,Republican,Donald Trump,896,2.27
Pinellas,Democrat,Hillary Clinton,63699,2.24
Jones,Democrat,Bernie Sanders,480,2.38
Chesterfield,Democrat,Hillary Clinton,22674,2.78
Oklahoma,Democrat,Hillary Clinton,34255,2.52
Muscatine,Democrat,Bernie Sanders,972,2.58
Spencer,Democrat,Bernie Sanders,806,2.76
Dickinson,Republican,Donald Trump,1708,2.25
Garden,Republican,Donald Trump,372,2.29
Garfield,Democrat,Bernie Sanders,734,2.76
Keya Paha,Republican,Donald Trump,203,1.97
Fairfield,Democrat,Hillary Clinton,3260,2.46
Lafayette,Republican,Donald Trump,7171,2.54
Chase,Republican,Donald Trump,476,2.3
Neshoba,Republican,Donald Trump,2249,2.69
Essex,Democrat,Hillary Clinton,642,2.57
Laurens,Republican,Donald Trump,3088,2.67
Marshall,Democrat,Hillary Clinton,3361,2.67
White,Republican,Donald Trump,2715,2.29
Tipton,Republican,Donald Trump,2269,2.36
Converse,Democrat,Bernie Sanders,3,2.41
Grant,Republican,Ted Cruz,1329,2.59
Livingston,Republican,Ted Cruz,3235,2.37
Van Buren,Republican,Donald Trump,1198,2.4
Calaveras,Republican,Donald Trump,4902,2.38
Atchison,Republican,Donald Trump,487,2.21
Hitchcock,Republican,Donald Trump,305,2.07
Mecklenburg,Democrat,Hillary Clinton,71265,2.54
Montrose,Democrat,Bernie Sanders,258,2.44
Gunnison,Democrat,Bernie Sanders,481,2.27
Turner,Republican,Donald Trump,652,2.61
Sumter,Democrat,Hillary Clinton,1960,2.63
Jackson,Democrat,Hillary Clinton,450,2.3
St. James,Democrat,Hillary Clinton,2114,2.78
Moultrie,Republican,Ted Cruz,1321,2.54
Fayette,Democrat,Hillary Clinton,525,2.4
Rapides,Democrat,Hillary Clinton,4722,2.68
Dinwiddie,Democrat,Hillary Clinton,1935,2.73
Eaton,Democrat,Bernie Sanders,7007,2.45
Clay,Republican,Ted Cruz,13559,2.56
Montgomery,Republican,Donald Trump,672,2.39
Iowa,Democrat,Hillary Clinton,357,2.37
Carroll,Democrat,Hillary Clinton,504,2.35
Liberty,Democrat,Hillary Clinton,2783,2.73
Screven,Republican,Donald Trump,801,2.72
Jackson,Republican,Donald Trump,9934,2.77
Pima,Democrat,Hillary Clinton,56317,2.5
LaClede,Republican,Donald Trump,3493,2.53
Genesee,Democrat,Hillary Clinton,31284,2.51
Tazewell,Republican,Ted Cruz,12085,2.45
Warren,Democrat,Hillary Clinton,1217,2.58
Chouteau,Republican,Donald Trump,865,2.53
Martinsville,Democrat,Hillary Clinton,834,2.22
Jeff Davis,Democrat,Hillary Clinton,1806,2.48
Franklin City,Democrat,Hillary Clinton,831,2.37
Carroll,Democrat,Bernie Sanders,0,2.47
Clarke,Democrat,Hillary Clinton,3148,2.63
Hooker,Republican,Donald Trump,119,2.21
Lee,Republican,Donald Trump,273,2.28
Kent,Republican,Donald Trump,8294,2.74
Niobrara,Democrat,Bernie Sanders,2,2.18
Clackamas,Democrat,Bernie Sanders,27969,2.58
Jefferson,Republican,Donald Trump,1648,2.46
Crawford,Republican,Donald Trump,1508,2.41
Covington,Republican,Donald Trump,1724,2.73
Jay,Republican,Donald Trump,2194,2.57
Gibson,Republican,Donald Trump,4237,2.5
Dawson,Republican,Donald Trump,1685,2.21
Pulaski,Republican,Donald Trump,2802,2.74
Custer,Republican,Donald Trump,430,2.26
Monroe,Republican,Donald Trump,698,2.46
Yuba,Republican,Donald Trump,3210,2.93
Winnebago,Democrat,Bernie Sanders,230,2.23
Wapello,Democrat,Hillary Clinton,817,2.38
JoDaviess,Republican,Donald Trump,1666,2.33
Huntington,Republican,Donald Trump,4100,2.52
Ringgold,Democrat,Hillary Clinton,132,2.39
Teton,Republican,Donald Trump,882,2.52
Socorro,Democrat,Hillary Clinton,1050,3.23
Union,Democrat,Hillary Clinton,822,2.6
Clarke,Democrat,Hillary Clinton,232,2.49
Fulton,Democrat,Hillary Clinton,82576,2.49
Lewis and Clark,Republican,Donald Trump,6194,2.35
Orange,Democrat,Bernie Sanders,18096,2.45
Wilcox,Republican,Donald Trump,602,2.6
Park,Democrat,Bernie Sanders,8,2.35
Monroe,Democrat,Hillary Clinton,37309,2.42
Anderson,Democrat,Bernie Sanders,1649,2.58
Jeff Davis,Democrat,Hillary Clinton,738,2.67
Lincoln,Republican,Donald Trump,742,2.3
Prince George,Democrat,Hillary Clinton,1992,2.92
Bleckley,Republican,Donald Trump,935,2.9
Bibb,Republican,Donald Trump,1959,3.03
DeKalb,Democrat,Hillary Clinton,82348,2.59
Autauga,Republican,Donald Trump,5387,2.71
Allen,Democrat,Hillary Clinton,536,2.66
Richmond,Democrat,Hillary Clinton,2941,2.48
Bureau,Republican,Donald Trump,2185,2.44
Ben Hill,Republican,Donald Trump,1020,2.83
Daviess,Democrat,Bernie Sanders,5188,2.51
Hamilton,Democrat,Hillary Clinton,758,2.45
Colfax,Republican,Donald Trump,494,2.81
Hudson,Democrat,Hillary Clinton,49798,2.61
Cochise,Republican,Donald Trump,6339,2.47
Amite,Democrat,Hillary Clinton,1212,2.49
Warren,Democrat,Bernie Sanders,5365,2.47
Costilla,Democrat,Hillary Clinton,64,2.61
Hamilton,Republican,Donald Trump,766,2.36
Wayne,Republican,Donald Trump,1735,2.52
Lauderdale,Republican,Donald Trump,7502,2.36
Greenlee,Democrat,Hillary Clinton,497,2.54
Madison,Republican,Donald Trump,1412,2.1
Solano,Democrat,Hillary Clinton,31753,2.85
Colfax,Democrat,Hillary Clinton,949,2.33
Carroll,Republican,Donald Trump,0,2.47
Toole,Republican,Donald Trump,863,2.3
Washington,Republican,Ted Cruz,783,2.52
Lee,Democrat,Hillary Clinton,7137,2.49
Roscommon,Republican,Donald Trump,2257,2.07
Iosco,Republican,Donald Trump,1973,2.26
Columbia,Democrat,Bernie Sanders,3302,2.38
Escambia,Republican,Donald Trump,20856,2.51
Greene,Democrat,Hillary Clinton,2714,2.72
Warrick,Republican,Donald Trump,7450,2.65
Marion,Republican,Donald Trump,1581,2.34
Noble,Republican,Donald Trump,4422,2.64
Cullman,Republican,Donald Trump,10618,2.53
Macon,Republican,Donald Trump,6655,2.36
Mono,Democrat,Bernie Sanders,917,2.65
Routt,Democrat,Bernie Sanders,406,2.38
Leelanau,Democrat,Bernie Sanders,2359,2.34
Nowata,Democrat,Bernie Sanders,530,2.56
Franklin,Democrat,Hillary Clinton,665,2.23
San Joaquin,Democrat,Hillary Clinton,25118,3.14
Taliaferro,Democrat,Hillary Clinton,236,2.49
Pitt,Democrat,Hillary Clinton,11856,2.49
Carroll,Republican,Donald Trump,2421,2.5
St. Clair,Republican,Donald Trump,8596,2.63
Newton,Republican,Donald Trump,1794,2.64
Cleburne,Republican,Donald Trump,2120,2.64
Lane,Democrat,Bernie Sanders,41883,2.38
Clay,Democrat,Hillary Clinton,623,2.25
Hamilton,Republican,Donald Trump,35031,2.73
Harris,Republican,Donald Trump,2542,2.79
Dallas,Republican,Donald Trump,1672,2.56
Jim Hogg,Democrat,Hillary Clinton,1421,2.9
Clayton,Democrat,Hillary Clinton,25130,2.99
Greeley,Republican,Donald Trump,125,2.44
Miami-Dade,Democrat,Hillary Clinton,129467,3.02
Saint Francis,Democrat,Hillary Clinton,1912,2.57
Orange,Republican,Donald Trump,146888,3.02
Deuel,Republican,Donald Trump,274,2.26
Newton,Democrat,Hillary Clinton,7269,2.93
Camas,Republican,Donald Trump,130,2.73
Marion,Republican,Donald Trump,3503,2.34
Mississippi,Democrat,Hillary Clinton,2017,2.64
Norfolk,Democrat,Hillary Clinton,15747,2.59
Allegheny,Democrat,Hillary Clinton,122399,2.26
Beaverhead,Republican,Donald Trump,1626,2.11
Bollinger,Republican,Donald Trump,1272,2.57
Adams,Republican,Ted Cruz,3851,2.8
Morrill,Republican,Donald Trump,695,2.37
Martin,Republican,Donald Trump,586,2.55
Beauregard,Republican,Ted Cruz,1363,2.67
Greene,Republican,Donald Trump,2103,2.53
Harrisonburg,Democrat,Bernie Sanders,2911,2.7
Duval,Democrat,Hillary Clinton,2272,2.84
Hoke,Democrat,Hillary Clinton,3528,2.96
Sussex,Republican,Donald Trump,17794,2.58
Marshall,Republican,Ted Cruz,1095,2.42
Ida,Republican,Donald Trump,136,2.19
Seminole,Republican,Donald Trump,754,2.63
Lackawanna,Democrat,Hillary Clinton,22971,2.4
Hempstead,Republican,Ted Cruz,917,2.67
Stephens,Republican,Donald Trump,1726,2.7
Harrison,Republican,Donald Trump,315,2.41
Shelby,Democrat,Hillary Clinton,66465,2.66
Cumberland,Republican,Donald Trump,1081,2.59
Colusa,Republican,Donald Trump,1342,3.07
Moniteau,Republican,Ted Cruz,1374,2.61
Tuolumne,Republican,Donald Trump,4949,2.31
Grant,Democrat,Bernie Sanders,4484,2.43
Coffee,Republican,Donald Trump,2469,2.73
Carroll,Republican,Donald Trump,7495,2.72
Menominee,Republican,Donald Trump,1304,2.18
Martin,Democrat,Hillary Clinton,2469,2.54
Putnam,Republican,Donald Trump,5119,2.57
Sutter,Republican,Donald Trump,4697,2.95
St. Charles,Republican,Donald Trump,30489,2.64
Dale,Republican,Donald Trump,4151,2.52
Edgefield,Democrat,Hillary Clinton,1474,2.62
Wilkinson,Democrat,Hillary Clinton,832,2.81
McPherson,Republican,Donald Trump,114,2.24
Cumberland,Democrat,Hillary Clinton,22744,2.55
Nicholas,Democrat,Bernie Sanders,420,2.42
Carter,Democrat,Bernie Sanders,1051,2.59
Lafayette,Republican,Donald Trump,2518,2.47
Jefferson,Democrat,Hillary Clinton,16580,2.55
Baldwin,Democrat,Hillary Clinton,3034,2.55
Marshall,Democrat,Hillary Clinton,287,2.62
Huerfano,Democrat,Bernie Sanders,150,2.0
Union,Democrat,Bernie Sanders,268,2.29
Wayne,Republican,Donald Trump,805,2.54
Lenawee,Republican,Donald Trump,5167,2.5
Spalding,Republican,Donald Trump,4257,2.74
Lamar,Republican,Donald Trump,1398,2.65
Lemhi,Republican,Donald Trump,757,2.0
Lanier,Republican,Donald Trump,512,2.66
Howard,Democrat,Hillary Clinton,30873,2.74
Westchester,Democrat,Hillary Clinton,69628,2.71
Webster,Democrat,Hillary Clinton,1878,2.5
Perry,Democrat,Hillary Clinton,2575,2.84
Daniels,Republican,Donald Trump,340,1.96
Oakland,Democrat,Hillary Clinton,92296,2.47
Douglas,Republican,Donald Trump,23754,2.51
Worcester,Republican,Donald Trump,5808,2.47
Elkhart,Republican,Ted Cruz,16204,2.78
Portsmouth,Democrat,Hillary Clinton,9464,2.52
Hood River,Democrat,Bernie Sanders,2527,2.62
Howard,Republican,Donald Trump,559,2.6
Hardin,Republican,Ted Cruz,417,2.35
Pitkin,Democrat,Bernie Sanders,421,2.27
Sweet Grass,Republican,Donald Trump,707,2.73
Ontonagon,Republican,Donald Trump,519,1.98
Gila,Republican,Donald Trump,3065,2.54
Warren,Democrat,Hillary Clinton,2827,2.59
Tama,Democrat,Hillary Clinton,476,2.53
Clinton,Republican,Donald Trump,1635,2.5
Tensas,Democrat,Hillary Clinton,492,2.33
Gladwin,Republican,Donald Trump,1774,2.33
Walker,Republican,Donald Trump,8394,2.55
Chippewa,Republican,Donald Trump,1959,2.33
Sangamon,Republican,Ted Cruz,12261,2.35
Bergen,Democrat,Hillary Clinton,55264,2.69
Mitchell,Democrat,Hillary Clinton,260,2.39
Sullivan,Republican,Donald Trump,510,2.46
Washington,Democrat,Hillary Clinton,2982,2.75
Polk,Republican,Donald Trump,3360,2.78
Harford,Republican,Donald Trump,21771,2.7
Montgomery,Republican,Donald Trump,2269,2.19
Monterey,Democrat,Hillary Clinton,17126,3.2
Gallatin,Democrat,Bernie Sanders,340,2.81
Burt,Republican,Donald Trump,603,2.29
Buffalo,Republican,Donald Trump,3748,2.51
Owsley,Republican,Donald Trump,168,2.7
Bacon,Republican,Donald Trump,904,2.66
Brunswick,Democrat,Hillary Clinton,1354,2.55
Deuel,Democrat,Hillary Clinton,162,2.41
Alameda,Democrat,Hillary Clinton,107102,2.76
Iroquois,Republican,Donald Trump,2836,2.42
McDuffie,Republican,Donald Trump,1288,2.62
Madison,Democrat,Bernie Sanders,18723,2.45
Knox,Republican,Donald Trump,343,2.33
Pope,Republican,Donald Trump,3073,2.63
Calhoun,Democrat,Hillary Clinton,1536,2.43
Keokuk,Democrat,Hillary Clinton,250,2.36
Calhoun,Democrat,Bernie Sanders,200,2.15
Canyon,Republican,Ted Cruz,11164,2.98
Cortland,Democrat,Bernie Sanders,1878,2.53
Calhoun,Republican,Donald Trump,8960,2.54
Henry,Republican,Donald Trump,1778,2.44
Ouray,Democrat,Bernie Sanders,156,2.3
Henry,Republican,Donald Trump,3021,2.43
Cass,Republican,Donald Trump,1811,2.57
Minidoka,Republican,Ted Cruz,1163,2.86
Chaffee,Democrat,Bernie Sanders,404,2.15
Carter,Democrat,Bernie Sanders,2113,2.7
Floyd,Democrat,Bernie Sanders,4010,2.49
Scott,Republican,Donald Trump,510,2.48
Benton,Republican,Marco Rubio,12863,2.74
Cherokee,Republican,Donald Trump,248,2.17
Larimer,Democrat,Bernie Sanders,6664,2.45
Elliott,Democrat,Bernie Sanders,443,2.59
Polk,Democrat,Hillary Clinton,12122,2.48
Pasquotank,Democrat,Hillary Clinton,2471,2.65
Peach,Democrat,Hillary Clinton,1675,2.62
West Feliciana,Democrat,Hillary Clinton,902,2.84
Madison,Democrat,Hillary Clinton,722,2.58
Athens,Democrat,Bernie Sanders,5663,2.49
Ozark,Republican,Donald Trump,1099,2.35
Madison,Republican,Donald Trump,23791,2.5
Bartholomew,Republican,Donald Trump,7918,2.56
Jefferson,Democrat,Hillary Clinton,67357,2.48
Lee,Republican,Donald Trump,51659,2.59
Albany,Democrat,Bernie Sanders,25,2.25
Caribou,Republican,Ted Cruz,602,2.56
Pike,Republican,Donald Trump,1930,2.86
Covington,Republican,Donald Trump,4608,2.48
Hot Springs,Democrat,Hillary Clinton,1,2.1
Culberson,Democrat,Hillary Clinton,355,2.75
Morgan,Democrat,Bernie Sanders,988,2.54
Claiborne,Democrat,Hillary Clinton,1411,2.84
Lee,Democrat,Hillary Clinton,2207,2.54
Braxton,Democrat,Bernie Sanders,1321,2.42
Dawes,Republican,Donald Trump,831,2.15
Johnston,Democrat,Bernie Sanders,606,2.51
Walton,Republican,Donald Trump,7910,2.84
Hardee,Republican,Donald Trump,1113,3.38
Cedar,Democrat,Bernie Sanders,445,2.37
Honolulu,Democrat,Bernie Sanders,11458,3.0
Piatt,Republican,Ted Cruz,1855,2.52
Lyon,Democrat,Bernie Sanders,561,2.12
Hill,Republican,Donald Trump,1342,2.58
Ashland,Democrat,Bernie Sanders,2304,2.27
Duplin,Democrat,Hillary Clinton,3036,2.64
Pawnee,Republican,Donald Trump,225,2.07
Butler,Republican,Donald Trump,3652,2.46
Chariton,Republican,Donald Trump,597,2.53
Marshall,Democrat,Bernie Sanders,738,2.62
Scotland,Republican,Donald Trump,395,2.48
Kauai,Democrat,Bernie Sanders,2049,2.99
Hawaii,Democrat,Bernie Sanders,5605,2.83
Washington,Democrat,Hillary Clinton,1511,2.59
Nottoway,Democrat,Hillary Clinton,829,2.61
Cobb,Democrat,Hillary Clinton,39277,2.64
Hall,Republican,Donald Trump,12536,2.93
Catahoula,Democrat,Hillary Clinton,431,2.52
Indian River,Republican,Donald Trump,13678,2.37
Butler,Republican,Donald Trump,564,2.45
Clarke,Republican,Donald Trump,1399,2.62
Loudoun,Democrat,Hillary Clinton,21171,3.04
Los Angeles,Democrat,Hillary Clinton,590502,3.01
Lafayette,Democrat,Bernie Sanders,1330,2.53
San Miguel,Democrat,Bernie Sanders,329,2.31
Choctaw,Republican,Donald Trump,765,2.43
Terrebonne,Republican,Donald Trump,3454,2.81
Platte,Republican,Ted Cruz,5798,2.45
Newaygo,Republican,Ted Cruz,3557,2.61
Yalobusha,Democrat,Hillary Clinton,1214,2.58
Latah,Republican,Ted Cruz,2134,2.31
Calhoun,Democrat,Hillary Clinton,413,2.55
Dimmit,Democrat,Hillary Clinton,1804,2.86
Big Horn,Democrat,Bernie Sanders,2,2.59
St. Clair,Democrat,Hillary Clinton,20987,2.57
Beadle,Democrat,Hillary Clinton,501,2.32
Iowa,Democrat,Bernie Sanders,3198,2.44
Glynn,Republican,Donald Trump,5516,2.51
Williamsburg,Democrat,Bernie Sanders,1197,2.29
Tillman,Democrat,Bernie Sanders,346,2.5
Washington,Democrat,Hillary Clinton,1663,2.57
Mills,Republican,Donald Trump,300,2.67
Benton,Republican,Donald Trump,2278,2.28
Franklin,Republican,Donald Trump,1997,2.47
Winnebago,Democrat,Bernie Sanders,16715,2.55
Palm Beach,Democrat,Hillary Clinton,103369,2.51
Emmet,Democrat,Bernie Sanders,2589,2.39
Franklin,Democrat,Hillary Clinton,4951,2.55
Petersburg,Democrat,Hillary Clinton,4099,2.53
Sedgwick,Democrat,Hillary Clinton,13,2.47
Grady,Republican,Donald Trump,1422,2.69
Bradford,Republican,Donald Trump,1802,2.72
Apache,Democrat,Hillary Clinton,4450,3.7
Crook,Democrat,Hillary Clinton,1,2.34
Perry,Republican,Donald Trump,1461,2.51
Ionia,Democrat,Bernie Sanders,2812,2.67
Issaquena,Democrat,Hillary Clinton,175,2.38
Polk,Republican,Donald Trump,33187,2.71
Alachua,Democrat,Hillary Clinton,17733,2.43
Orleans,Democrat,Hillary Clinton,40601,2.32
Monroe,Republican,Donald Trump,2602,2.6
Prince William,Democrat,Hillary Clinton,26439,3.11
Crawford,Republican,Donald Trump,2189,2.57
Gratiot,Democrat,Bernie Sanders,1812,2.45
Lowndes,Republican,Donald Trump,5194,2.7
Richland,Republican,Donald Trump,1435,2.4
Knott,Democrat,Bernie Sanders,1114,2.63
Sanders,Republican,Donald Trump,1992,2.17
Richland,Democrat,Bernie Sanders,1784,2.39
Miller,Republican,Donald Trump,2482,2.45
Simpson,Republican,Donald Trump,2420,2.72
Limestone,Republican,Donald Trump,8198,2.56
Graves,Democrat,Bernie Sanders,2631,2.54
Denver,Democrat,Bernie Sanders,14624,2.27
Winston,Democrat,Hillary Clinton,1442,2.44
Sunflower,Democrat,Hillary Clinton,2332,2.92
Grant,Democrat,Hillary Clinton,2272,2.36
Hancock,Democrat,Bernie Sanders,573,2.53
Osage,Republican,Donald Trump,1316,2.63
Carroll,Republican,Ted Cruz,0,2.47
Jackson,Republican,Donald Trump,711,2.28
Sussex,Democrat,Hillary Clinton,958,2.19
Northampton,Democrat,Hillary Clinton,868,2.32
Owen,Democrat,Bernie Sanders,720,2.34
Lake,Democrat,Bernie Sanders,165,2.33
Newton,Republican,Donald Trump,1814,2.6
Pulaski,Republican,Donald Trump,1668,2.58
Nevada,Democrat,Hillary Clinton,647,2.41
Whitley,Republican,Ted Cruz,4064,2.51
Marshall,Republican,Donald Trump,4755,2.63
Sumter,Democrat,Hillary Clinton,2987,2.57
Orange,Republican,Donald Trump,2574,2.54
Lincoln,Democrat,Hillary Clinton,3,2.88
Glacier,Democrat,Bernie Sanders,1074,3.1
Chickasaw,Democrat,Hillary Clinton,360,2.27
Smith,Republican,Donald Trump,1820,2.6
Mesa,Democrat,Bernie Sanders,1095,2.45
Kootenai,Republican,Ted Cruz,11924,2.5
Maui,Democrat,Bernie Sanders,4419,2.93
Wicomico,Republican,Donald Trump,6998,2.63
Big Horn,Republican,Donald Trump,1087,3.7
Guadalupe,Democrat,Hillary Clinton,399,3.14
Lincoln,Republican,Donald Trump,2950,2.62
Imperial,Democrat,Hillary Clinton,5743,3.42
Fulton,Republican,Donald Trump,2556,2.49
Archuleta,Democrat,Bernie Sanders,156,2.45
Vernon,Republican,Donald Trump,1530,2.51
Del Norte,Republican,Donald Trump,1536,2.58
Lucas,Democrat,Hillary Clinton,32137,2.41
Roosevelt,Republican,Donald Trump,712,3.21
Talbot,Democrat,Hillary Clinton,852,2.49
Crawford,Republican,Ted Cruz,226,2.65
Benzie,Democrat,Bernie Sanders,1650,2.23
Johnson,Republican,Donald Trump,1383,2.45
Boone,Republican,Donald Trump,3816,3.0
Miller,Republican,Donald Trump,555,2.39
Boone,Democrat,Bernie Sanders,15076,2.38
Wayne,Republican,Donald Trump,1376,2.37
Okfuskee,Democrat,Bernie Sanders,596,2.59
Henry,Republican,Donald Trump,5714,2.5
Pulaski,Democrat,Hillary Clinton,34862,2.47
Arenac,Republican,Donald Trump,1141,2.39
St. Mary,Democrat,Hillary Clinton,1995,2.65
Caswell,Democrat,Hillary Clinton,1701,2.51
George,Republican,Donald Trump,2245,2.83
Baxter,Republican,Donald Trump,3798,2.24
Plaquemines,Republican,Donald Trump,705,2.68
Okeechobee,Republican,Donald Trump,2202,2.86
Clearwater,Republican,Donald Trump,629,2.19
Bayfield,Democrat,Bernie Sanders,2604,2.14
Clay,Democrat,Hillary Clinton,297,2.49
Allegan,Republican,Ted Cruz,7530,2.64
Dakota,Republican,Donald Trump,819,2.82
Cleveland,Republican,Ted Cruz,550,2.56
Douglas,Democrat,Hillary Clinton,9375,2.86
Clear Creek,Democrat,Bernie Sanders,199,2.21
Oregon,Republican,Donald Trump,941,2.37
Yell,Republican,Donald Trump,911,2.74
Tillamook,Democrat,Bernie Sanders,2207,2.4
Webster,Democrat,Bernie Sanders,837,2.3
Baker,Democrat,Hillary Clinton,303,2.47
Fayette,Democrat,Hillary Clinton,20014,2.34
Kings,Republican,Donald Trump,7046,3.28
Concordia,Democrat,Hillary Clinton,1830,2.51
Lumpkin,Republican,Donald Trump,2453,2.62
Russell,Democrat,Hillary Clinton,4381,2.6
Gogebic,Democrat,Bernie Sanders,790,2.07
Greene,Republican,Donald Trump,4491,2.53
Sharp,Republican,Donald Trump,1241,2.42
Platte,Democrat,Bernie Sanders,2,2.36
