"county","party","candidate","votes","veterans_factor"
Walton,Republican,Donald Trump,7910,0.07
Marlboro,Democrat,Hillary Clinton,2132,0.07
Lincoln,Republican,Donald Trump,742,0.10
Allegheny,Democrat,Hillary Clinton,122399,0.08
Bryan,Republican,Donald Trump,2214,0.10
Sumter,Democrat,Hillary Clinton,1960,0.06
Clay,Democrat,Hillary Clinton,960,0.08
Tunica,Democrat,Hillary Clinton,904,0.05
Richland,Democrat,Hillary Clinton,39243,0.08
Stewart,Democrat,Hillary Clinton,460,0.06
Oregon,Republican,Donald Trump,941,0.10
Duplin,Democrat,Hillary Clinton,3036,0.07
Fulton,Democrat,Bernie Sanders,2537,0.09
Pierce,Republican,Donald Trump,1345,0.07
Haralson,Republican,Donald Trump,2818,0.07
Marion,Democrat,Bernie Sanders,5324,0.09
Jackson,Democrat,Hillary Clinton,15,0.10
Rush,Republican,Donald Trump,2362,0.08
Montgomery,Republican,Donald Trump,672,0.13
Cherokee,Republican,Donald Trump,248,0.10
Jasper,Democrat,Hillary Clinton,927,0.08
Dinwiddie,Democrat,Hillary Clinton,1935,0.09
Cuming,Republican,Donald Trump,783,0.08
Pike,Democrat,Bernie Sanders,4848,0.05
Douglas,Republican,Ted Cruz,1764,0.07
Effingham,Republican,Ted Cruz,3448,0.08
Greene,Democrat,Hillary Clinton,2714,0.06
Broward,Democrat,Hillary Clinton,132527,0.05
Salt Lake,Democrat,Bernie Sanders,35610,0.05
Washington,Democrat,Bernie Sanders,12,0.09
Columbus,Democrat,Hillary Clinton,3628,0.07
Chouteau,Republican,Donald Trump,865,0.10
Evans,Republican,Donald Trump,481,0.07
Knox,Democrat,Bernie Sanders,3168,0.09
Osage,Republican,Donald Trump,1316,0.08
Riverside,Republican,Donald Trump,82814,0.06
Pawnee,Democrat,Bernie Sanders,762,0.09
Hamilton,Democrat,Hillary Clinton,758,0.09
Mason,Republican,Donald Trump,1785,0.09
Allamakee,Democrat,Hillary Clinton,304,0.09
Dona Ana,Democrat,Hillary Clinton,9097,0.08
Wayne,Republican,Donald Trump,2033,0.09
Grant,Republican,Ted Cruz,1329,0.09
Wayne,Republican,Donald Trump,6116,0.08
Wayne,Republican,Donald Trump,1735,0.06
Polk,Republican,Donald Trump,3360,0.07
Lincoln,Republican,Donald Trump,3073,0.13
Cleveland,Republican,Ted Cruz,550,0.07
San Francisco,Democrat,Hillary Clinton,85070,0.03
Carter,Republican,Donald Trump,623,0.09
Menominee,Republican,Donald Trump,1304,0.11
Cerro Gordo,Democrat,Bernie Sanders,1108,0.09
Santa Barbara,Democrat,Hillary Clinton,23543,0.06
Dade,Republican,Ted Cruz,997,0.11
Baltimore,Democrat,Hillary Clinton,73099,0.07
Benton,Democrat,Hillary Clinton,672,0.08
Lincoln,Democrat,Hillary Clinton,20,0.09
Clinton,Democrat,Bernie Sanders,1234,0.09
El Dorado,Republican,Donald Trump,17651,0.09
Harmon,Democrat,Bernie Sanders,167,0.08
San Diego,Democrat,Hillary Clinton,139813,0.07
Catoosa,Republican,Donald Trump,4449,0.07
Solano,Democrat,Hillary Clinton,31753,0.08
Wright,Democrat,Hillary Clinton,273,0.07
Lawrence,Republican,Donald Trump,1201,0.09
Rio Grande,Democrat,Bernie Sanders,59,0.09
Shelby,Republican,Donald Trump,579,0.08
Dodge,Republican,Donald Trump,2760,0.08
Mason,Republican,Donald Trump,896,0.09
Greenup,Democrat,Bernie Sanders,1655,0.08
Sussex,Republican,Donald Trump,17794,0.10
Bradford,Republican,Donald Trump,1802,0.10
Onondaga,Democrat,Hillary Clinton,20397,0.07
Knox,Republican,Donald Trump,343,0.09
Henry,Republican,Ted Cruz,379,0.08
Emmet,Democrat,Hillary Clinton,168,0.08
Payne,Democrat,Bernie Sanders,3829,0.06
Henry,Republican,Donald Trump,5714,0.09
Delaware,Republican,Donald Trump,8793,0.07
Osceola,Republican,Donald Trump,1812,0.10
Fergus,Republican,Donald Trump,1975,0.11
Etowah,Republican,Donald Trump,8657,0.08
Avoyelles,Democrat,Hillary Clinton,1181,0.07
Colusa,Republican,Donald Trump,1342,0.05
Newton,Republican,Ted Cruz,6452,0.08
Martin,Democrat,Hillary Clinton,2469,0.07
Daviess,Democrat,Bernie Sanders,5188,0.08
Imperial,Democrat,Hillary Clinton,5743,0.04
Ida,Republican,Donald Trump,136,0.09
Adair,Democrat,Bernie Sanders,971,0.08
Harrison,Republican,Donald Trump,755,0.09
George,Republican,Donald Trump,2245,0.07
Latah,Republican,Ted Cruz,2134,0.06
Clay,Republican,Donald Trump,19374,0.13
Carroll,Republican,Donald Trump,2421,0.09
Elmore,Republican,Donald Trump,8525,0.10
Tillman,Democrat,Bernie Sanders,346,0.09
Todd,Democrat,Bernie Sanders,507,0.07
Uvalde,Democrat,Hillary Clinton,1740,0.05
McLean,Democrat,Bernie Sanders,628,0.08
Lincoln,Democrat,Hillary Clinton,779,0.07
Granite,Republican,Donald Trump,487,0.13
Edwards,Republican,Donald Trump,867,0.08
Moffat,Democrat,Bernie Sanders,28,0.09
Prince Edward,Democrat,Hillary Clinton,1366,0.06
Talbot,Republican,Donald Trump,3104,0.11
Dundy,Republican,Donald Trump,219,0.10
Robertson,Democrat,Bernie Sanders,177,0.07
Box Butte,Republican,Donald Trump,1188,0.09
Green,Democrat,Bernie Sanders,4359,0.07
Franklin,Democrat,Hillary Clinton,4951,0.07
Chesapeake,Democrat,Hillary Clinton,16126,0.11
Orange,Democrat,Bernie Sanders,18096,0.04
Harrison,Republican,Donald Trump,315,0.08
Warren,Democrat,Bernie Sanders,5365,0.06
Catahoula,Democrat,Hillary Clinton,431,0.07
Andrew,Republican,Donald Trump,1457,0.09
Forsyth,Democrat,Hillary Clinton,24446,0.07
Dixie,Republican,Donald Trump,1103,0.13
Page,Republican,Ted Cruz,249,0.10
Morgan,Republican,Donald Trump,10235,0.08
Beaverhead,Republican,Donald Trump,1626,0.10
Montmorency,Republican,Donald Trump,1046,0.14
Barnwell,Democrat,Hillary Clinton,1560,0.07
Union,Republican,Donald Trump,1332,0.09
Taylor,Republican,Donald Trump,550,0.08
Greene,Republican,Donald Trump,1088,0.08
Yankton,Democrat,Hillary Clinton,706,0.08
Glascock,Republican,Donald Trump,405,0.06
Mendocino,Democrat,Bernie Sanders,4654,0.08
Columbia,Democrat,Bernie Sanders,3302,0.09
Clay,Democrat,Hillary Clinton,297,0.08
Menard,Republican,Ted Cruz,1064,0.09
Marengo,Democrat,Hillary Clinton,3590,0.07
Kings,Republican,Donald Trump,7046,0.07
Thomas,Republican,Donald Trump,2649,0.08
Bent,Democrat,Hillary Clinton,26,0.11
Jackson,Democrat,Hillary Clinton,2798,0.10
Oneida,Republican,Ted Cruz,473,0.10
Yolo,Democrat,Hillary Clinton,12567,0.05
Plumas,Republican,Donald Trump,2588,0.12
Chilton,Republican,Donald Trump,5273,0.08
Cleveland,Democrat,Hillary Clinton,4880,0.07
Nassau,Republican,Donald Trump,9192,0.12
Union,Republican,Donald Trump,2691,0.12
Richmond,Democrat,Hillary Clinton,2941,0.09
Jefferson,Democrat,Hillary Clinton,9936,0.08
Madison,Democrat,Bernie Sanders,18723,0.09
Gallatin,Republican,Donald Trump,8313,0.06
Dubuque,Democrat,Hillary Clinton,2504,0.07
Woodford,Republican,Ted Cruz,5091,0.07
Bear Lake,Republican,Ted Cruz,643,0.07
Cleveland,Democrat,Bernie Sanders,16428,0.08
St. Clair,Republican,Donald Trump,11995,0.08
Adair,Republican,Donald Trump,1512,0.07
Butte,Republican,Ted Cruz,275,0.10
Hamilton,Republican,Donald Trump,766,0.09
Denver,Democrat,Bernie Sanders,14624,0.05
Evangeline,Democrat,Hillary Clinton,1319,0.05
Stone,Republican,Donald Trump,3928,0.12
Holt,Republican,Donald Trump,504,0.11
Rockdale,Democrat,Hillary Clinton,7930,0.08
Carroll,Republican,Ted Cruz,0,0.11
Ringgold,Democrat,Hillary Clinton,132,0.08
Marion,Democrat,Hillary Clinton,59649,0.06
Toombs,Republican,Donald Trump,1513,0.07
Dunklin,Republican,Donald Trump,1781,0.08
Lowndes,Republican,Donald Trump,5194,0.08
Milwaukee,Democrat,Hillary Clinton,100932,0.06
Campbell,Democrat,Bernie Sanders,12,0.06
Magoffin,Democrat,Bernie Sanders,626,0.04
Washington,Democrat,Hillary Clinton,9110,0.05
Johnson,Republican,Donald Trump,17218,0.07
Golden Valley,Republican,Donald Trump,203,0.08
Franklin,Democrat,Hillary Clinton,226,0.08
Howard,Republican,Donald Trump,534,0.10
Jones,Republican,Donald Trump,2318,0.06
Crawford,Republican,Donald Trump,1162,0.08
Sullivan,Democrat,Bernie Sanders,2671,0.08
Baldwin,Democrat,Hillary Clinton,3034,0.07
Randolph,Republican,Donald Trump,2352,0.07
Seminole,Democrat,Bernie Sanders,1194,0.08
Wells,Republican,Ted Cruz,3826,0.07
Middlesex,Democrat,Hillary Clinton,47978,0.04
Johnson,Democrat,Bernie Sanders,5473,0.05
Branch,Republican,Donald Trump,2455,0.07
Hampton,Democrat,Hillary Clinton,13529,0.15
Montgomery,Republican,Donald Trump,2269,0.10
Polk,Republican,Donald Trump,1895,0.11
Goshen,Democrat,Hillary Clinton,3,0.09
Macon,Democrat,Hillary Clinton,4293,0.09
Pitkin,Democrat,Bernie Sanders,421,0.05
Hertford,Democrat,Hillary Clinton,2926,0.07
Franklin City,Democrat,Hillary Clinton,831,0.10
Schuyler,Republican,Donald Trump,697,0.11
Montgomery,Democrat,Hillary Clinton,109304,0.05
Cedar,Republican,Donald Trump,775,0.09
Dallas,Republican,Donald Trump,1672,0.10
Mason,Democrat,Bernie Sanders,775,0.07
Christian,Republican,Donald Trump,2392,0.09
Park,Democrat,Bernie Sanders,8,0.09
Perry,Republican,Donald Trump,1561,0.08
Echols,Republican,Donald Trump,268,0.07
Haywood,Democrat,Bernie Sanders,3873,0.10
Gallatin,Democrat,Bernie Sanders,663,0.09
Garden,Republican,Donald Trump,372,0.13
Meade,Democrat,Bernie Sanders,1541,0.12
Saline,Republican,Ted Cruz,7507,0.09
Hinsdale,Democrat,Bernie Sanders,10,0.14
Teton,Republican,Donald Trump,882,0.10
Franklin,Republican,Ted Cruz,1187,0.06
Laramie,Democrat,Hillary Clinton,26,0.13
Franklin,Democrat,Hillary Clinton,650,0.06
Butte,Republican,Donald Trump,15695,0.08
Terrell,Democrat,Hillary Clinton,67,0.07
Clayton,Democrat,Bernie Sanders,408,0.09
DeSoto,Republican,Donald Trump,1445,0.08
Broome,Democrat,Bernie Sanders,9176,0.07
Montgomery,Democrat,Bernie Sanders,192,0.09
Vernon,Democrat,Bernie Sanders,3476,0.08
Van Buren,Republican,Ted Cruz,196,0.09
Coweta,Republican,Donald Trump,9593,0.08
Schenectady,Democrat,Bernie Sanders,6862,0.07
White,Republican,Donald Trump,2715,0.08
Warren,Democrat,Hillary Clinton,1217,0.08
Furnas,Republican,Donald Trump,546,0.10
Chatham,Democrat,Hillary Clinton,19898,0.09
Holmes,Democrat,Hillary Clinton,3301,0.03
Iosco,Republican,Donald Trump,1973,0.14
White,Republican,Donald Trump,3044,0.08
Carroll,Republican,Donald Trump,16534,0.08
Mineral,Republican,Donald Trump,638,0.15
McPherson,Republican,Donald Trump,114,0.06
Marquette,Democrat,Bernie Sanders,5530,0.10
Uinta,Democrat,Bernie Sanders,5,0.07
Greene,Democrat,Hillary Clinton,215,0.09
Kit Carson,Democrat,Bernie Sanders,16,0.10
Beadle,Democrat,Hillary Clinton,501,0.08
Deuel,Republican,Donald Trump,274,0.12
Shasta,Republican,Donald Trump,14822,0.10
Sunflower,Democrat,Hillary Clinton,2332,0.05
Fallon,Republican,Donald Trump,734,0.07
Big Horn,Republican,Donald Trump,1087,0.05
Lincoln,Democrat,Bernie Sanders,3,0.06
Gentry,Republican,Donald Trump,435,0.09
Glades,Republican,Donald Trump,632,0.09
Culberson,Democrat,Hillary Clinton,355,0.06
Noxubee,Democrat,Hillary Clinton,1397,0.03
Christian,Republican,Ted Cruz,10586,0.08
Howell,Republican,Donald Trump,4230,0.09
Spencer,Republican,Donald Trump,2350,0.09
Douglas,Democrat,Bernie Sanders,2347,0.06
Clark,Republican,Ted Cruz,62,0.05
Petersburg,Democrat,Hillary Clinton,4099,0.08
Antrim,Republican,Donald Trump,1969,0.10
Butler,Republican,Donald Trump,564,0.06
Sharp,Republican,Donald Trump,1241,0.12
Trempealeau,Democrat,Bernie Sanders,2429,0.07
Boyd,Republican,Donald Trump,327,0.11
Union,Republican,Donald Trump,2169,0.06
Portsmouth,Democrat,Hillary Clinton,9464,0.11
Massac,Republican,Donald Trump,1341,0.08
Cheyenne,Republican,Donald Trump,1130,0.09
DeKalb,Republican,Donald Trump,6247,0.06
Johnson,Republican,Donald Trump,1075,0.06
Corson,Democrat,Bernie Sanders,148,0.08
Muskegon,Democrat,Bernie Sanders,10062,0.08
Butts,Republican,Donald Trump,1884,0.07
Calhoun,Democrat,Bernie Sanders,803,0.08
Franklin,Republican,Donald Trump,9080,0.08
Oceana,Republican,Ted Cruz,1698,0.09
Ascension,Democrat,Hillary Clinton,4221,0.06
Fredericksburg,Democrat,Hillary Clinton,1396,0.07
Kiowa,Democrat,Bernie Sanders,514,0.09
Alexandria,Democrat,Hillary Clinton,16281,0.07
Delaware,Democrat,Hillary Clinton,44775,0.06
Adams,Democrat,Bernie Sanders,3279,0.06
San Miguel,Democrat,Hillary Clinton,3418,0.09
McIntosh,Republican,Donald Trump,1078,0.10
Madison,Democrat,Hillary Clinton,1085,0.08
Lawrence,Republican,Donald Trump,1326,0.08
Terrebonne,Republican,Donald Trump,3454,0.06
Jackson,Republican,Donald Trump,711,0.08
Jerome,Republican,Ted Cruz,1164,0.06
Worth,Democrat,Bernie Sanders,218,0.09
Warren,Democrat,Hillary Clinton,468,0.06
Nueces,Democrat,Hillary Clinton,15662,0.08
San Benito,Democrat,Hillary Clinton,2022,0.05
Wilson,Democrat,Hillary Clinton,6408,0.07
Johnston,Democrat,Bernie Sanders,606,0.08
St. Charles,Republican,Donald Trump,30489,0.07
Orange,Democrat,Hillary Clinton,66654,0.05
Leake,Democrat,Hillary Clinton,1614,0.06
Teller,Democrat,Bernie Sanders,219,0.14
Guilford,Democrat,Hillary Clinton,37880,0.06
Levy,Republican,Donald Trump,3745,0.12
Durham,Democrat,Hillary Clinton,35845,0.05
Lee,Republican,Donald Trump,2153,0.08
Northampton,Democrat,Hillary Clinton,868,0.09
Wabash,Republican,Donald Trump,977,0.08
Craig,Democrat,Bernie Sanders,926,0.10
Calaveras,Republican,Donald Trump,4902,0.12
Oldham,Democrat,Hillary Clinton,2730,0.07
Marion,Republican,Ted Cruz,1011,0.07
Taos,Democrat,Bernie Sanders,4325,0.09
Franklin,Republican,Donald Trump,3130,0.10
Greensville,Democrat,Hillary Clinton,832,0.09
Rowan,Democrat,Bernie Sanders,1363,0.05
Macon,Republican,Donald Trump,6655,0.09
Hinds,Democrat,Hillary Clinton,31386,0.06
Sweetwater,Democrat,Bernie Sanders,12,0.08
Newberry,Democrat,Hillary Clinton,2118,0.07
Keith,Republican,Donald Trump,1253,0.09
Putnam,Republican,Donald Trump,565,0.10
Clark,Republican,Donald Trump,545,0.10
Cibola,Democrat,Hillary Clinton,1586,0.07
Wilkes,Republican,Donald Trump,734,0.06
Screven,Republican,Donald Trump,801,0.07
Ray,Republican,Donald Trump,1565,0.08
Platte,Republican,Ted Cruz,5798,0.08
McLean,Republican,Ted Cruz,13085,0.06
Orangeburg,Democrat,Hillary Clinton,11819,0.07
St. Joseph,Republican,Ted Cruz,2655,0.07
Webster,Republican,Donald Trump,191,0.04
Hot Springs,Democrat,Bernie Sanders,1,0.14
Cortland,Democrat,Bernie Sanders,1878,0.07
Pushmataha,Democrat,Bernie Sanders,667,0.10
Plaquemines,Republican,Donald Trump,705,0.07
Berkeley,Democrat,Hillary Clinton,9471,0.10
Bernalillo,Democrat,Bernie Sanders,38247,0.08
Graves,Democrat,Bernie Sanders,2631,0.07
Rock Island,Democrat,Hillary Clinton,10216,0.08
Power,Republican,Ted Cruz,421,0.06
Yalobusha,Democrat,Hillary Clinton,1214,0.08
Webster,Democrat,Hillary Clinton,866,0.08
Lincoln,Democrat,Bernie Sanders,4674,0.12
Coosa,Republican,Donald Trump,1233,0.09
Lemhi,Republican,Donald Trump,757,0.13
Ripley,Republican,Donald Trump,1096,0.09
Searcy,Republican,Donald Trump,939,0.09
Christian,Democrat,Hillary Clinton,2437,0.09
LaClede,Republican,Donald Trump,3493,0.09
Tangipahoa,Democrat,Hillary Clinton,4267,0.06
San Luis Obispo,Republican,Donald Trump,19313,0.08
Keweenaw,Democrat,Bernie Sanders,188,0.16
Terrell,Democrat,Hillary Clinton,804,0.07
Napa,Democrat,Hillary Clinton,7370,0.07
Sebastian,Republican,Donald Trump,6030,0.08
Blount,Republican,Donald Trump,7390,0.08
Chambers,Democrat,Hillary Clinton,2899,0.08
Foard,Democrat,Bernie Sanders,112,0.07
Lawrence,Republican,Ted Cruz,4235,0.10
Burke,Democrat,Hillary Clinton,1659,0.07
Chicot,Democrat,Hillary Clinton,1370,0.08
Kootenai,Republican,Ted Cruz,11924,0.09
Douglas,Democrat,Hillary Clinton,9375,0.08
Hillsborough,Democrat,Hillary Clinton,68936,0.07
Washington,Republican,Donald Trump,1739,0.09
Pinal,Republican,Donald Trump,12182,0.09
LaRue,Democrat,Bernie Sanders,910,0.08
Long,Republican,Donald Trump,633,0.10
Itawamba,Republican,Donald Trump,1905,0.06
Florence,Democrat,Hillary Clinton,9411,0.07
La Crosse,Democrat,Bernie Sanders,15139,0.07
La Salle,Democrat,Hillary Clinton,557,0.04
Morgan,Democrat,Bernie Sanders,988,0.04
Desha,Democrat,Hillary Clinton,1342,0.06
Ford,Republican,Ted Cruz,1281,0.09
Menominee,Democrat,Bernie Sanders,355,0.08
Wayne,Republican,Donald Trump,1376,0.10
Vernon,Republican,Donald Trump,1119,0.13
Hudson,Democrat,Hillary Clinton,49798,0.02
Cleburne,Republican,Donald Trump,2530,0.12
Valley,Republican,Donald Trump,575,0.12
Monroe,Democrat,Hillary Clinton,2438,0.06
Liberty,Republican,Donald Trump,387,0.06
Colfax,Republican,Donald Trump,494,0.06
Grant,Democrat,Bernie Sanders,715,0.07
Jefferson,Democrat,Hillary Clinton,16580,0.07
Cuyahoga,Democrat,Hillary Clinton,125914,0.07
Muscogee,Democrat,Hillary Clinton,12801,0.10
Colleton,Democrat,Hillary Clinton,2932,0.11
Carbon,Republican,Donald Trump,1507,0.11
Greene,Republican,Donald Trump,2103,0.09
Albany,Democrat,Bernie Sanders,20422,0.06
Huron,Republican,Donald Trump,2346,0.08
Clay,Republican,Donald Trump,702,0.08
Alcona,Republican,Donald Trump,1111,0.16
Limestone,Republican,Donald Trump,8198,0.08
Sheridan,Republican,Donald Trump,499,0.08
Sierra,Republican,Donald Trump,497,0.15
Hart,Democrat,Bernie Sanders,1062,0.06
Hill,Republican,Donald Trump,1342,0.08
Fountain,Republican,Donald Trump,2742,0.08
McCone,Republican,Donald Trump,410,0.11
Monroe,Republican,Donald Trump,3272,0.08
Harrisonburg,Democrat,Bernie Sanders,2911,0.03
Custer,Republican,Donald Trump,1363,0.10
Scott,Democrat,Hillary Clinton,2505,0.06
Musselshell,Republican,Donald Trump,1032,0.14
Harford,Republican,Donald Trump,21771,0.08
Prentiss,Republican,Donald Trump,1597,0.04
Clarke,Democrat,Hillary Clinton,232,0.08
Multnomah,Democrat,Bernie Sanders,87247,0.06
Boone,Democrat,Bernie Sanders,715,0.09
Ontonagon,Republican,Donald Trump,519,0.16
Copiah,Democrat,Hillary Clinton,3373,0.06
LaGrange,Republican,Donald Trump,2571,0.05
Pasquotank,Democrat,Hillary Clinton,2471,0.10
West Feliciana,Democrat,Hillary Clinton,902,0.09
Jenkins,Republican,Donald Trump,513,0.07
Silver Bow,Democrat,Hillary Clinton,4089,0.09
Mahaska,Republican,Ted Cruz,669,0.07
Menifee,Democrat,Bernie Sanders,323,0.08
Audrain,Republican,Ted Cruz,1642,0.08
Vance,Democrat,Hillary Clinton,4561,0.07
Grand Traverse,Democrat,Bernie Sanders,8091,0.08
Covington,Republican,Donald Trump,1724,0.08
Forrest,Republican,Donald Trump,4267,0.07
Dallas,Democrat,Hillary Clinton,693,0.06
Jersey,Republican,Donald Trump,1902,0.11
Pendleton,Democrat,Bernie Sanders,546,0.06
Charlton,Republican,Donald Trump,602,0.10
Douglas,Democrat,Bernie Sanders,4510,0.09
Marion,Republican,Donald Trump,31370,0.12
Dougherty,Democrat,Hillary Clinton,8891,0.08
Bonneville,Republican,Ted Cruz,7794,0.06
Rensselaer,Democrat,Bernie Sanders,6649,0.07
Cumberland,Democrat,Hillary Clinton,22744,0.13
LaSalle,Republican,Donald Trump,6950,0.08
Troup,Republican,Donald Trump,4140,0.07
Mercer,Republican,Donald Trump,455,0.10
Tama,Democrat,Hillary Clinton,476,0.09
Sequoyah,Democrat,Bernie Sanders,1872,0.08
LeFlore,Democrat,Bernie Sanders,2283,0.08
Del Norte,Republican,Donald Trump,1536,0.10
Drew,Democrat,Hillary Clinton,1250,0.05
Benton,Republican,Marco Rubio,12863,0.07
Ouray,Democrat,Bernie Sanders,156,0.12
Boone,Republican,Donald Trump,2577,0.09
Washington,Republican,Donald Trump,1370,0.10
Morrill,Republican,Donald Trump,695,0.08
Sandoval,Democrat,Hillary Clinton,7448,0.10
Lamar,Republican,Donald Trump,1810,0.08
DeKalb,Democrat,Hillary Clinton,82348,0.06
Jackson,Republican,Donald Trump,582,0.06
Bingham,Republican,Ted Cruz,3471,0.06
Alexander,Democrat,Hillary Clinton,770,0.09
Wolfe,Democrat,Bernie Sanders,499,0.06
Los Alamos,Democrat,Hillary Clinton,1424,0.10
Door,Democrat,Bernie Sanders,3417,0.09
Collier,Republican,Donald Trump,30071,0.09
Shelby,Republican,Donald Trump,18260,0.07
Iowa,Democrat,Bernie Sanders,3198,0.07
Rockcastle,Republican,Donald Trump,743,0.07
Jackson,Republican,Donald Trump,5362,0.06
New Madrid,Republican,Donald Trump,1376,0.09
Putnam,Republican,Donald Trump,4087,0.07
Humphreys,Democrat,Hillary Clinton,2894,0.06
Choctaw,Republican,Donald Trump,765,0.08
Anne Arundel,Democrat,Hillary Clinton,35659,0.10
Hampton,Democrat,Hillary Clinton,1930,0.07
Lenawee,Republican,Donald Trump,5167,0.08
Lincoln,Democrat,Bernie Sanders,1510,0.08
Lowndes,Democrat,Hillary Clinton,3782,0.06
Colfax,Democrat,Hillary Clinton,949,0.11
Van Buren,Democrat,Bernie Sanders,3656,0.08
Trigg,Democrat,Bernie Sanders,715,0.12
Marion,Republican,Donald Trump,473,0.11
Warrick,Republican,Donald Trump,7450,0.08
Howard,Democrat,Hillary Clinton,30873,0.06
Pulaski,Republican,Donald Trump,436,0.09
Panola,Democrat,Hillary Clinton,3061,0.06
Madison,Republican,Donald Trump,12487,0.08
Nassau,Democrat,Hillary Clinton,70947,0.05
Union,Democrat,Hillary Clinton,40972,0.04
Jefferson,Republican,Donald Trump,533,0.09
Arkansas,Republican,Donald Trump,1073,0.07
Washakie,Democrat,Hillary Clinton,2,0.09
Albany,Democrat,Bernie Sanders,25,0.06
Coffee,Republican,Donald Trump,4304,0.12
Carbon,Democrat,Hillary Clinton,4,0.10
Lawrence,Republican,Donald Trump,5971,0.09
Marshall,Democrat,Bernie Sanders,2308,0.09
Adams,Republican,Ted Cruz,3851,0.05
Hardee,Republican,Donald Trump,1113,0.05
Huntington,Republican,Donald Trump,4100,0.07
Minnehaha,Democrat,Hillary Clinton,6018,0.06
Kershaw,Democrat,Hillary Clinton,3743,0.09
Cumberland,Republican,Donald Trump,1081,0.09
Morgan,Republican,Donald Trump,10909,0.08
Taylor,Democrat,Hillary Clinton,949,0.06
Tipton,Republican,Donald Trump,2269,0.10
Sonoma,Democrat,Hillary Clinton,44923,0.07
Grant,Democrat,Bernie Sanders,4484,0.06
Mohave,Republican,Donald Trump,14154,0.13
Gilpin,Democrat,Bernie Sanders,173,0.12
Caribou,Republican,Ted Cruz,602,0.07
Grant,Democrat,Hillary Clinton,2272,0.10
Wheatland,Republican,Donald Trump,380,0.11
Will,Democrat,Bernie Sanders,46305,0.05
Chickasaw,Democrat,Hillary Clinton,1398,0.04
Mississippi,Republican,Donald Trump,970,0.07
Ashland,Democrat,Bernie Sanders,2304,0.09
Fulton,Democrat,Hillary Clinton,82576,0.05
Pike,Republican,Donald Trump,2493,0.08
Arlington,Democrat,Hillary Clinton,25561,0.06
Carroll,Democrat,Bernie Sanders,573,0.07
Muscatine,Democrat,Bernie Sanders,972,0.07
Rankin,Republican,Donald Trump,13729,0.07
Franklin,Republican,Donald Trump,1997,0.06
Okfuskee,Democrat,Bernie Sanders,596,0.09
Madison,Democrat,Hillary Clinton,722,0.06
Warren,Republican,Donald Trump,2722,0.09
Leon,Democrat,Hillary Clinton,27333,0.06
Allen,Democrat,Hillary Clinton,536,0.07
Blaine,Republican,Donald Trump,99,0.09
Carlisle,Democrat,Bernie Sanders,462,0.08
Story,Democrat,Bernie Sanders,2737,0.05
Madison,Republican,Donald Trump,7540,0.05
Garrett,Republican,Donald Trump,3564,0.08
Garvin,Democrat,Bernie Sanders,1505,0.08
Dubois,Republican,Donald Trump,4692,0.08
Fillmore,Republican,Donald Trump,574,0.09
Henry,Republican,Donald Trump,3021,0.09
Clinton,Republican,Donald Trump,3252,0.06
Boise,Republican,Donald Trump,691,0.11
Hyde,Democrat,Hillary Clinton,459,0.05
Weston,Democrat,Hillary Clinton,1,0.11
Woodbury,Democrat,Bernie Sanders,1920,0.07
Citrus,Republican,Donald Trump,15232,0.15
Marshall,Democrat,Bernie Sanders,738,0.09
Clay,Republican,Donald Trump,1294,0.08
Acadia,Democrat,Hillary Clinton,1862,0.05
Bamberg,Democrat,Hillary Clinton,1715,0.09
Cape Girardeau,Republican,Ted Cruz,7332,0.08
Winnebago,Democrat,Bernie Sanders,16715,0.07
Latimer,Democrat,Bernie Sanders,852,0.09
Scott,Republican,Donald Trump,510,0.08
Montcalm,Republican,Donald Trump,3051,0.08
Vermilion,Republican,Donald Trump,5021,0.09
Logan,Democrat,Hillary Clinton,77,0.09
Allen,Republican,Donald Trump,640,0.07
Forsyth,Republican,Donald Trump,15698,0.05
Marion,Democrat,Hillary Clinton,3359,0.07
Hardin,Democrat,Hillary Clinton,4359,0.13
Monroe,Democrat,Bernie Sanders,15166,0.05
Beaver,Democrat,Hillary Clinton,12963,0.09
Putnam,Republican,Donald Trump,5119,0.11
Pope,Republican,Donald Trump,3073,0.07
Webster,Democrat,Bernie Sanders,837,0.07
Duval,Democrat,Hillary Clinton,58632,0.10
Otoe,Republican,Donald Trump,1255,0.08
Caddo,Democrat,Bernie Sanders,1543,0.09
Butler,Democrat,Bernie Sanders,350,0.07
Rio Blanco,Democrat,Bernie Sanders,18,0.08
Chaffee,Democrat,Bernie Sanders,404,0.12
Appling,Republican,Donald Trump,1290,0.05
Pike,Republican,Donald Trump,511,0.08
Northampton,Democrat,Hillary Clinton,3195,0.07
Cherokee,Republican,Donald Trump,2777,0.08
Love,Democrat,Bernie Sanders,502,0.07
Dodge,Republican,Donald Trump,1360,0.07
Bryan,Democrat,Bernie Sanders,1913,0.07
Letcher,Democrat,Bernie Sanders,1788,0.05
Jefferson,Democrat,Bernie Sanders,347,0.07
Henderson,Democrat,Hillary Clinton,2887,0.07
Saline,Republican,Donald Trump,2102,0.09
Hall,Republican,Donald Trump,12536,0.06
Howard,Democrat,Bernie Sanders,215,0.07
Tazewell,Republican,Ted Cruz,12085,0.08
Sweet Grass,Republican,Donald Trump,707,0.08
Harrison,Democrat,Bernie Sanders,1059,0.08
Gladwin,Republican,Donald Trump,1774,0.10
