"fips";"county";"party";"STATE";"POPULATION";"DENSITY";"ALL RACES";"WHITE";"BLACK";"NATIVE";"ASIAN";"WHITE+LATINO"
28035;Forrest;Republican;MS;76330;160.7;98.6;60.0;37.0;0.4;1.1;60.7
54079;Putnam;Republican;WV;56770;160.5;98.99999999999999;96.6;1.1;0.3;0.9;96.69999999999999
48139;Ellis;Republican;TX;159317;159.9;98.3;87.0;9.7;0.8;0.7;88.5
17199;Williamson;Republican;IL;67008;157.9;98.4;92.7;4.3;0.4;1.0;93.10000000000001
21021;Boyle;Democrat;KY;29706;157.8;97.9;88.9;7.8;0.3;0.9;89.3
6101;Sutter;Republican;CA;95847;157.3;95.7;74.0;2.5;2.3;16.5;77.69999999999999
19169;Story;Democrat;IA;94073;156.3;98.3;88.2;2.8;0.3;7.0;88.6
37059;Davie;Republican;NC;41434;156.2;98.3;90.4;6.5;0.6;0.8;91.30000000000001
6019;Fresno;Republican;CA;965974;156.2;97.10000000000001;77.2;5.9;3.0;10.7;82.8
13137;Habersham;Republican;GA;43752;155.5;98.5;90.7;4.0;1.0;2.5;92.3
36117;Wayne;Republican;NY;92051;155.3;98.10000000000001;93.7;3.3;0.4;0.7;94.3
13129;Gordon;Republican;GA;56047;155.1;98.5;92.0;4.4;0.6;1.1;93.4
18173;Warrick;Republican;IN;61149;155.1;98.6;94.7;1.6;0.3;2.0;94.9
6083;Santa Barbara;Democrat;CA;440668;155.0;96.40000000000002;85.9;2.4;2.2;5.7;90.3
13277;Tift;Republican;GA;40704;154.9;98.69999999999999;66.6;30.1;0.4;1.5;67.9
55035;Eau Claire;Democrat;WI;101564;154.8;98.29999999999998;92.8;1.0;0.6;3.8;93.3
19061;Dubuque;Democrat;IA;96370;154.0;98.60000000000001;93.7;3.0;0.2;1.4;94.10000000000001
13295;Walker;Republican;GA;68218;154.0;98.39999999999999;93.0;4.5;0.3;0.5;93.3
55015;Calumet;Republican;WI;49491;153.9;98.8;95.1;0.7;0.5;2.4;95.5
37167;Stanly;Republican;NC;60600;153.3;98.7;84.7;11.3;0.4;2.0;85.4
