"county","party","candidate","votes","above_65"
Knox,Republican,Donald Trump,1285,16.9
Carbon,Republican,Donald Trump,1507,22.3
Arkansas,Republican,Donald Trump,1073,17.5
Bradley,Republican,Donald Trump,770,18.3
Richmond,Democrat,Hillary Clinton,2941,16.1
Kershaw,Democrat,Hillary Clinton,3743,16.4
St. Clair,Republican,Donald Trump,8596,15.3
Graham,Republican,Ted Cruz,1606,12.3
McLean,Republican,Ted Cruz,13085,11.4
Bannock,Republican,Ted Cruz,4404,12.8
Scotland,Democrat,Hillary Clinton,2671,16.1
Clarke,Democrat,Hillary Clinton,7089,9.7
Macomb,Republican,Donald Trump,60492,15.6
Roanoke City,Democrat,Hillary Clinton,4783,14.9
Butler,Democrat,Hillary Clinton,2196,18.0
Bergen,Democrat,Hillary Clinton,55264,16.0
Carroll,Republican,Donald Trump,0,21.1
Washington,Republican,Donald Trump,1370,18.4
Ozark,Republican,Donald Trump,1099,26.3
Marion,Republican,Donald Trump,2760,18.4
Suwannee,Republican,Donald Trump,2844,19.6
Jasper,Republican,Donald Trump,1205,15.5
Boyd,Democrat,Bernie Sanders,2262,17.9
Jefferson,Republican,Donald Trump,17781,13.3
Jefferson,Republican,Ted Cruz,3080,11.1
White,Republican,Donald Trump,1424,21.8
Crawford,Democrat,Bernie Sanders,1582,20.6
Yalobusha,Democrat,Hillary Clinton,1214,18.3
Union,Democrat,Hillary Clinton,40972,13.0
Lake,Democrat,Hillary Clinton,43091,14.6
Mercer,Democrat,Bernie Sanders,1331,18.1
Muskogee,Democrat,Bernie Sanders,3515,16.0
Summit,Democrat,Bernie Sanders,419,10.8
Montgomery,Republican,Donald Trump,1192,19.8
Harrison,Democrat,Bernie Sanders,1059,16.5
Middlesex,Democrat,Hillary Clinton,47978,13.4
Carroll,Democrat,Hillary Clinton,504,19.2
Robertson,Democrat,Bernie Sanders,177,22.0
Milwaukee,Democrat,Hillary Clinton,100932,12.1
Warren,Democrat,Hillary Clinton,3463,14.6
Walker,Republican,Donald Trump,4208,16.6
Lafayette,Democrat,Hillary Clinton,443,21.5
Carroll,Democrat,Bernie Sanders,0,21.1
Dunklin,Republican,Donald Trump,1781,17.4
Habersham,Republican,Donald Trump,3289,17.4
Holt,Republican,Donald Trump,1302,20.8
Montgomery,Democrat,Bernie Sanders,192,20.8
Walton,Republican,Donald Trump,7910,14.2
Gallatin,Republican,Donald Trump,8313,11.2
Russell,Democrat,Hillary Clinton,4381,12.5
McDowell,Democrat,Bernie Sanders,1453,18.1
Gila,Republican,Donald Trump,3065,26.6
Ste. Genevieve,Republican,Donald Trump,1080,17.3
Winnebago,Democrat,Bernie Sanders,16715,15.6
Del Norte,Republican,Donald Trump,1536,15.6
Palm Beach,Democrat,Hillary Clinton,103369,22.7
Webster,Democrat,Hillary Clinton,1878,18.1
Duval,Democrat,Hillary Clinton,2272,17.2
