"county","party","candidate","votes","more_language"
Lincoln,Democrat,Hillary Clinton,779,1.0
Gentry,Republican,Donald Trump,435,4.2
Grayson,Republican,Donald Trump,749,1.4
Meade,Democrat,Bernie Sanders,1541,2.9
Bourbon,Democrat,Hillary Clinton,1109,6.3
Caroline,Democrat,Hillary Clinton,1902,4.9
Tishomingo,Republican,Donald Trump,1854,3.7
Polk,Republican,Donald Trump,3360,13.1
Randolph,Republican,Donald Trump,1917,2.6
Pawnee,Republican,Donald Trump,225,9.2
Stark,Republican,Ted Cruz,448,1.6
Woodbury,Democrat,Bernie Sanders,1920,14.7
Randolph,Republican,Donald Trump,1887,1.5
Jefferson,Republican,Ted Cruz,3080,10.2
Clark,Republican,Donald Trump,1484,2.0
Hancock,Republican,Donald Trump,1494,2.2
Mitchell,Democrat,Hillary Clinton,260,5.5
Butler,Republican,Donald Trump,3652,2.6
Douglas,Democrat,Hillary Clinton,9375,11.9
Maricopa,Republican,Donald Trump,144522,26.3
Alpena,Republican,Donald Trump,1885,3.4
Saginaw,Democrat,Hillary Clinton,12348,5.1
Baraga,Republican,Donald Trump,468,5.1
Pike,Republican,Donald Trump,1603,2.4
Adair,Democrat,Hillary Clinton,168,1.1
Swain,Democrat,Bernie Sanders,831,2.3
Camden,Republican,Donald Trump,5467,4.3
Carroll,Democrat,Hillary Clinton,0,13.6
Cass,Republican,Donald Trump,2859,4.5
Guthrie,Democrat,Hillary Clinton,220,2.1
Blount,Republican,Donald Trump,7390,7.3
Moffat,Democrat,Bernie Sanders,28,10.5
Columbia,Democrat,Bernie Sanders,6455,4.4
Mingo,Democrat,Bernie Sanders,2425,1.3
Effingham,Republican,Donald Trump,3648,4.5
Boone,Democrat,Bernie Sanders,15076,8.3
Greer,Democrat,Bernie Sanders,332,7.4
Craig,Democrat,Bernie Sanders,926,2.7
Newton,Republican,Donald Trump,1814,3.0
Columbia,Republican,Donald Trump,9177,9.5
Franklin,Republican,Donald Trump,1229,1.8
Kent,Democrat,Hillary Clinton,1460,5.6
Cheyenne,Republican,Donald Trump,1130,5.1
Kalkaska,Republican,Donald Trump,1724,1.7
St. Francois,Republican,Donald Trump,4061,2.0
Martin,Republican,Donald Trump,586,2.9
Wapello,Democrat,Hillary Clinton,817,10.5
Darlington,Democrat,Hillary Clinton,4988,2.6
Cherokee,Republican,Donald Trump,18460,12.4
Weld,Democrat,Bernie Sanders,1647,18.5
DuPage,Democrat,Bernie Sanders,65159,26.3
New Madrid,Republican,Donald Trump,1376,1.5
Ontonagon,Republican,Donald Trump,519,5.0
Dallas,Democrat,Hillary Clinton,113574,40.6
Hillsborough,Democrat,Hillary Clinton,68936,26.4
Montgomery,Democrat,Bernie Sanders,5090,11.0
Amite,Democrat,Hillary Clinton,1212,1.3
Fresno,Republican,Donald Trump,37672,43.7
Gilmer,Democrat,Bernie Sanders,643,6.0
Worcester,Republican,Donald Trump,5808,6.7
Yuma,Republican,Donald Trump,4390,51.2
Madison,Democrat,Hillary Clinton,1085,4.7
Jasper,Republican,Donald Trump,3903,5.3
Wheatland,Republican,Donald Trump,380,18.5
Summit,Democrat,Bernie Sanders,1645,12.8
Shelby,Republican,Ted Cruz,2069,1.5
Taney,Republican,Donald Trump,5086,6.2
Paulding,Republican,Donald Trump,10002,6.4
Buena Vista,Republican,Ted Cruz,309,29.5
Hot Springs,Democrat,Hillary Clinton,1,4.2
Hardee,Republican,Donald Trump,1113,40.7
Yavapai,Republican,Donald Trump,17005,10.4
Buffalo,Democrat,Hillary Clinton,110,4.0
Rockdale,Democrat,Hillary Clinton,7930,11.3
Roosevelt,Republican,Donald Trump,712,3.1
Clay,Republican,Donald Trump,3615,1.5
Washington,Democrat,Hillary Clinton,2982,3.3
Cumberland,Democrat,Hillary Clinton,6875,25.3
Livingston,Republican,Ted Cruz,3235,3.8
Dickinson,Democrat,Bernie Sanders,358,1.9
San Miguel,Democrat,Hillary Clinton,3418,55.7
Ventura,Democrat,Hillary Clinton,45848,37.8
Contra Costa,Democrat,Hillary Clinton,69809,33.3
Putnam,Republican,Donald Trump,4087,3.6
Adams,Democrat,Hillary Clinton,3013,5.0
Wayne,Democrat,Hillary Clinton,163886,12.6
Jersey,Republican,Donald Trump,1902,1.6
Ingham,Democrat,Bernie Sanders,22909,11.8
Jefferson,Democrat,Hillary Clinton,1519,2.2
Miller,Republican,Donald Trump,2482,2.0
Clayton,Democrat,Hillary Clinton,25130,20.5
Trumbull,Democrat,Hillary Clinton,17903,5.0
Hendricks,Republican,Donald Trump,18555,5.7
Franklin City,Democrat,Hillary Clinton,831,2.3
Henry,Democrat,Bernie Sanders,958,3.3
Florence,Democrat,Hillary Clinton,9411,3.7
Troup,Republican,Donald Trump,4140,5.9
Crawford,Democrat,Bernie Sanders,1582,2.9
Madison,Republican,Donald Trump,2280,12.3
Allegheny,Democrat,Hillary Clinton,122399,6.9
Washington,Democrat,Hillary Clinton,1511,1.9
St. Bernard,Democrat,Hillary Clinton,1057,7.7
Coweta,Republican,Donald Trump,9593,8.5
Sumter,Republican,Donald Trump,17769,7.4
McDowell,Democrat,Bernie Sanders,1453,1.0
Bullock,Democrat,Hillary Clinton,2451,5.2
Knox,Democrat,Bernie Sanders,3168,4.9
Howard,Democrat,Hillary Clinton,30873,22.5
Leelanau,Democrat,Bernie Sanders,2359,5.3
Boone,Democrat,Hillary Clinton,2932,6.3
Madison,Republican,Donald Trump,7540,5.8
Tallahatchie,Democrat,Hillary Clinton,1341,10.6
Cedar,Republican,Ted Cruz,1404,3.2
Rockland,Democrat,Hillary Clinton,16966,37.3
Milwaukee,Democrat,Hillary Clinton,100932,16.1
Amador,Republican,Donald Trump,3605,9.6
Franklin,Republican,Donald Trump,9080,2.3
Jackson,Republican,Donald Trump,9934,6.4
Petersburg,Democrat,Hillary Clinton,4099,5.0
Dallas,Republican,Marco Rubio,2469,8.6
Faulkner,Republican,Ted Cruz,6228,4.8
Lafayette,Republican,Donald Trump,2521,4.6
Charlton,Republican,Donald Trump,602,7.4
Carter,Democrat,Bernie Sanders,1051,0.6
Monroe,Republican,Donald Trump,3272,3.2
Wayne,Republican,Donald Trump,2075,2.3
Echols,Republican,Donald Trump,268,23.2
Richland,Republican,Donald Trump,1469,3.7
Hampton,Democrat,Hillary Clinton,13529,7.3
Manhattan,Democrat,Hillary Clinton,177496,40.4
Trimble,Democrat,Bernie Sanders,542,4.9
Sunflower,Democrat,Hillary Clinton,2332,2.4
Marion,Republican,Ted Cruz,2263,2.5
Lee,Republican,Donald Trump,3057,5.4
Monroe,Republican,Donald Trump,6030,22.9
Daviess,Republican,Donald Trump,634,9.3
Cameron,Republican,Donald Trump,216,7.6
Jefferson,Democrat,Hillary Clinton,16580,20.0
El Dorado,Republican,Donald Trump,17651,12.5
Lafayette,Republican,Donald Trump,7171,15.0
Hardin,Democrat,Hillary Clinton,4359,7.6
Jackson,Democrat,Hillary Clinton,48860,8.8
Crawford,Republican,Donald Trump,1108,1.6
Union,Republican,Donald Trump,875,1.8
Montcalm,Republican,Donald Trump,3051,3.4
San Mateo,Democrat,Hillary Clinton,47358,46.0
Payette,Republican,Ted Cruz,1364,11.0
Wilcox,Democrat,Hillary Clinton,3337,0.9
Grenada,Republican,Donald Trump,1727,0.9
Prince Edward,Democrat,Hillary Clinton,1366,6.0
Grant,Republican,Donald Trump,162,0.0
Dakota,Republican,Donald Trump,819,36.4
Harris,Republican,Donald Trump,2542,4.5
Wayne,Republican,Ted Cruz,171,2.4
Williamsburg,Democrat,Bernie Sanders,1197,10.3
Banks,Republican,Donald Trump,1806,4.6
Pontotoc,Republican,Ted Cruz,2498,5.1
Nottoway,Democrat,Hillary Clinton,829,4.9
Harrison,Republican,Donald Trump,12555,6.7
Glacier,Democrat,Bernie Sanders,1074,10.7
Union,Republican,Donald Trump,719,4.9
Marlboro,Democrat,Hillary Clinton,2132,3.0
Bladen,Democrat,Hillary Clinton,3442,6.4
Ziebach,Democrat,Bernie Sanders,132,23.4
Jeff Davis,Democrat,Hillary Clinton,738,11.5
Lauderdale,Republican,Donald Trump,7502,3.0
Laurens,Republican,Donald Trump,3088,3.3
Cass,Republican,Donald Trump,680,16.9
Montgomery,Republican,Donald Trump,1192,1.3
Halifax,Democrat,Hillary Clinton,6224,2.6
Montgomery,Democrat,Bernie Sanders,192,3.2
Dona Ana,Democrat,Hillary Clinton,9097,51.0
Montgomery,Republican,Donald Trump,4412,4.6
Lincoln,Republican,Donald Trump,742,1.6
Cobb,Democrat,Hillary Clinton,39277,20.3
Lee,Democrat,Hillary Clinton,929,2.7
Cecil,Republican,Donald Trump,7348,6.1
Fredericksburg,Democrat,Hillary Clinton,1396,11.8
Cochise,Republican,Donald Trump,6339,27.4
Dougherty,Democrat,Hillary Clinton,8891,3.7
Harrison,Democrat,Bernie Sanders,1059,3.5
Madison,Democrat,Hillary Clinton,4351,4.5
Dewey,Democrat,Bernie Sanders,342,13.0
Nassau,Democrat,Hillary Clinton,70947,27.9
Antelope,Republican,Donald Trump,772,3.5
DeKalb,Democrat,Bernie Sanders,8315,11.8
Danville,Democrat,Hillary Clinton,2676,4.9
Ada,Republican,Ted Cruz,20156,8.4
Harlan,Democrat,Bernie Sanders,1092,1.4
Zavala,Democrat,Hillary Clinton,1557,79.3
Park,Republican,Donald Trump,1901,4.0
Sampson,Democrat,Hillary Clinton,3790,15.7
Brunswick,Democrat,Hillary Clinton,1354,3.0
Tipton,Republican,Donald Trump,2269,3.2
Moody,Democrat,Hillary Clinton,262,8.1
Lee,Republican,Donald Trump,273,1.0
Power,Republican,Ted Cruz,421,26.9
Jackson,Democrat,Hillary Clinton,450,2.3
Kenedy,Democrat,Hillary Clinton,63,30.5
Clackamas,Democrat,Bernie Sanders,27969,11.8
Cherry,Republican,Donald Trump,1220,2.8
Coosa,Republican,Donald Trump,1233,3.3
Morrill,Republican,Donald Trump,695,9.8
Hall,Republican,Donald Trump,12536,26.2
Dubois,Republican,Donald Trump,4692,7.9
St. Charles,Democrat,Hillary Clinton,2245,5.9
Sabine,Republican,Ted Cruz,728,2.9
Wayne,Republican,Donald Trump,1735,2.0
Denver,Democrat,Bernie Sanders,14624,26.9
Fremont,Democrat,Hillary Clinton,10,7.3
Nassau,Republican,Donald Trump,9192,3.7
Jeff Davis,Democrat,Hillary Clinton,1806,1.2
Bertie,Democrat,Hillary Clinton,2065,2.1
Murray,Republican,Donald Trump,3084,13.1
Frederick,Republican,Donald Trump,15076,12.3
Door,Democrat,Bernie Sanders,3417,4.3
Lincoln,Democrat,Hillary Clinton,1692,4.2
Johnson,Republican,Donald Trump,326,9.2
Benton,Democrat,Bernie Sanders,11567,12.0
Warren,Republican,Donald Trump,1018,10.0
Kershaw,Democrat,Hillary Clinton,3743,4.6
Richland,Democrat,Hillary Clinton,39243,7.7
Yalobusha,Democrat,Hillary Clinton,1214,0.9
Dolores,Democrat,Bernie Sanders,22,2.1
Decatur,Republican,Donald Trump,1525,4.0
Cortland,Democrat,Bernie Sanders,1878,4.4
Rosebud,Republican,Donald Trump,959,8.4
Centre,Democrat,Bernie Sanders,10269,9.6
Sonoma,Democrat,Hillary Clinton,44923,25.5
Calhoun,Democrat,Hillary Clinton,413,0.3
LaSalle,Republican,Donald Trump,6950,6.4
Stephens,Republican,Donald Trump,1726,2.9
Humphreys,Democrat,Hillary Clinton,2894,0.8
Edgar,Republican,Donald Trump,1562,1.8
Meriwether,Democrat,Hillary Clinton,1463,1.7
Dorchester,Republican,Donald Trump,2744,5.3
Heard,Republican,Donald Trump,1068,0.4
Chesapeake,Democrat,Hillary Clinton,16126,7.4
Hayes,Republican,Donald Trump,103,4.3
Lane,Democrat,Bernie Sanders,41883,8.9
Washington,Republican,Ted Cruz,783,14.1
Floyd,Republican,Donald Trump,5945,9.7
Marion,Democrat,Hillary Clinton,3359,3.2
Muscogee,Democrat,Hillary Clinton,12801,9.1
Morgan,Republican,Donald Trump,1656,2.1
Ionia,Democrat,Bernie Sanders,2812,3.7
Seminole,Republican,Donald Trump,754,1.6
Menifee,Democrat,Bernie Sanders,323,3.1
Gooding,Republican,Ted Cruz,863,20.5
Colusa,Republican,Donald Trump,1342,46.3
Brown,Republican,Donald Trump,2202,3.4
Jerome,Republican,Ted Cruz,1164,24.4
Boone,Democrat,Bernie Sanders,715,2.9
Linn,Democrat,Bernie Sanders,6331,4.7
Wheeler,Republican,Donald Trump,283,1.1
Willacy,Democrat,Hillary Clinton,2072,45.4
Hale,Democrat,Hillary Clinton,2426,2.7
Perry,Democrat,Bernie Sanders,1666,1.1
Sandoval,Democrat,Hillary Clinton,7448,28.9
Tazewell,Republican,Ted Cruz,12085,2.9
Dooly,Democrat,Hillary Clinton,737,4.9
Decatur,Republican,Ted Cruz,173,5.9
Grady,Republican,Donald Trump,1422,8.6
Barry,Republican,Donald Trump,3478,2.4
Powder River,Republican,Donald Trump,516,1.8
Knox,Republican,Donald Trump,4918,2.1
Crittenden,Democrat,Bernie Sanders,344,7.6
Lincoln,Democrat,Hillary Clinton,3,4.3
Delaware,Republican,Donald Trump,8793,2.9
Franklin,Democrat,Hillary Clinton,226,10.1
Muskegon,Democrat,Bernie Sanders,10062,4.2
Shelby,Democrat,Bernie Sanders,232,2.8
Adams,Republican,Ted Cruz,3851,16.8
Bamberg,Democrat,Hillary Clinton,1715,1.8
Pope,Republican,Donald Trump,3073,6.9
Travis,Democrat,Bernie Sanders,73889,31.3
Montezuma,Democrat,Bernie Sanders,412,13.4
Pitkin,Democrat,Bernie Sanders,421,16.5
Fluvanna,Democrat,Hillary Clinton,1355,3.8
Madison,Democrat,Bernie Sanders,2044,3.1
Miami-Dade,Democrat,Hillary Clinton,129467,72.2
Mesa,Democrat,Bernie Sanders,1095,8.2
Morgan,Republican,Donald Trump,2378,3.0
Vermilion,Republican,Donald Trump,5021,4.7
Cheboygan,Republican,Donald Trump,2089,2.1
Aurora,Democrat,Hillary Clinton,150,6.3
Greenwood,Democrat,Hillary Clinton,3588,6.3
Dade,Republican,Ted Cruz,997,2.1
Onondaga,Democrat,Hillary Clinton,20397,10.2
Chambers,Democrat,Hillary Clinton,2899,1.3
Burt,Republican,Donald Trump,603,2.4
Fayette,Democrat,Hillary Clinton,9184,2.6
Bossier,Republican,Ted Cruz,4988,6.6
Hancock,Republican,Donald Trump,4147,5.2
Roscommon,Republican,Donald Trump,2257,2.5
Oglala Lakota,Democrat,Bernie Sanders,574,24.4
Weston,Democrat,Hillary Clinton,1,1.7
Big Horn,Republican,Donald Trump,1087,29.9
Forrest,Republican,Donald Trump,4267,4.2
Buchanan,Democrat,Hillary Clinton,525,6.0
East Feliciana,Democrat,Hillary Clinton,1847,1.8
Garrard,Republican,Donald Trump,581,2.5
Otsego,Republican,Donald Trump,1933,2.2
Missaukee,Republican,Donald Trump,1221,3.3
Mercer,Republican,Ted Cruz,1073,2.1
Jefferson,Democrat,Hillary Clinton,67357,5.9
Fayette,Republican,Donald Trump,8055,11.6
Carter,Republican,Donald Trump,349,2.4
Jones,Republican,Donald Trump,2318,2.4
Summers,Democrat,Bernie Sanders,1060,3.6
Socorro,Democrat,Hillary Clinton,1050,44.8
Moultrie,Republican,Ted Cruz,1321,9.6
Norfolk,Democrat,Hillary Clinton,15747,9.6
Knox,Republican,Donald Trump,343,3.7
Geneva,Republican,Donald Trump,3106,3.0
Clay,Democrat,Hillary Clinton,960,1.9
Breathitt,Democrat,Bernie Sanders,1716,1.7
Campbell,Democrat,Hillary Clinton,3169,3.9
Williamsburg,Democrat,Hillary Clinton,4609,2.6
Osceola,Republican,Ted Cruz,113,6.4
Ulster,Democrat,Bernie Sanders,11572,11.9
Jefferson,Republican,Donald Trump,1648,1.8
McDonald,Republican,Donald Trump,1580,13.1
Carter,Democrat,Bernie Sanders,2113,5.4
Jim Wells,Democrat,Hillary Clinton,4688,50.2
Vermilion,Republican,Donald Trump,1460,20.1
Hertford,Democrat,Hillary Clinton,2926,5.7
Union,Republican,Donald Trump,1332,6.0
Lewis,Republican,Donald Trump,522,2.0
Claiborne,Democrat,Hillary Clinton,768,3.2
Knox,Republican,Donald Trump,1285,1.4
Breckinridge,Democrat,Hillary Clinton,877,2.8
Buncombe,Democrat,Bernie Sanders,30913,7.4
Sanilac,Republican,Donald Trump,3279,3.7
Buchanan,Republican,Donald Trump,4691,5.5
Winchester,Democrat,Hillary Clinton,949,17.7
Webster,Democrat,Bernie Sanders,1169,5.0
Haralson,Republican,Donald Trump,2818,1.7
Person,Democrat,Hillary Clinton,2954,4.4
Coconino,Democrat,Bernie Sanders,6941,23.5
Madison,Republican,Donald Trump,916,4.3
Okmulgee,Democrat,Bernie Sanders,1882,3.1
Owyhee,Republican,Ted Cruz,717,21.2
Forsyth,Republican,Donald Trump,15698,18.1
Boulder,Democrat,Bernie Sanders,11142,16.5
Muscatine,Democrat,Bernie Sanders,972,14.4
Clarke,Democrat,Hillary Clinton,3148,1.3
Livingston,Republican,Donald Trump,1191,2.0
Madison,Democrat,Hillary Clinton,1542,6.9
Clarke,Democrat,Hillary Clinton,7089,13.5
Crawford,Republican,Donald Trump,1508,3.0
Jefferson,Republican,Donald Trump,17781,3.2
Berrien,Republican,Donald Trump,7817,7.8
Custer,Democrat,Bernie Sanders,45,5.9
Caswell,Democrat,Hillary Clinton,1701,3.2
Los Alamos,Democrat,Hillary Clinton,1424,16.4
Trigg,Democrat,Bernie Sanders,715,6.7
Hamilton,Democrat,Hillary Clinton,353,6.0
Cedar,Democrat,Bernie Sanders,445,2.9
Grundy,Republican,Donald Trump,978,4.4
Lee,Republican,Donald Trump,51659,21.2
Tama,Democrat,Hillary Clinton,476,10.5
Karnes,Democrat,Hillary Clinton,719,34.7
Cleburne,Republican,Donald Trump,2530,2.9
Perry,Democrat,Hillary Clinton,2575,0.8
Calhoun,Democrat,Bernie Sanders,200,1.9
Knox,Republican,Donald Trump,642,3.5
Conecuh,Democrat,Hillary Clinton,2031,2.2
Nash,Democrat,Hillary Clinton,8554,6.9
Randolph,Republican,Donald Trump,735,1.6
Cross,Republican,Donald Trump,972,1.2
Erie,Democrat,Hillary Clinton,50199,10.0
Arlington,Democrat,Hillary Clinton,25561,29.0
Desha,Democrat,Hillary Clinton,1342,4.1
Jackson,Republican,Donald Trump,5362,7.1
Talbot,Democrat,Hillary Clinton,852,2.8
Vernon,Republican,Donald Trump,1530,3.2
Webster,Democrat,Hillary Clinton,866,3.3
Huerfano,Democrat,Bernie Sanders,150,14.9
Virginia Beach,Democrat,Hillary Clinton,22352,11.7
Webster,Democrat,Hillary Clinton,1878,2.0
Hempstead,Republican,Ted Cruz,917,10.3
Prentiss,Republican,Donald Trump,1597,1.4
Newton,Republican,Ted Cruz,6452,6.8
Chattooga,Republican,Donald Trump,1674,4.6
Smith,Republican,Donald Trump,1820,1.5
Boyd,Republican,Donald Trump,327,1.8
Hopewell,Democrat,Hillary Clinton,1177,6.1
Colleton,Democrat,Hillary Clinton,2932,3.3
Canyon,Republican,Ted Cruz,11164,18.1
Wilcox,Republican,Donald Trump,602,4.2
La Paz,Republican,Donald Trump,940,18.8
Alcorn,Republican,Donald Trump,2901,2.9
Beauregard,Republican,Ted Cruz,1363,4.3
Wetzel,Democrat,Bernie Sanders,1744,1.2
Clay,Republican,Donald Trump,702,7.7
Starke,Republican,Donald Trump,2456,3.2
Bracken,Democrat,Bernie Sanders,424,1.4
St. Helena,Democrat,Hillary Clinton,1407,2.4
Wright,Republican,Donald Trump,1874,2.5
Rowan,Democrat,Bernie Sanders,1363,2.1
Cass,Republican,Ted Cruz,7671,3.5
Butler,Democrat,Hillary Clinton,2196,1.7
Oregon,Republican,Donald Trump,941,1.5
Crook,Democrat,Bernie Sanders,1,1.3
Sevier,Republican,Donald Trump,593,28.6
Loup,Republican,Donald Trump,101,0.5
Teton,Democrat,Bernie Sanders,9,15.1
Pike,Republican,Donald Trump,1930,1.8
Telfair,Republican,Donald Trump,626,12.3
Gilmer,Republican,Donald Trump,3314,9.0
Brookings,Democrat,Hillary Clinton,955,6.6
Union,Democrat,Hillary Clinton,2548,4.0
Dearborn,Republican,Donald Trump,6617,2.2
Randolph,Republican,Donald Trump,2352,3.4
Presidio,Democrat,Hillary Clinton,776,87.1
Jefferson,Democrat,Bernie Sanders,347,6.2
Clay,Republican,Ted Cruz,13559,7.5
Multnomah,Democrat,Bernie Sanders,87247,19.6
Chatham,Democrat,Hillary Clinton,7406,14.9
Greene,Republican,Ted Cruz,26784,5.1
McDonough,Republican,Donald Trump,1599,5.9
Boyle,Democrat,Hillary Clinton,1648,4.0
Greensville,Democrat,Hillary Clinton,832,3.1
Maverick,Democrat,Hillary Clinton,4342,94.2
Sebastian,Republican,Donald Trump,6030,14.5
Livingston,Republican,Donald Trump,15359,3.8
Lemhi,Republican,Donald Trump,757,2.8
DeKalb,Republican,Donald Trump,4203,2.8
Independence,Republican,Donald Trump,2077,4.3
Newberry,Democrat,Hillary Clinton,2118,7.7
LeFlore,Democrat,Bernie Sanders,2283,6.0
Dunklin,Republican,Donald Trump,1781,4.9
Forsyth,Democrat,Hillary Clinton,24446,14.1
Monterey,Democrat,Hillary Clinton,17126,52.6
Jefferson,Republican,Donald Trump,3077,3.4
Holt,Republican,Donald Trump,504,1.6
Fayette,Democrat,Hillary Clinton,20014,11.9
Keith,Republican,Donald Trump,1253,3.1
Marion,Republican,Donald Trump,2454,1.4
Colbert,Democrat,Hillary Clinton,3879,2.6
Macon,Republican,Donald Trump,6655,3.4
Sac,Republican,Donald Trump,212,2.8
Laramie,Democrat,Hillary Clinton,26,6.8
Evans,Republican,Donald Trump,481,12.5
Newton,Republican,Donald Trump,1794,4.4
Grant,Democrat,Hillary Clinton,2272,31.8
Henry,Republican,Donald Trump,1778,5.0
Scotland,Democrat,Hillary Clinton,2671,3.2
Claiborne,Democrat,Hillary Clinton,1411,1.5
Kings,Republican,Donald Trump,7046,42.8
Hidalgo,Democrat,Hillary Clinton,515,37.1
Houston,Republican,Donald Trump,7091,8.5
Scott,Democrat,Hillary Clinton,2505,4.7
DeSoto,Republican,Donald Trump,1445,29.2
Tompkins,Democrat,Bernie Sanders,9298,14.7
Pinal,Republican,Donald Trump,12182,21.9
Franklin,Democrat,Bernie Sanders,5398,5.0
Seminole,Democrat,Bernie Sanders,1194,4.9
Christian,Democrat,Hillary Clinton,2437,6.6
Hamilton,Republican,Donald Trump,1030,2.5
Gallatin,Democrat,Bernie Sanders,663,0.4
Marshall,Democrat,Hillary Clinton,287,3.5
Minnehaha,Democrat,Hillary Clinton,6018,9.9
East Baton Rouge,Democrat,Hillary Clinton,32960,8.0
Ray,Republican,Donald Trump,1565,1.9
Clayton,Democrat,Bernie Sanders,408,3.4
Scott,Republican,Donald Trump,510,1.1
Pettis,Republican,Donald Trump,3343,12.2
Vernon,Democrat,Bernie Sanders,3476,11.4
Hyde,Democrat,Hillary Clinton,459,5.3
Nelson,Democrat,Hillary Clinton,2395,2.8
Scotland,Republican,Donald Trump,395,9.9
Ouachita,Democrat,Hillary Clinton,2095,1.6
Grant,Democrat,Bernie Sanders,715,2.9
Worth,Democrat,Bernie Sanders,218,2.7
Gates,Democrat,Hillary Clinton,749,1.5
Keweenaw,Democrat,Bernie Sanders,188,2.2
Montmorency,Republican,Donald Trump,1046,2.4
Montgomery,Democrat,Bernie Sanders,1322,1.7
Eagle,Democrat,Bernie Sanders,623,29.6
Webster,Republican,Donald Trump,191,2.0
Mason,Democrat,Bernie Sanders,775,3.3
Benton,Republican,Donald Trump,1175,4.7
Henderson,Democrat,Hillary Clinton,2887,3.1
Deuel,Democrat,Hillary Clinton,162,3.5
Pasco,Republican,Donald Trump,33536,13.9
Fulton,Democrat,Hillary Clinton,82576,16.7
LaSalle,Republican,Donald Trump,577,3.1
Wasco,Democrat,Bernie Sanders,1795,15.3
Miller,Republican,Donald Trump,555,1.1
Issaquena,Democrat,Hillary Clinton,175,0.1
Montgomery,Republican,Donald Trump,712,5.2
Kiowa,Democrat,Bernie Sanders,514,6.3
Santa Clara,Democrat,Hillary Clinton,109963,51.2
Jackson,Republican,Donald Trump,582,0.7
Winnebago,Democrat,Bernie Sanders,16715,12.4
Orange,Republican,Donald Trump,2574,1.6
Butte,Republican,Donald Trump,15695,13.6
McCormick,Democrat,Hillary Clinton,973,2.9
Oglethorpe,Republican,Donald Trump,1230,3.0
Tattnall,Republican,Donald Trump,1089,11.3
Arthur,Republican,Donald Trump,68,2.4
Limestone,Republican,Donald Trump,8198,6.4
Wayne,Democrat,Hillary Clinton,7546,10.9
San Juan,Democrat,Bernie Sanders,27,5.6
Abbeville,Democrat,Hillary Clinton,1501,2.3
Warren,Democrat,Hillary Clinton,3463,3.1
Apache,Democrat,Hillary Clinton,4450,57.0
Hoke,Democrat,Hillary Clinton,3528,12.7
Uvalde,Democrat,Hillary Clinton,1740,53.4
Alameda,Democrat,Hillary Clinton,107102,43.1
Phillips,Democrat,Hillary Clinton,2696,1.9
Garfield,Republican,Donald Trump,357,1.3
Ouray,Democrat,Bernie Sanders,156,6.4
Douglas,Republican,Donald Trump,1657,1.7
Highlands,Republican,Donald Trump,7480,18.9
Durham,Democrat,Hillary Clinton,35845,19.4
Hardin,Republican,Ted Cruz,417,4.0
Washington,Republican,Donald Trump,3156,2.3
Hampton,Democrat,Hillary Clinton,1930,4.3
Appanoose,Republican,Donald Trump,292,2.3
Adams,Democrat,Bernie Sanders,3279,28.4
Chariton,Republican,Donald Trump,597,0.9
Cherokee,Republican,Donald Trump,2777,1.1
Holmes,Republican,Donald Trump,1239,3.8
Ford,Republican,Ted Cruz,1281,2.3
Pontotoc,Democrat,Bernie Sanders,2392,4.1
Lyon,Democrat,Bernie Sanders,561,2.6
Lafayette,Republican,Donald Trump,2518,2.3
Pawnee,Democrat,Bernie Sanders,762,2.7
Harrison,Republican,Donald Trump,755,2.5
Yellowstone,Republican,Donald Trump,17925,4.0
Shasta,Republican,Donald Trump,14822,8.7
Northampton,Democrat,Hillary Clinton,868,7.8
Garfield,Democrat,Bernie Sanders,734,24.8
Culberson,Democrat,Hillary Clinton,355,64.0
Taliaferro,Democrat,Hillary Clinton,236,2.6
Upson,Republican,Donald Trump,1910,2.6
Suwannee,Republican,Donald Trump,2844,8.1
Montgomery,Republican,Donald Trump,2269,2.7
Okaloosa,Republican,Donald Trump,17770,9.6
Barnwell,Democrat,Hillary Clinton,1560,2.5
Prowers,Democrat,Hillary Clinton,40,26.1
Vigo,Republican,Donald Trump,8539,5.6
Lenawee,Republican,Donald Trump,5167,4.8
Marion,Republican,Donald Trump,2760,2.5
Fountain,Republican,Donald Trump,2742,2.8
Winnebago,Democrat,Bernie Sanders,17818,5.4
Tyrrell,Democrat,Hillary Clinton,266,12.0
Chowan,Democrat,Hillary Clinton,974,4.1
Dodge,Republican,Donald Trump,1360,4.3
New Castle,Democrat,Hillary Clinton,38580,14.6
Fairfield,Democrat,Hillary Clinton,3260,3.4
Carroll,Republican,John Kasich,0,13.6
Ogemaw,Republican,Donald Trump,1612,2.2
Baldwin,Democrat,Hillary Clinton,3034,3.7
Oceana,Republican,Ted Cruz,1698,11.5
Lamar,Republican,Donald Trump,1398,2.6
San Luis Obispo,Republican,Donald Trump,19313,18.0
Metcalfe,Democrat,Bernie Sanders,582,1.1
Mississippi,Democrat,Hillary Clinton,2017,4.2
Perry,Republican,Donald Trump,676,0.7
Greene,Republican,Donald Trump,1088,2.6
Grand,Democrat,Bernie Sanders,187,9.6
Lincoln,Democrat,Hillary Clinton,599,3.3
Van Buren,Republican,Donald Trump,1198,2.8
Lincoln,Democrat,Hillary Clinton,20,10.9
Liberty,Democrat,Bernie Sanders,392,8.1
Platte,Democrat,Bernie Sanders,2,3.5
Woodford,Democrat,Bernie Sanders,1918,8.5
