county;party;candidate;votes;income
Clinch;Republican;Donald Trump;412;17815
Clinton;Democrat;Bernie Sanders;1234;25966
Clinton;Democrat;Bernie Sanders;4301;24676
Clinton;Democrat;Bernie Sanders;4524;28449
Clinton;Republican;Donald Trump;3252;21554
Clinton;Republican;Donald Trump;3938;22026
Coahoma;Democrat;Hillary Clinton;2301;15742
Coal;Democrat;Bernie Sanders;456;19752
Cobb;Democrat;Hillary Clinton;39277;33069
Coconino;Democrat;Bernie Sanders;6941;23382
Codington;Republican;Donald Trump;1473;25582
Colbert;Democrat;Hillary Clinton;3879;21572
Coles;Republican;Donald Trump;3156;21970
Colfax;Democrat;Hillary Clinton;949;21387
Colfax;Republican;Donald Trump;494;23751
Colleton;Democrat;Hillary Clinton;2932;18769
Collier;Republican;Donald Trump;30071;36439
Colonial Heights;Republican;Donald Trump;1417;27610
Columbia;Democrat;Bernie Sanders;3302;33613
Columbia;Democrat;Bernie Sanders;4221;26271
Columbia;Democrat;Bernie Sanders;6455;28273
Columbia;Republican;Donald Trump;651;23814
Columbia;Republican;Donald Trump;1149;19439
Columbia;Republican;Donald Trump;4019;19306
Columbia;Republican;Donald Trump;9177;30949
Columbus;Democrat;Hillary Clinton;3628;19275
Colusa;Republican;Donald Trump;1342;21579
Comal;Republican;Ted Cruz;13004;32980
Comanche;Democrat;Bernie Sanders;3804;22363
Concordia;Democrat;Hillary Clinton;1830;16431
Conecuh;Democrat;Hillary Clinton;2031;15605
Conejos;Democrat;Hillary Clinton;73;17316
Contra Costa;Democrat;Hillary Clinton;69809;38219
Converse;Democrat;Bernie Sanders;3;30941
Conway;Democrat;Hillary Clinton;1755;20040
Cook;Republican;Donald Trump;1229;18592
Cooper;Republican;Ted Cruz;1369;22910
Coos;Republican;Donald Trump;5961;22239
Coosa;Republican;Donald Trump;1233;18493
Copiah;Democrat;Hillary Clinton;3373;18318
Corson;Democrat;Bernie Sanders;148;14262
Cortland;Democrat;Bernie Sanders;1878;23179
Coryell;Republican;Ted Cruz;3327;19357
Costilla;Democrat;Hillary Clinton;64;20742
Cotton;Democrat;Bernie Sanders;388;21452
Covington;Democrat;Hillary Clinton;244;20160
Covington;Republican;Donald Trump;1724;17241
Covington;Republican;Donald Trump;4608;20391
Craig;Democrat;Bernie Sanders;926;19820
Craven;Republican;Donald Trump;5608;24260
Crawford;Democrat;Bernie Sanders;1582;22549
Crawford;Republican;Donald Trump;930;20556
Crawford;Republican;Donald Trump;1108;21492
Crawford;Republican;Donald Trump;1162;20504
Crawford;Republican;Donald Trump;1508;25214
Crawford;Republican;Donald Trump;7471;21741
Crittenden;Democrat;Bernie Sanders;344;21375
Crittenden;Democrat;Hillary Clinton;3379;19665
Crockett;Democrat;Hillary Clinton;266;23872
Crook;Democrat;Bernie Sanders;1;28212
Crook;Democrat;Hillary Clinton;1;28212
Crook;Republican;Donald Trump;3051;20883
Crosby;Republican;Ted Cruz;353;18959
Crowley;Democrat;Bernie Sanders;16;17187
Culberson;Democrat;Hillary Clinton;355;16227
Culpeper;Republican;Donald Trump;2620;27379
Cumberland;Democrat;Hillary Clinton;6875;22524
Cumberland;Democrat;Hillary Clinton;22744;23067
Cumberland;Republican;Donald Trump;460;17697
Cumberland;Republican;Donald Trump;5152;21141
Cumberland;Republican;Donald Trump;22457;31791
Cuming;Republican;Donald Trump;783;24496
Curry;Republican;Donald Trump;2583;21259
Curry;Republican;Donald Trump;2936;23972
Custer;Democrat;Bernie Sanders;45;25761
Custer;Republican;Donald Trump;430;23965
Custer;Republican;Donald Trump;1068;28356
Custer;Republican;Donald Trump;1306;24615
Cuyahoga;Democrat;Hillary Clinton;125914;27423
Dade;Republican;Donald Trump;1151;21690
Dade;Republican;Ted Cruz;997;20034
Dale;Republican;Donald Trump;4151;22685
Dallas;Democrat;Hillary Clinton;693;16838
Dallas;Democrat;Hillary Clinton;8577;17245
Dallas;Democrat;Hillary Clinton;113574;26816
Dallas;Republican;Donald Trump;1672;18155
Dane;Democrat;Bernie Sanders;102585;33712
Danville;Democrat;Hillary Clinton;2676;19626
Darlington;Democrat;Hillary Clinton;4988;20105
Davidson;Democrat;Hillary Clinton;43691;28467
Daviess;Democrat;Bernie Sanders;5188;22963
Daviess;Republican;Donald Trump;3894;21416
Davis;Republican;Donald Trump;205;22210
Davis;Republican;Ted Cruz;17528;26035
Dawson;Republican;Donald Trump;1950;20142
Dawson;Republican;Ted Cruz;943;17677
Day;Democrat;Hillary Clinton;343;23126
DeBaca;Republican;Donald Trump;151;24879
DeKalb;Democrat;Bernie Sanders;8315;23696
DeKalb;Democrat;Hillary Clinton;82348;28810
DeKalb;Republican;Donald Trump;800;16635
DeKalb;Republican;Donald Trump;1240;21606
DeKalb;Republican;Donald Trump;6247;18149
DeSoto;Democrat;Hillary Clinton;1508;21547
DeSoto;Republican;Donald Trump;1445;15088
DeSoto;Republican;Ted Cruz;12300;25176
Dearborn;Republican;Donald Trump;6617;27058
