county;party;candidate;votes;income
Morgan;Democrat;Bernie Sanders;988;16233
Morgan;Republican;Donald Trump;1230;17747
Morgan;Republican;Donald Trump;1976;17935
Morgan;Republican;Donald Trump;2378;24337
Morgan;Republican;Donald Trump;10235;25781
Morrill;Republican;Donald Trump;695;22543
Morris;Republican;Ted Cruz;695;20045
Morrow;Republican;Donald Trump;859;20663
Motley;Republican;Ted Cruz;239;18828
Moultrie;Republican;Ted Cruz;1321;23786
Muhlenberg;Democrat;Bernie Sanders;1632;20008
Multnomah;Democrat;Bernie Sanders;87247;30475
Murray;Democrat;Bernie Sanders;909;21870
Murray;Republican;Donald Trump;3084;16449
Muscatine;Democrat;Bernie Sanders;972;25038
Muscogee;Democrat;Hillary Clinton;12801;22856
Muskegon;Democrat;Bernie Sanders;10062;20621
Muskogee;Democrat;Bernie Sanders;3515;19868
Musselshell;Republican;Donald Trump;1032;23022
Nance;Republican;Donald Trump;310;23684
Napa;Democrat;Hillary Clinton;7370;34795
Nash;Democrat;Hillary Clinton;8554;22880
Nassau;Democrat;Hillary Clinton;70947;42400
Nassau;Republican;Donald Trump;9192;28926
Natchitoches;Democrat;Hillary Clinton;2545;20802
Natrona;Democrat;Hillary Clinton;20;29877
Navajo;Democrat;Hillary Clinton;4415;16626
Navarro;Republican;Ted Cruz;3372;20327
Nelson;Democrat;Hillary Clinton;991;26059
Nelson;Democrat;Hillary Clinton;2395;23545
Nevada;Democrat;Bernie Sanders;8472;32346
Nevada;Democrat;Hillary Clinton;647;18695
New Castle;Democrat;Hillary Clinton;38580;32406
New Hanover;Republican;Donald Trump;12631;29679
New Kent;Republican;Donald Trump;1626;32068
New Madrid;Republican;Donald Trump;1376;21215
Newaygo;Republican;Ted Cruz;3557;20623
Newberry;Democrat;Hillary Clinton;2118;21591
Newport News;Democrat;Hillary Clinton;12495;25310
Newton;Democrat;Hillary Clinton;7269;21484
Nicholas;Democrat;Bernie Sanders;420;20450
Niobrara;Democrat;Bernie Sanders;2;26797
Noble;Republican;Donald Trump;1183;18853
Noble;Republican;Donald Trump;4422;21889
Noble;Republican;Ted Cruz;596;21947
Nodaway;Republican;Donald Trump;1268;18079
Nolan;Republican;Ted Cruz;1361;19002
Norfolk;Democrat;Hillary Clinton;15747;24659
Northampton;Democrat;Hillary Clinton;868;23473
Northampton;Democrat;Hillary Clinton;3195;17919
Nottoway;Democrat;Hillary Clinton;829;19337
Nowata;Democrat;Bernie Sanders;530;19256
Noxubee;Democrat;Hillary Clinton;1397;12780
Nueces;Democrat;Hillary Clinton;15662;23671
Nye;Republican;Donald Trump;980;21838
Oakland;Democrat;Hillary Clinton;92296;36458
Ocean;Republican;Donald Trump;44672;30477
Ochiltree;Republican;Ted Cruz;928;23382
Oconee;Republican;Donald Trump;2871;33801
Oconee;Republican;Donald Trump;4424;23904
Oconto;Republican;Donald Trump;4409;25941
Ogemaw;Republican;Donald Trump;1612;19634
Oglala Lakota;Democrat;Bernie Sanders;574;8768
Ohio;Democrat;Bernie Sanders;943;19005
Ohio;Republican;Donald Trump;3875;26135
Okaloosa;Republican;Donald Trump;17770;28600
Okanogan;Republican;Donald Trump;2828;20735
Okeechobee;Republican;Donald Trump;2202;17787
Okfuskee;Democrat;Bernie Sanders;596;16528
Oklahoma;Democrat;Hillary Clinton;34255;26561
Okmulgee;Democrat;Bernie Sanders;1882;19753
Oktibbeha;Democrat;Hillary Clinton;2389;20202
Oldham;Democrat;Hillary Clinton;2730;33591
Oneida;Republican;Donald Trump;4327;27041
Onondaga;Democrat;Hillary Clinton;20397;28746
Onslow;Republican;Donald Trump;8343;21084
Ontonagon;Republican;Donald Trump;519;21585
Orange;Democrat;Bernie Sanders;18096;34465
Orange;Democrat;Hillary Clinton;66654;24877
Orange;Republican;Donald Trump;2212;27655
Orange;Republican;Donald Trump;2574;18576
Orange;Republican;Donald Trump;146888;34057
Orangeburg;Democrat;Hillary Clinton;11819;17687
Oregon;Republican;Donald Trump;941;16331
Orleans;Democrat;Hillary Clinton;40601;26500
Orleans;Republican;Donald Trump;2532;22255
Osage;Democrat;Hillary Clinton;2390;22353
Osage;Republican;Donald Trump;1316;22629
Osceola;Democrat;Hillary Clinton;16512;19007
Osceola;Republican;Donald Trump;1812;18099
Otero;Democrat;Bernie Sanders;94;19078
Otsego;Democrat;Bernie Sanders;2623;24165
Otsego;Republican;Donald Trump;1933;24312
Ottawa;Democrat;Bernie Sanders;1238;18331
Ouachita;Democrat;Hillary Clinton;2095;18975
Ouachita;Democrat;Hillary Clinton;8995;21917
Ouray;Democrat;Bernie Sanders;156;33015
Outagamie;Republican;Ted Cruz;18621;28186
Owen;Democrat;Bernie Sanders;720;23991
Owen;Republican;Donald Trump;2679;21318
Owsley;Republican;Donald Trump;168;13611
Ozaukee;Republican;Ted Cruz;16919;42041
Page;Republican;Ted Cruz;249;23496
Palm Beach;Democrat;Hillary Clinton;103369;32858
Palo Alto;Democrat;Hillary Clinton;213;25055
Palo Pinto;Republican;Ted Cruz;2813;23655
Panola;Democrat;Hillary Clinton;3061;18073
Panola;Republican;Ted Cruz;2756;26525
Park;Democrat;Bernie Sanders;8;27824
Park;Democrat;Bernie Sanders;231;31504
Parker;Republican;Ted Cruz;12883;30692
Parmer;Republican;Ted Cruz;728;19304
Pasco;Republican;Donald Trump;33536;23736
Pasquotank;Democrat;Hillary Clinton;2471;22745
Passaic;Democrat;Hillary Clinton;29538;27152
Patrick;Republican;Donald Trump;1182;18860
Paulding;Republican;Donald Trump;10002;24168
Paulding;Republican;John Kasich;1657;22714
Pawnee;Democrat;Bernie Sanders;762;21220
Pawnee;Republican;Donald Trump;225;25426
Payette;Republican;Ted Cruz;1364;19165
Payne;Democrat;Bernie Sanders;3829;20868
Peach;Democrat;Hillary Clinton;1675;19431
Pecos;Democrat;Hillary Clinton;816;20245
Pemiscot;Republican;Donald Trump;1155;16881
Pendleton;Democrat;Bernie Sanders;546;23122
Peoria;Democrat;Hillary Clinton;11341;28438
Perkins;Republican;Donald Trump;331;27931
Perquimans;Republican;Donald Trump;726;23809
Perry;Democrat;Bernie Sanders;1666;18224
Perry;Democrat;Hillary Clinton;648;22047
Perry;Democrat;Hillary Clinton;2575;13716
Perry;Republican;Donald Trump;676;17183
Perry;Republican;Donald Trump;1461;19716
Perry;Republican;Donald Trump;2539;19372
Perry;Republican;Donald Trump;5424;26048
Person;Democrat;Hillary Clinton;2954;21292
Petersburg;Democrat;Hillary Clinton;4099;18936
Petroleum;Republican;Donald Trump;167;22714
Pettis;Republican;Donald Trump;3343;19709
Phelps;Republican;Donald Trump;3425;21173
Philadelphia;Democrat;Hillary Clinton;212785;22279
Phillips;Democrat;Bernie Sanders;18;20720
Phillips;Democrat;Hillary Clinton;2696;16830
Piatt;Republican;Ted Cruz;1855;31190
Pickens;Democrat;Hillary Clinton;2326;17153
Pickens;Republican;Donald Trump;7136;21182
Pickett;Republican;Donald Trump;594;21942
Pierce;Democrat;Bernie Sanders;3199;27462
Pierce;Republican;Donald Trump;48071;28223
Pike;Democrat;Bernie Sanders;4848;19351
Pike;Democrat;Hillary Clinton;2870;18183
Pike;Republican;Donald Trump;511;18377
Pike;Republican;Donald Trump;1241;18650
Pike;Republican;Donald Trump;1603;21344
Pike;Republican;Donald Trump;1711;20071
Pike;Republican;Donald Trump;5187;27691
Pima;Democrat;Hillary Clinton;56317;25269
Pinal;Republican;Donald Trump;12182;20910
Pinellas;Democrat;Hillary Clinton;63699;29262
Pitkin;Democrat;Bernie Sanders;421;51814
Pitt;Democrat;Hillary Clinton;11856;23029
Pittsburg;Democrat;Bernie Sanders;3026;21966
Platte;Democrat;Bernie Sanders;2;26335
Platte;Republican;Donald Trump;2902;24219
Platte;Republican;Ted Cruz;5798;35143
Plymouth;Republican;Donald Trump;618;27942
Pocahontas;Democrat;Hillary Clinton;198;25556
Pocahontas;Republican;Donald Trump;833;20373
Pointe Coupee;Democrat;Hillary Clinton;1680;23742
Polk;Democrat;Hillary Clinton;12122;30442
Polk;Republican;Donald Trump;436;27639
Polk;Republican;Donald Trump;1180;20274
Polk;Republican;Donald Trump;1895;19116
Polk;Republican;Donald Trump;3360;18336
Polk;Republican;Donald Trump;3542;25751
Pontotoc;Democrat;Bernie Sanders;2392;22381
Pope;Republican;Donald Trump;3073;19918
Poquoson;Republican;Donald Trump;1261;38444
Portage;Democrat;Bernie Sanders;9348;24972
Portsmouth;Democrat;Hillary Clinton;9464;23138
Pottawatomie;Democrat;Bernie Sanders;3400;20937
Pottawattamie;Democrat;Bernie Sanders;1573;25847
Potter;Republican;Donald Trump;2364;22564
Potter;Republican;Ted Cruz;5400;19861
Powder River;Republican;Donald Trump;516;28528
Powell;Democrat;Bernie Sanders;744;15174
Powell;Republican;Donald Trump;818;19736
Poweshiek;Democrat;Bernie Sanders;475;25318
Powhatan;Republican;Donald Trump;2509;31252
Prairie;Democrat;Hillary Clinton;558;18137
Prairie;Republican;Donald Trump;269;20644
Prentiss;Republican;Donald Trump;1597;16589
Presidio;Democrat;Hillary Clinton;776;16175
Price;Republican;Donald Trump;1673;23723
Prince Edward;Democrat;Hillary Clinton;1366;17208
Prince George;Democrat;Hillary Clinton;1992;24434
Prince George's;Democrat;Hillary Clinton;113912;32344
Prince William;Democrat;Hillary Clinton;26439;37401
Prowers;Democrat;Hillary Clinton;40;18941
Pueblo;Democrat;Hillary Clinton;1260;21940
Pulaski;Democrat;Hillary Clinton;34862;27414
Pulaski;Republican;Donald Trump;673;17781
Pulaski;Republican;Donald Trump;1668;21641
Pulaski;Republican;Donald Trump;2802;20863
Pulaski;Republican;Donald Trump;2821;20667
Pushmataha;Democrat;Bernie Sanders;667;18542
Putnam;Democrat;Bernie Sanders;504;27074
Putnam;Republican;Donald Trump;1983;26321
Putnam;Republican;Donald Trump;4087;21520
Quay;Republican;Donald Trump;695;17936
Queen Anne's;Republican;Donald Trump;5195;38108
Queens;Democrat;Hillary Clinton;122386;26495
Quitman;Democrat;Hillary Clinton;193;14201
Quitman;Democrat;Hillary Clinton;986;13954
Radford;Democrat;Bernie Sanders;655;16181
Raleigh;Republican;Donald Trump;7325;21837
Randolph;Democrat;Bernie Sanders;2492;19595
Randolph;Democrat;Hillary Clinton;690;18094
Randolph;Republican;Donald Trump;735;18871
Randolph;Republican;Donald Trump;1917;21976
Randolph;Republican;Donald Trump;9108;20523
Rapides;Democrat;Hillary Clinton;4722;22126
Reagan;Republican;Ted Cruz;360;26633
Real;Republican;Ted Cruz;562;17931
Red River;Democrat;Hillary Clinton;530;21443
Reeves;Democrat;Hillary Clinton;1128;15467
Refugio;Democrat;Hillary Clinton;549;23174
Rensselaer;Democrat;Bernie Sanders;6649;29987
Rich;Republican;Ted Cruz;198;24258
Richardson;Republican;Donald Trump;699;23566
Richland;Democrat;Bernie Sanders;1784;22778
Richland;Democrat;Hillary Clinton;696;18669
Richland;Democrat;Hillary Clinton;39243;25763
Richland;Republican;Donald Trump;1435;32036
Richland;Republican;John Kasich;8994;21932
Richmond;Democrat;Hillary Clinton;333;20875
Richmond;Democrat;Hillary Clinton;2941;17236
Richmond;Democrat;Hillary Clinton;16269;20526
Richmond City;Democrat;Hillary Clinton;21822;27184
Ringgold;Democrat;Hillary Clinton;132;23324
Rio Arriba;Democrat;Hillary Clinton;4915;20014
Rio Blanco;Democrat;Bernie Sanders;18;27586
Rio Grande;Democrat;Bernie Sanders;59;20557
Ritchie;Republican;Donald Trump;1740;17843
Roane;Republican;Donald Trump;1457;17341
Roanoke;Republican;Donald Trump;5650;31728
Roanoke City;Democrat;Hillary Clinton;4783;23295
Roberts;Democrat;Bernie Sanders;397;22670
Roberts;Republican;Ted Cruz;196;36172
Robertson;Democrat;Bernie Sanders;177;17641
Robertson;Republican;Donald Trump;4077;23809
Robertson;Republican;Ted Cruz;1397;21709
Robeson;Democrat;Hillary Clinton;8457;15343
Rock;Democrat;Bernie Sanders;17337;24094
Rock Island;Democrat;Hillary Clinton;10216;26455
Rockcastle;Republican;Donald Trump;743;16513
Rockdale;Democrat;Hillary Clinton;7930;23461
Rockland;Democrat;Hillary Clinton;16966;34591
Rockwall;Republican;Ted Cruz;7202;34617
Roger Mills;Democrat;Bernie Sanders;268;27326
Roscommon;Republican;Donald Trump;2257;23023
Ross;Republican;John Kasich;4918;21310
Routt;Democrat;Bernie Sanders;406;34873
Rowan;Democrat;Bernie Sanders;1363;17094
Rowan;Republican;Donald Trump;9369;20912
Runnels;Republican;Ted Cruz;1132;20235
Rush;Republican;Donald Trump;2362;23396
Rusk;Republican;Donald Trump;1617;21004
Rusk;Republican;Ted Cruz;4884;21640
Russell;Democrat;Hillary Clinton;4381;19678
Russell;Republican;Donald Trump;1730;19735
Rutherford;Republican;Donald Trump;4128;19551
Rutherford;Republican;Donald Trump;13229;25077
Sabine;Republican;Donald Trump;1215;18762
Sabine;Republican;Ted Cruz;728;22229
Sacramento;Democrat;Hillary Clinton;68248;26739
Saginaw;Democrat;Hillary Clinton;12348;22349
Saguache;Democrat;Bernie Sanders;219;20726
Saint Francis;Democrat;Hillary Clinton;1912;15511
Saint Lawrence;Democrat;Bernie Sanders;4102;22198
Salem;Republican;Donald Trump;1246;26661
Salem;Republican;Donald Trump;2994;28772
Saline;Republican;Donald Trump;562;20407
Saline;Republican;Donald Trump;1417;19006
Saline;Republican;Ted Cruz;7507;25962
Salt Lake;Democrat;Bernie Sanders;35610;26103
Saluda;Republican;Donald Trump;1248;19725
Sampson;Democrat;Hillary Clinton;3790;19479
San Augustine;Republican;Ted Cruz;916;18695
San Benito;Democrat;Hillary Clinton;2022;25914
San Bernardino;Democrat;Hillary Clinton;71246;21332
San Diego;Democrat;Hillary Clinton;139813;30668
San Francisco;Democrat;Hillary Clinton;85070;48486
San Jacinto;Republican;Ted Cruz;2333;24733
San Joaquin;Democrat;Hillary Clinton;25118;22589
San Juan;Democrat;Bernie Sanders;27;24711
San Juan;Republican;Ted Cruz;407;15476
San Luis Obispo;Republican;Donald Trump;19313;29954
San Mateo;Democrat;Hillary Clinton;47358;45732
San Miguel;Democrat;Bernie Sanders;329;40827
San Miguel;Democrat;Hillary Clinton;3418;17926
San Patricio;Republican;Ted Cruz;3047;23373
Sanborn;Republican;Donald Trump;122;25823
Sandoval;Democrat;Hillary Clinton;7448;26924
Sandusky;Republican;John Kasich;5064;22799
Sanilac;Republican;Donald Trump;3279;20713
Sanpete;Republican;Ted Cruz;1282;17811
Santa Barbara;Democrat;Hillary Clinton;23543;30352
Santa Clara;Democrat;Hillary Clinton;109963;41513
Santa Cruz;Democrat;Bernie Sanders;25171;32295
Santa Cruz;Democrat;Hillary Clinton;2496;17664
Santa Fe;Democrat;Hillary Clinton;16087;32298
Santa Rosa;Republican;Donald Trump;16044;26861
Sarasota;Republican;Donald Trump;34593;32313
Sarpy;Republican;Donald Trump;9459;30189
Sauk;Democrat;Bernie Sanders;7195;25988
Saunders;Republican;Donald Trump;1772;30039
Schenectady;Democrat;Bernie Sanders;6862;28319
Schley;Republican;Donald Trump;331;19037
Schoharie;Republican;Donald Trump;1419;26584
Schoolcraft;Republican;Donald Trump;529;20892
Schuyler;Republican;Donald Trump;697;23656
Schuyler;Republican;Donald Trump;938;24173
Scotland;Democrat;Hillary Clinton;2671;15679
Scott;Democrat;Bernie Sanders;4144;28948
Scott;Democrat;Hillary Clinton;2013;16789
Scott;Democrat;Hillary Clinton;2505;27802
Scott;Republican;Donald Trump;1929;20481
Scotts Bluff;Republican;Donald Trump;2397;23220
Scurry;Republican;Ted Cruz;1265;22860
Searcy;Republican;Donald Trump;939;16731
Sebastian;Republican;Donald Trump;6030;23222
Sedgwick;Democrat;Hillary Clinton;13;21536
Seminole;Democrat;Bernie Sanders;1194;18321
Seminole;Republican;Donald Trump;754;17641
Seminole;Republican;Donald Trump;25763;28675
Sequatchie;Republican;Donald Trump;1046;20899
Sequoyah;Democrat;Bernie Sanders;1872;18131
Sevier;Republican;Donald Trump;593;16021
Sevier;Republican;Donald Trump;7686;22242
Sevier;Republican;Ted Cruz;1010;19115
Shackelford;Republican;Ted Cruz;560;25436
Sharkey;Democrat;Hillary Clinton;645;15744
Sharp;Republican;Donald Trump;1241;16714
Shelby;Democrat;Bernie Sanders;232;26387
Shelby;Democrat;Hillary Clinton;2195;27039
Shelby;Democrat;Hillary Clinton;66465;25549
Shelby;Republican;Donald Trump;579;19331
Shelby;Republican;Ted Cruz;2069;23069
Shelby;Republican;Ted Cruz;2436;21126
Sheridan;Democrat;Bernie Sanders;7;27948
Sheridan;Democrat;Hillary Clinton;7;27948
Sheridan;Republican;Donald Trump;809;22551
Sherman;Republican;Ted Cruz;284;21936
Shiawassee;Democrat;Bernie Sanders;4452;22713
Sierra;Republican;Donald Trump;1013;17752
Silver Bow;Democrat;Hillary Clinton;4089;23562
Simpson;Democrat;Hillary Clinton;708;19441
Sioux;Republican;Ted Cruz;1524;24324
Skamania;Republican;Donald Trump;1078;28449
Smith;Republican;Donald Trump;1418;21153
Smith;Republican;Donald Trump;1820;20334
Smyth;Republican;Donald Trump;1744;20837
Snohomish;Republican;Donald Trump;35474;31349
Snyder;Republican;Donald Trump;3745;23088
Socorro;Democrat;Hillary Clinton;1050;18104
Solano;Democrat;Hillary Clinton;31753;28929
Somerset;Democrat;Hillary Clinton;19667;47803
Somerset;Republican;Donald Trump;1686;16748
Somerset;Republican;Donald Trump;9062;22192
Somervell;Republican;Ted Cruz;1206;28134
Sonoma;Democrat;Hillary Clinton;44923;32835
Southampton;Democrat;Hillary Clinton;1199;22433
Spalding;Republican;Donald Trump;4257;19783
Spartanburg;Republican;Donald Trump;15249;21889
Spencer;Democrat;Bernie Sanders;806;26666
Spencer;Republican;Donald Trump;2350;23641
Spotsylvania;Republican;Donald Trump;6858;31360
St. Bernard;Democrat;Hillary Clinton;1057;20316
St. Charles;Democrat;Hillary Clinton;2245;26756
St. Charles;Republican;Donald Trump;30489;31586
St. Clair;Democrat;Hillary Clinton;20987;26234
St. Clair;Republican;Donald Trump;11995;24357
St. Francois;Republican;Donald Trump;4061;18544
St. Helena;Democrat;Hillary Clinton;1407;19457
St. James;Democrat;Hillary Clinton;2114;24930
St. John the Baptist;Democrat;Hillary Clinton;3818;21335
St. Johns;Republican;Donald Trump;24205;36836
St. Joseph;Republican;Donald Trump;19059;23509
St. Joseph;Republican;Ted Cruz;2655;20570
St. Landry;Democrat;Hillary Clinton;4606;19387
St. Louis City;Democrat;Hillary Clinton;34458;23048
St. Louis County;Democrat;Hillary Clinton;89373;34795
St. Lucie;Republican;Donald Trump;18350;23285
St. Martin;Democrat;Hillary Clinton;1869;22164
St. Mary;Democrat;Hillary Clinton;1995;21313
St. Tammany;Republican;Donald Trump;12933;30363
Stafford;Republican;Donald Trump;7339;36574
Stanislaus;Republican;Donald Trump;15390;21663
Stanly;Republican;Donald Trump;5202;20504
Stanton;Republican;Donald Trump;537;23131
Stark;Republican;John Kasich;33297;24453
Starr;Democrat;Hillary Clinton;6918;11584
Staten Island;Republican;Donald Trump;20263;31823
Staunton;Democrat;Bernie Sanders;1364;24753
Stephens;Republican;Ted Cruz;2428;23038
Stephenson;Republican;Ted Cruz;3038;23350
Steuben;Republican;Donald Trump;3973;23975
Steuben;Republican;Donald Trump;5957;25371
Stevens;Republican;Donald Trump;5075;21986
Stewart;Democrat;Hillary Clinton;460;13238
Stoddard;Republican;Donald Trump;3024;22967
Stokes;Republican;Donald Trump;3776;21311
Stone;Republican;Donald Trump;3928;21733
Stonewall;Republican;Ted Cruz;141;24063
Story;Democrat;Bernie Sanders;2737;25986
Sublette;Democrat;Bernie Sanders;3;35944
Suffolk;Democrat;Hillary Clinton;7533;29135
Sullivan;Democrat;Bernie Sanders;2671;24963
Sullivan;Republican;Donald Trump;840;22923
Sullivan;Republican;Donald Trump;2379;19821
Sully;Republican;Donald Trump;133;30218
Summers;Democrat;Bernie Sanders;1060;17416
Summit;Democrat;Bernie Sanders;419;34025
Summit;Democrat;Bernie Sanders;1645;42462
Summit;Republican;John Kasich;79040;27818
Sumner;Republican;Donald Trump;9708;27795
Sumter;Democrat;Hillary Clinton;1960;17879
Sumter;Democrat;Hillary Clinton;2987;14156
Sumter;Democrat;Hillary Clinton;9816;20340
Sunflower;Democrat;Hillary Clinton;2332;12588
Surry;Democrat;Hillary Clinton;812;22600
Susquehanna;Republican;Donald Trump;5027;24477
Sussex;Democrat;Hillary Clinton;958;16546
Sutter;Republican;Donald Trump;4697;23602
Sutton;Republican;Ted Cruz;379;27721
Suwannee;Republican;Donald Trump;2844;18431
Swain;Democrat;Bernie Sanders;831;19626
Sweetwater;Democrat;Bernie Sanders;12;30517
Swisher;Republican;Ted Cruz;442;17880
Switzerland;Republican;Donald Trump;858;20019
Talbot;Democrat;Hillary Clinton;852;16993
Talbot;Republican;Donald Trump;3104;38022
Taliaferro;Democrat;Hillary Clinton;236;14381
Tallahatchie;Democrat;Hillary Clinton;1341;12747
Tallapoosa;Republican;Donald Trump;4658;21434
Tama;Democrat;Hillary Clinton;476;25311
Tangipahoa;Democrat;Hillary Clinton;4267;21273
Taos;Democrat;Bernie Sanders;4325;21333
Tarrant;Republican;Ted Cruz;88867;28266
Tate;Republican;Ted Cruz;2034;20431
Taylor;Democrat;Hillary Clinton;140;23793
Taylor;Democrat;Hillary Clinton;949;18790
Taylor;Republican;Donald Trump;140;23793
Taylor;Republican;Donald Trump;1203;17045
Taylor;Republican;Donald Trump;1652;20848
Taylor;Republican;Donald Trump;2100;23032
Taylor;Republican;Ted Cruz;10160;23141
Tazewell;Republican;Donald Trump;3421;21358
Tazewell;Republican;Ted Cruz;12085;28037
Tehama;Republican;Donald Trump;3940;20439
Telfair;Republican;Donald Trump;626;12489
Teller;Democrat;Bernie Sanders;219;31075
Tensas;Democrat;Hillary Clinton;492;17175
Terrebonne;Republican;Donald Trump;3454;24114
Terrell;Democrat;Hillary Clinton;67;31578
Terrell;Democrat;Hillary Clinton;804;16836
Teton;Democrat;Bernie Sanders;9;43444
Teton;Republican;Donald Trump;882;22799
Texas;Republican;Donald Trump;2659;17868
Thayer;Republican;Donald Trump;466;26965
Thomas;Republican;Donald Trump;2649;19983
Tillamook;Democrat;Bernie Sanders;2207;22452
Tillman;Democrat;Bernie Sanders;346;18035
Tippecanoe;Republican;Donald Trump;10296;23691
Tishomingo;Republican;Donald Trump;1854;18338
Todd;Democrat;Bernie Sanders;507;17846
Todd;Democrat;Bernie Sanders;524;10575
Tom Green;Republican;Ted Cruz;7231;23712
Tompkins;Democrat;Bernie Sanders;9298;27418
Tooele;Republican;Ted Cruz;2412;22252
Toombs;Republican;Donald Trump;1513;18716
Torrance;Republican;Donald Trump;1016;18675
Towns;Republican;Donald Trump;1356;20419
Transylvania;Republican;Ted Cruz;2139;23757
Travis;Democrat;Bernie Sanders;73889;33206
Trempealeau;Democrat;Bernie Sanders;2429;25017
Trigg;Democrat;Bernie Sanders;715;25527
Trimble;Democrat;Bernie Sanders;542;22070
Trinity;Republican;Donald Trump;1026;22905
Troup;Republican;Donald Trump;4140;21443
Trumbull;Democrat;Hillary Clinton;17903;22568
Tulare;Republican;Donald Trump;15334;17894
Tunica;Democrat;Hillary Clinton;904;15549
Turner;Republican;Donald Trump;652;17609
Tuscaloosa;Democrat;Hillary Clinton;12136;22637
Twiggs;Democrat;Hillary Clinton;818;17952
Twin Falls;Republican;Ted Cruz;4717;20588
Tyler;Republican;Donald Trump;1358;20704
Tyler;Republican;Ted Cruz;2032;19612
Tyrrell;Democrat;Hillary Clinton;266;16658
Uinta;Democrat;Bernie Sanders;5;25513
Ulster;Democrat;Bernie Sanders;11572;30442
Umatilla;Republican;Donald Trump;5065;20836
Union;Democrat;Bernie Sanders;268;23007
Union;Democrat;Bernie Sanders;1106;19464
Union;Democrat;Hillary Clinton;822;19412
Union;Democrat;Hillary Clinton;1690;19037
Union;Democrat;Hillary Clinton;2548;20718
Union;Democrat;Hillary Clinton;40972;35089
Union;Republican;Donald Trump;644;36167
Union;Republican;Donald Trump;2169;19273
Union;Republican;Donald Trump;2691;22156
Union;Republican;Donald Trump;3349;22259
Union;Republican;Donald Trump;12641;28894
Union;Republican;John Kasich;6835;28852
Upshur;Republican;Donald Trump;3273;19498
Uvalde;Democrat;Hillary Clinton;1740;17479
Val Verde;Democrat;Hillary Clinton;1777;17867
Valencia;Democrat;Hillary Clinton;3123;19623
Valley;Republican;Donald Trump;514;23227
Valley;Republican;Donald Trump;1250;25685
Van Buren;Democrat;Bernie Sanders;3656;21732
Van Buren;Republican;Donald Trump;493;19450
Van Buren;Republican;Donald Trump;1198;18782
Van Wert;Republican;John Kasich;2688;22790
Van Zandt;Republican;Ted Cruz;5954;21920
Vance;Democrat;Hillary Clinton;4561;17905
Ventura;Democrat;Hillary Clinton;45848;32930
Vermilion;Republican;Donald Trump;1460;22589
Vernon;Democrat;Bernie Sanders;3476;22680
Vernon;Republican;Donald Trump;1119;21396
Vernon;Republican;Donald Trump;1530;19734
Victoria;Republican;Ted Cruz;5750;24700
Virginia Beach;Democrat;Hillary Clinton;22352;31934
Volusia;Republican;Donald Trump;34167;23973
Wabash;Republican;Donald Trump;977;24096
Wagoner;Republican;Ted Cruz;4459;24874
Wahkiakum;Republican;Donald Trump;530;22334
Wake;Democrat;Hillary Clinton;77927;33166
Wakulla;Republican;Donald Trump;1664;21797
Walker;Republican;Ted Cruz;3892;16330
Walla Walla;Republican;Donald Trump;4689;23809
Waller;Republican;Ted Cruz;3391;22412
Walthall;Republican;Donald Trump;1143;16850
Walworth;Republican;Donald Trump;774;25915
Wapello;Democrat;Hillary Clinton;817;22699
Ward;Republican;Ted Cruz;742;22278
Ware;Republican;Donald Trump;1998;18842
Warren;Democrat;Bernie Sanders;5365;23853
Warren;Democrat;Hillary Clinton;468;17884
Warren;Democrat;Hillary Clinton;1217;29088
Warren;Democrat;Hillary Clinton;2827;19052
Warren;Democrat;Hillary Clinton;3463;22362
Warren;Republican;John Kasich;22870;33172
Warrick;Republican;Donald Trump;7450;29927
Wasco;Democrat;Bernie Sanders;1795;22844
Washakie;Democrat;Hillary Clinton;2;28308
Washington;Democrat;Bernie Sanders;12;24977
Washington;Democrat;Bernie Sanders;41841;31078
Washington;Democrat;Hillary Clinton;601;19837
Washington;Democrat;Hillary Clinton;1374;18779
Washington;Democrat;Hillary Clinton;1511;20395
Washington;Democrat;Hillary Clinton;1663;17735
Washington;Democrat;Hillary Clinton;1741;17515
Washington;Democrat;Hillary Clinton;2982;16671
Washington;Democrat;Hillary Clinton;9110;23264
Washington;Republican;Donald Trump;1370;26325
Washington;Republican;Donald Trump;2337;24168
Washington;Republican;Donald Trump;3156;21370
Washington;Republican;Donald Trump;3333;25109
Washington;Republican;Donald Trump;5048;23496
Washington;Republican;Donald Trump;11970;26532
Washington;Republican;Ted Cruz;3597;27053
Washington;Republican;Ted Cruz;7801;21472
Washington;Republican;Ted Cruz;25505;32020
Washita;Democrat;Bernie Sanders;700;23811
Washoe;Republican;Donald Trump;6850;28670
Washtenaw;Democrat;Bernie Sanders;38063;33231
Watauga;Democrat;Bernie Sanders;5811;21854
Waukesha;Republican;Ted Cruz;75123;37577
Wayne;Democrat;Bernie Sanders;2898;19497
Wayne;Democrat;Hillary Clinton;7546;21557
Wayne;Democrat;Hillary Clinton;163886;22308
Wayne;Republican;Donald Trump;2075;22526
Wayne;Republican;Donald Trump;6364;24005
Wayne;Republican;John Kasich;10533;23061
Wayne;Republican;Ted Cruz;171;22127
Waynesboro;Republican;Donald Trump;910;22872
Weakley;Republican;Donald Trump;1764;19547
Webb;Democrat;Hillary Clinton;18559;14553
Webster;Democrat;Bernie Sanders;837;17937
Webster;Democrat;Bernie Sanders;1169;20337
Webster;Democrat;Hillary Clinton;866;24203
