"county","party","candidate","votes","poverty_level"
Kauai,Democrat,Bernie Sanders,2049,11.2
Warren,Democrat,Hillary Clinton,1217,7.3
McCone,Republican,Donald Trump,410,7.4
Santa Fe,Democrat,Hillary Clinton,16087,17.0
Harris,Republican,Donald Trump,2542,8.0
Cleburne,Republican,Donald Trump,2530,15.8
Washington,Democrat,Hillary Clinton,9110,20.7
Okeechobee,Republican,Donald Trump,2202,26.9
Caldwell,Republican,Donald Trump,284,20.2
Hancock,Republican,Ted Cruz,385,10.4
Buchanan,Republican,Donald Trump,4691,17.0
Cherokee,Democrat,Bernie Sanders,2897,22.8
Tallahatchie,Democrat,Hillary Clinton,1341,30.2
Marquette,Democrat,Bernie Sanders,5530,15.7
Starke,Republican,Donald Trump,2456,16.9
Eau Claire,Democrat,Bernie Sanders,13058,15.7
Covington,Democrat,Hillary Clinton,244,21.3
Echols,Republican,Donald Trump,268,31.3
Nelson,Democrat,Hillary Clinton,991,14.2
Orange,Republican,Donald Trump,146888,12.4
Poweshiek,Democrat,Bernie Sanders,475,12.8
Shelby,Republican,Donald Trump,579,18.4
Tunica,Democrat,Hillary Clinton,904,30.3
Jefferson,Democrat,Hillary Clinton,17581,16.5
Marion,Republican,Donald Trump,3503,20.9
Winn,Democrat,Hillary Clinton,488,22.6
Chariton,Republican,Donald Trump,597,16.5
Foard,Democrat,Bernie Sanders,112,15.4
Newton,Republican,Donald Trump,1794,18.6
Kent,Republican,Donald Trump,8294,12.9
Gladwin,Republican,Donald Trump,1774,21.4
Fremont,Republican,Donald Trump,182,10.2
Broome,Democrat,Bernie Sanders,9176,17.4
Del Norte,Republican,Donald Trump,1536,21.8
Jefferson,Republican,Donald Trump,3077,13.6
Dodge,Republican,Donald Trump,2760,10.7
Brunswick,Democrat,Hillary Clinton,1354,24.0
Nowata,Democrat,Bernie Sanders,530,16.6
Wicomico,Republican,Donald Trump,6998,17.0
O'Brien,Republican,Ted Cruz,347,11.3
Terrebonne,Republican,Donald Trump,3454,17.1
Towns,Republican,Donald Trump,1356,16.3
Clinton,Democrat,Bernie Sanders,1234,14.0
Clay,Republican,Donald Trump,1294,15.6
Cherokee,Republican,Donald Trump,2777,21.2
Washington,Democrat,Hillary Clinton,1374,23.7
Warren,Democrat,Bernie Sanders,5365,19.1
Jones,Democrat,Bernie Sanders,480,8.3
Cecil,Republican,Donald Trump,7348,10.4
Rock,Democrat,Bernie Sanders,17337,14.3
Minnehaha,Democrat,Hillary Clinton,6018,10.9
Humphreys,Democrat,Hillary Clinton,2894,44.9
Arapahoe,Democrat,Bernie Sanders,6086,12.1
Green,Republican,Donald Trump,655,21.9
Franklin,Democrat,Hillary Clinton,4951,16.1
Cumberland,Democrat,Hillary Clinton,6875,17.5
Lyon,Republican,Ted Cruz,432,8.0
Ionia,Democrat,Bernie Sanders,2812,15.8
St. Louis County,Democrat,Hillary Clinton,89373,10.9
Dillon,Democrat,Hillary Clinton,1615,31.5
Mason,Republican,Donald Trump,1785,16.2
Rosebud,Republican,Donald Trump,959,17.3
Vanderburgh,Republican,Donald Trump,14544,15.9
Hughes,Democrat,Bernie Sanders,873,21.1
Calhoun,Republican,Donald Trump,1323,23.7
Coal,Democrat,Bernie Sanders,456,21.6
Gilmer,Democrat,Bernie Sanders,643,28.5
Dale,Republican,Donald Trump,4151,17.4
Jim Wells,Democrat,Hillary Clinton,4688,21.7
Montrose,Democrat,Bernie Sanders,258,16.0
Baldwin,Republican,Donald Trump,23618,13.9
Teton,Republican,Donald Trump,882,15.1
Monroe,Republican,Donald Trump,2262,12.9
Gratiot,Democrat,Bernie Sanders,1812,19.1
Jefferson,Democrat,Bernie Sanders,8281,8.6
Clay,Democrat,Bernie Sanders,754,24.8
Polk,Republican,Ted Cruz,3430,23.6
Powell,Republican,Donald Trump,818,15.3
Saline,Republican,Donald Trump,1417,18.6
Phelps,Republican,Donald Trump,963,9.1
Phelps,Republican,Donald Trump,3425,18.1
Payne,Democrat,Bernie Sanders,3829,25.7
Dorchester,Republican,Donald Trump,2744,16.5
Richland,Republican,Donald Trump,1469,14.2
Gallatin,Democrat,Bernie Sanders,340,20.7
Clackamas,Democrat,Bernie Sanders,27969,9.8
Lewis,Republican,Donald Trump,286,17.9
Jeff Davis,Republican,Donald Trump,1071,24.5
Minidoka,Republican,Ted Cruz,1163,13.6
Hooker,Republican,Donald Trump,119,12.8
Volusia,Republican,Donald Trump,34167,16.8
Pinellas,Democrat,Hillary Clinton,63699,14.1
Chowan,Democrat,Hillary Clinton,974,29.0
Hudspeth,Democrat,Hillary Clinton,147,44.1
Whitley,Republican,Donald Trump,1556,26.0
Crawford,Republican,Donald Trump,1162,19.6
Presque Isle,Republican,Donald Trump,916,12.9
Barnwell,Democrat,Hillary Clinton,1560,29.1
Alamosa,Democrat,Bernie Sanders,167,26.5
Oglethorpe,Republican,Donald Trump,1230,16.4
Phillips,Democrat,Hillary Clinton,2696,33.5
Iowa,Democrat,Hillary Clinton,357,10.9
Cooper,Republican,Ted Cruz,1369,17.8
Wetzel,Democrat,Bernie Sanders,1744,19.7
Broward,Democrat,Hillary Clinton,132527,14.3
Switzerland,Republican,Donald Trump,858,22.2
Sheridan,Democrat,Hillary Clinton,7,8.8
Washington,Democrat,Hillary Clinton,1663,25.7
East Carroll,Democrat,Hillary Clinton,508,48.0
Crittenden,Democrat,Bernie Sanders,344,20.8
Glenn,Republican,Donald Trump,1699,18.8
Greene,Republican,Donald Trump,2103,17.1
Meade,Democrat,Bernie Sanders,1541,16.9
Cheyenne,Republican,Donald Trump,1130,14.0
Washington,Democrat,Hillary Clinton,1741,25.0
Shelby,Democrat,Hillary Clinton,66465,20.8
Noxubee,Democrat,Hillary Clinton,1397,34.6
Erie,Democrat,Hillary Clinton,50199,14.6
Johnson,Republican,Donald Trump,3035,17.6
Butts,Republican,Donald Trump,1884,14.5
Livingston,Republican,Ted Cruz,3235,10.3
Adair,Republican,Donald Trump,1404,23.7
Glades,Republican,Donald Trump,632,24.5
Williamsburg,Democrat,Hillary Clinton,4609,30.8
Burke,Democrat,Hillary Clinton,1659,33.5
Pontotoc,Republican,Ted Cruz,2498,14.0
Ford,Republican,Ted Cruz,1281,10.5
Ottawa,Democrat,Bernie Sanders,1238,22.0
Marshall,Republican,Donald Trump,4755,15.2
Union,Republican,Donald Trump,1332,19.5
Sharkey,Democrat,Hillary Clinton,645,31.2
Richmond City,Democrat,Hillary Clinton,21822,25.6
Faulkner,Republican,Ted Cruz,6228,14.6
Larimer,Democrat,Bernie Sanders,6664,14.1
Cleveland,Democrat,Hillary Clinton,4880,19.3
Oklahoma,Democrat,Hillary Clinton,34255,18.5
Emmet,Democrat,Hillary Clinton,168,12.5
Valley,Republican,Donald Trump,1250,13.5
Otsego,Democrat,Bernie Sanders,2623,15.5
Camas,Republican,Donald Trump,130,15.5
Escambia,Republican,Donald Trump,2817,25.4
Colfax,Democrat,Hillary Clinton,949,17.7
Stephens,Republican,Donald Trump,1726,19.8
Jefferson,Democrat,Bernie Sanders,654,12.4
Shoshone,Republican,Donald Trump,632,17.4
Monongalia,Democrat,Bernie Sanders,8096,22.4
McKinley,Democrat,Hillary Clinton,4761,35.0
Grand,Democrat,Bernie Sanders,636,13.7
Jasper,Democrat,Hillary Clinton,2194,23.7
Dooly,Democrat,Hillary Clinton,737,29.0
Callaway,Republican,Ted Cruz,3261,13.0
Monroe,Republican,Donald Trump,3272,5.4
San Joaquin,Democrat,Hillary Clinton,25118,18.2
Love,Democrat,Bernie Sanders,502,16.6
Hickman,Democrat,Bernie Sanders,300,18.3
Shelby,Republican,Donald Trump,18260,7.9
Gila,Republican,Donald Trump,3065,21.6
Caribou,Republican,Ted Cruz,602,7.8
Hempstead,Republican,Ted Cruz,917,27.4
Copiah,Democrat,Hillary Clinton,3373,26.3
Huron,Republican,Donald Trump,2346,15.8
Harrison,Republican,Donald Trump,755,16.3
Franklin,Republican,Donald Trump,3487,13.5
Osage,Democrat,Hillary Clinton,2390,14.5
Tuolumne,Republican,Donald Trump,4949,14.5
Wilkes,Republican,Donald Trump,734,27.3
Delaware,Democrat,Hillary Clinton,44775,10.3
Fairfax,Democrat,Hillary Clinton,86898,5.9
Wheeler,Republican,Donald Trump,283,31.3
Poinsett,Republican,Donald Trump,1036,28.1
Atkinson,Republican,Donald Trump,619,32.2
White,Republican,Ted Cruz,4395,17.5
Mecosta,Republican,Donald Trump,2113,22.9
Kern,Republican,Donald Trump,33838,22.9
Pontotoc,Democrat,Bernie Sanders,2392,18.8
Calhoun,Democrat,Bernie Sanders,503,11.9
Pitt,Democrat,Hillary Clinton,11856,24.3
Uinta,Democrat,Bernie Sanders,5,13.3
Cass,Republican,Donald Trump,3941,16.5
Webster,Democrat,Hillary Clinton,1878,21.9
Santa Cruz,Democrat,Bernie Sanders,25171,14.6
Adams,Democrat,Bernie Sanders,3279,14.2
Carroll,Republican,Donald Trump,1268,13.7
Fremont,Republican,Ted Cruz,1434,12.4
Emporia,Democrat,Hillary Clinton,404,29.0
Burlington,Democrat,Hillary Clinton,32712,5.5
Walker,Republican,Donald Trump,4208,16.7
Jeff Davis,Democrat,Hillary Clinton,738,18.8
Sampson,Democrat,Hillary Clinton,3790,22.8
Loudoun,Democrat,Hillary Clinton,21171,3.6
Sevier,Republican,Donald Trump,593,24.4
Solano,Democrat,Hillary Clinton,31753,13.0
Montgomery,Republican,Donald Trump,1192,17.5
Heard,Republican,Donald Trump,1068,24.3
Charlton,Republican,Donald Trump,602,19.7
Bladen,Democrat,Hillary Clinton,3442,25.8
Kinney,Democrat,Hillary Clinton,211,25.7
Genesee,Democrat,Hillary Clinton,31284,21.0
Southampton,Democrat,Hillary Clinton,1199,16.0
Lewis,Republican,Donald Trump,801,15.0
Bear Lake,Republican,Ted Cruz,643,12.9
Menominee,Democrat,Bernie Sanders,355,31.4
Jeff Davis,Democrat,Hillary Clinton,1806,27.0
Danville,Democrat,Hillary Clinton,2676,27.4
Carroll,Democrat,Bernie Sanders,573,29.9
Marion,Republican,Donald Trump,2454,28.2
Robeson,Democrat,Hillary Clinton,8457,31.7
Newaygo,Republican,Ted Cruz,3557,18.6
Jackson,Democrat,Bernie Sanders,1845,16.9
Webster,Republican,Ted Cruz,4124,18.9
Stanislaus,Republican,Donald Trump,15390,20.3
Pottawattamie,Democrat,Bernie Sanders,1573,13.8
Halifax,Democrat,Hillary Clinton,6224,27.4
Pawnee,Republican,Donald Trump,225,21.5
Dent,Republican,Donald Trump,1688,20.9
Newton,Republican,Ted Cruz,6452,15.0
Ogemaw,Republican,Donald Trump,1612,21.5
Kent,Democrat,Hillary Clinton,1460,13.2
Monroe,Democrat,Hillary Clinton,1191,19.0
Scotland,Republican,Donald Trump,395,18.2
Valley,Republican,Donald Trump,575,9.5
St. Martin,Democrat,Hillary Clinton,1869,18.2
Jay,Republican,Donald Trump,2194,14.7
Rio Blanco,Democrat,Bernie Sanders,18,14.9
Franklin,Democrat,Hillary Clinton,226,11.1
Lincoln,Republican,Donald Trump,3235,11.4
Custer,Republican,Donald Trump,430,16.1
Calhoun,Democrat,Hillary Clinton,200,13.4
San Juan,Democrat,Bernie Sanders,27,17.1
Champaign,Democrat,Bernie Sanders,20581,22.3
Columbia,Republican,Donald Trump,9177,8.3
Stone,Republican,Donald Trump,993,25.5
Adams,Republican,Donald Trump,2798,12.8
Washakie,Democrat,Hillary Clinton,2,12.1
Montgomery,Democrat,Bernie Sanders,5090,24.5
Douglas,Republican,Donald Trump,23754,14.3
Haywood,Democrat,Bernie Sanders,3873,16.6
Mineral,Democrat,Bernie Sanders,25,6.4
Okaloosa,Republican,Donald Trump,17770,13.4
Florence,Democrat,Hillary Clinton,9411,19.8
Oscoda,Republican,Donald Trump,705,20.2
Newport News,Democrat,Hillary Clinton,12495,15.2
Putnam,Republican,Donald Trump,4087,9.7
Fulton,Democrat,Hillary Clinton,315,22.2
Des Moines,Democrat,Bernie Sanders,1066,13.8
Stone,Republican,Donald Trump,3928,17.1
Yuma,Democrat,Hillary Clinton,45,8.2
Yellowstone,Republican,Donald Trump,17925,12.3
Bartholomew,Republican,Donald Trump,7918,12.2
Powell,Democrat,Bernie Sanders,744,31.7
Nevada,Democrat,Bernie Sanders,8472,12.0
Itawamba,Republican,Donald Trump,1905,15.7
Perry,Democrat,Bernie Sanders,1666,25.3
Johnston,Democrat,Bernie Sanders,606,22.1
Dallas,Democrat,Hillary Clinton,8577,35.5
San Benito,Democrat,Hillary Clinton,2022,11.9
Dona Ana,Democrat,Hillary Clinton,9097,27.0
Turner,Republican,Donald Trump,652,22.0
Custer,Democrat,Bernie Sanders,45,14.6
Cassia,Republican,Ted Cruz,2095,15.9
Adair,Democrat,Hillary Clinton,168,9.5
Jefferson,Democrat,Hillary Clinton,1671,17.2
Kiowa,Democrat,Hillary Clinton,5,17.4
Swain,Democrat,Bernie Sanders,831,27.2
Trimble,Democrat,Bernie Sanders,542,17.2
Morgan,Republican,Donald Trump,10235,11.5
Oldham,Democrat,Hillary Clinton,2730,6.8
Zapata,Democrat,Hillary Clinton,1969,34.7
Ingham,Democrat,Bernie Sanders,22909,21.9
Blackford,Republican,Donald Trump,1019,16.0
Breckinridge,Democrat,Hillary Clinton,877,19.6
Montcalm,Republican,Donald Trump,3051,18.6
Acadia,Democrat,Hillary Clinton,1862,18.7
Morgan,Republican,Donald Trump,1976,23.4
Lincoln,Republican,Donald Trump,4144,13.6
Cedar,Republican,Ted Cruz,1404,23.3
Spalding,Republican,Donald Trump,4257,21.5
Muskegon,Democrat,Bernie Sanders,10062,19.9
Navajo,Democrat,Hillary Clinton,4415,30.3
Caswell,Democrat,Hillary Clinton,1701,22.6
Bond,Republican,Donald Trump,1102,14.6
Peoria,Democrat,Hillary Clinton,11341,17.2
Pettis,Republican,Donald Trump,3343,18.4
Columbia,Democrat,Bernie Sanders,6455,9.3
Montgomery,Democrat,Hillary Clinton,75333,6.1
Greene,Democrat,Hillary Clinton,215,13.0
Greene,Republican,Donald Trump,4491,14.0
Jasper,Republican,Donald Trump,1205,21.7
Kenosha,Democrat,Bernie Sanders,14612,14.0
Douglas,Democrat,Bernie Sanders,2347,3.9
Evans,Republican,Donald Trump,481,27.9
Maries,Republican,Donald Trump,958,16.7
Manassas,Democrat,Hillary Clinton,1812,11.7
St. James,Democrat,Hillary Clinton,2114,16.4
Lee,Democrat,Hillary Clinton,3224,18.9
Hendry,Republican,Donald Trump,1290,26.7
Prince George,Democrat,Hillary Clinton,1992,8.1
Ziebach,Democrat,Bernie Sanders,132,42.3
Roger Mills,Democrat,Bernie Sanders,268,13.2
Sharp,Republican,Donald Trump,1241,23.9
Pike,Republican,Donald Trump,1603,16.6
Desha,Democrat,Hillary Clinton,1342,30.1
Travis,Democrat,Bernie Sanders,73889,17.4
Evangeline,Democrat,Hillary Clinton,1319,24.5
Modoc,Republican,Donald Trump,1019,21.0
Union,Republican,Donald Trump,2169,23.5
Pike,Republican,Donald Trump,2493,27.6
DeKalb,Democrat,Bernie Sanders,8315,19.0
Troup,Republican,Donald Trump,4140,23.6
Irwin,Republican,Donald Trump,869,21.2
Winchester,Democrat,Hillary Clinton,949,20.1
Park,Republican,Donald Trump,1901,12.3
St. Helena,Democrat,Hillary Clinton,1407,27.4
Allen,Republican,Donald Trump,640,18.6
Kemper,Democrat,Hillary Clinton,1008,33.3
Catahoula,Democrat,Hillary Clinton,431,21.8
Knott,Democrat,Bernie Sanders,1114,23.1
Hopewell,Democrat,Hillary Clinton,1177,20.1
Cotton,Democrat,Bernie Sanders,388,14.7
Walthall,Republican,Donald Trump,1143,25.3
DeKalb,Republican,Donald Trump,6247,19.9
Columbia,Democrat,Bernie Sanders,4221,13.6
Johnson,Republican,Donald Trump,1383,14.1
Daniels,Republican,Donald Trump,340,10.1
Pasquotank,Democrat,Hillary Clinton,2471,18.4
Clinton,Democrat,Bernie Sanders,4524,11.1
Osceola,Republican,Donald Trump,1812,21.7
Davis,Republican,Donald Trump,205,21.2
Seminole,Republican,Donald Trump,754,26.0
Hertford,Democrat,Hillary Clinton,2926,26.0
Habersham,Republican,Donald Trump,3289,20.8
Whitley,Republican,Ted Cruz,4064,8.2
Chesterfield,Democrat,Hillary Clinton,2209,26.8
St. Charles,Republican,Donald Trump,30489,5.8
Neshoba,Republican,Donald Trump,2249,24.1
Bannock,Republican,Ted Cruz,4404,15.5
Montgomery,Republican,Donald Trump,2269,14.1
Jim Hogg,Democrat,Hillary Clinton,1421,14.0
Latimer,Democrat,Bernie Sanders,852,16.8
Coosa,Republican,Donald Trump,1233,20.9
Vernon,Republican,Donald Trump,1119,13.5
Grayson,Republican,Donald Trump,749,23.3
Yell,Republican,Donald Trump,911,22.7
Saline,Republican,Donald Trump,2102,19.1
Lemhi,Republican,Donald Trump,757,23.3
Pulaski,Republican,Donald Trump,673,15.7
Madison,Republican,Donald Trump,7540,12.7
Gadsden,Democrat,Hillary Clinton,7446,26.5
Camden,Republican,Donald Trump,3065,15.5
Palo Alto,Democrat,Hillary Clinton,213,9.2
Muscatine,Democrat,Bernie Sanders,972,14.4
Delaware,Democrat,Bernie Sanders,1773,21.2
Scott,Democrat,Hillary Clinton,2505,12.4
Rockcastle,Republican,Donald Trump,743,25.5
Wayne,Republican,Donald Trump,1376,21.9
Crawford,Republican,Donald Trump,1508,14.4
Madison,Republican,Donald Trump,2280,14.2
Garrard,Republican,Donald Trump,581,19.1
Calhoun,Democrat,Hillary Clinton,499,38.7
Marion,Democrat,Hillary Clinton,59649,20.4
Haskell,Democrat,Bernie Sanders,752,17.4
Garfield,Republican,Donald Trump,357,10.5
Yuba,Republican,Donald Trump,3210,21.6
Prairie,Democrat,Hillary Clinton,558,21.2
Vernon,Democrat,Bernie Sanders,3476,14.5
Oceana,Republican,Ted Cruz,1698,19.9
Woodruff,Democrat,Hillary Clinton,862,24.3
Kimball,Republican,Donald Trump,439,13.0
Floyd,Democrat,Hillary Clinton,453,12.6
Tattnall,Republican,Donald Trump,1089,27.4
Dunklin,Republican,Donald Trump,1781,25.6
Fulton,Democrat,Hillary Clinton,701,18.7
Garland,Republican,Donald Trump,5538,20.7
Worcester,Republican,Donald Trump,5808,10.9
Pulaski,Republican,Donald Trump,436,18.8
Elliott,Democrat,Bernie Sanders,443,31.8
Park,Democrat,Bernie Sanders,8,8.2
El Paso,Democrat,Hillary Clinton,36067,23.3
Ada,Republican,Ted Cruz,20156,13.1
Putnam,Republican,Donald Trump,5119,26.4
Bates,Republican,Donald Trump,1306,18.6
Twin Falls,Republican,Ted Cruz,4717,15.0
Cerro Gordo,Democrat,Bernie Sanders,1108,13.2
Mora,Democrat,Hillary Clinton,986,19.7
LaPorte,Republican,Donald Trump,9494,16.5
Mineral,Republican,Donald Trump,638,18.4
Clinton,Democrat,Bernie Sanders,4301,14.5
Fremont,Democrat,Bernie Sanders,10,15.0
Kit Carson,Democrat,Bernie Sanders,16,13.8
Summit,Democrat,Bernie Sanders,419,13.7
Christian,Republican,Donald Trump,2392,14.9
Garrett,Republican,Donald Trump,3564,13.9
Geneva,Republican,Donald Trump,3106,21.2
Boise,Republican,Donald Trump,691,17.0
Clinton,Republican,Donald Trump,771,24.4
Woodford,Democrat,Bernie Sanders,1918,11.6
Grand Traverse,Democrat,Bernie Sanders,8091,11.7
Madison,Democrat,Hillary Clinton,1085,22.6
Taylor,Republican,Donald Trump,140,14.5
Knox,Republican,Donald Trump,343,26.3
Missaukee,Republican,Donald Trump,1221,15.1
Wayne,Democrat,Hillary Clinton,163886,24.5
Mitchell,Democrat,Hillary Clinton,1338,26.2
Multnomah,Democrat,Bernie Sanders,87247,17.8
Washington,Democrat,Hillary Clinton,2982,37.3
Menominee,Republican,Donald Trump,1304,13.6
La Crosse,Democrat,Bernie Sanders,15139,14.0
Jones,Republican,Donald Trump,6388,23.0
Fulton,Republican,Donald Trump,2556,15.5
Calvert,Republican,Donald Trump,6360,4.9
Dade,Republican,Donald Trump,1151,15.9
Randolph,Republican,Donald Trump,2352,24.5
Crawford,Republican,Donald Trump,1108,16.8
Spencer,Republican,Donald Trump,2350,12.6
Hopkins,Democrat,Bernie Sanders,2696,18.8
Dundy,Republican,Donald Trump,219,8.1
Columbia,Republican,Donald Trump,1149,25.4
Surry,Democrat,Hillary Clinton,812,11.5
Decatur,Republican,Ted Cruz,173,19.5
Scott,Democrat,Hillary Clinton,2013,24.7
Washtenaw,Democrat,Bernie Sanders,38063,15.4
Jackson,Republican,Donald Trump,5362,13.0
Yavapai,Republican,Donald Trump,17005,15.8
Passaic,Democrat,Hillary Clinton,29538,16.3
Laurel,Republican,Donald Trump,2313,21.8
Miller,Republican,Donald Trump,555,23.0
Owsley,Republican,Donald Trump,168,37.7
Letcher,Democrat,Bernie Sanders,1788,25.3
Boone,Republican,Donald Trump,3816,11.3
Levy,Republican,Donald Trump,3745,23.7
Madison,Democrat,Bernie Sanders,4385,21.4
Union,Republican,Donald Trump,719,19.6
Leon,Democrat,Hillary Clinton,27333,23.2
Saint Lawrence,Democrat,Bernie Sanders,4102,19.6
Harford,Republican,Donald Trump,21771,7.4
Lincoln,Democrat,Bernie Sanders,3,6.9
Edgecombe,Democrat,Hillary Clinton,6411,25.2
Kosciusko,Republican,Donald Trump,8748,11.9
Macomb,Republican,Donald Trump,60492,12.5
Clayton,Democrat,Bernie Sanders,408,12.5
Franklin,Republican,Donald Trump,2155,21.9
Hinsdale,Democrat,Bernie Sanders,10,5.1
Carroll,Democrat,Bernie Sanders,0,18.8
Starr,Democrat,Hillary Clinton,6918,39.2
Bergen,Democrat,Hillary Clinton,55264,7.2
Siskiyou,Republican,Donald Trump,3573,21.0
Alexandria,Democrat,Hillary Clinton,16281,8.4
Chatham,Democrat,Hillary Clinton,7406,12.4
Choctaw,Democrat,Hillary Clinton,1772,21.5
Alexander,Democrat,Hillary Clinton,770,31.6
Sarasota,Republican,Donald Trump,34593,12.2
Delaware,Republican,Donald Trump,8793,22.3
Lassen,Republican,Donald Trump,2508,16.9
Plumas,Republican,Donald Trump,2588,15.2
Dubois,Republican,Donald Trump,4692,8.3
Gunnison,Democrat,Bernie Sanders,481,17.7
Winnebago,Democrat,Bernie Sanders,230,11.4
Lincoln,Republican,Donald Trump,742,26.5
Brooks,Republican,Donald Trump,1009,24.0
Gosper,Republican,Donald Trump,259,8.0
Monroe,Republican,Ted Cruz,195,11.8
Lawrence,Republican,Donald Trump,5971,15.2
Warren,Democrat,Hillary Clinton,468,31.6
Garfield,Democrat,Bernie Sanders,734,11.9
McPherson,Republican,Donald Trump,114,13.6
Hayes,Republican,Donald Trump,103,5.9
Boone,Republican,Donald Trump,7023,7.5
Macon,Republican,Donald Trump,1489,16.2
Jennings,Republican,Donald Trump,3361,16.7
Taylor,Democrat,Hillary Clinton,949,21.7
Benewah,Republican,Ted Cruz,671,14.7
Roanoke City,Democrat,Hillary Clinton,4783,22.4
Searcy,Republican,Donald Trump,939,26.1
Hickory,Republican,Donald Trump,297,21.6
Polk,Republican,Donald Trump,33187,18.2
McLean,Republican,Ted Cruz,13085,14.2
Luce,Republican,Donald Trump,407,18.6
Sumter,Republican,Donald Trump,17769,12.0
Ohio,Democrat,Bernie Sanders,943,19.7
Pasco,Republican,Donald Trump,33536,13.9
Livingston,Republican,Donald Trump,15359,6.2
Shiawassee,Democrat,Bernie Sanders,4452,15.3
Calhoun,Democrat,Hillary Clinton,413,14.9
Montgomery,Democrat,Hillary Clinton,28650,21.2
Jones,Republican,Donald Trump,2318,16.6
DeKalb,Republican,Donald Trump,800,9.9
Carroll,Republican,Donald Trump,7495,18.9
Lyon,Democrat,Bernie Sanders,561,16.8
Orange,Democrat,Hillary Clinton,66654,17.0
Shelby,Republican,Donald Trump,5044,12.9
Leake,Democrat,Hillary Clinton,1614,27.7
Carroll,Republican,Marco Rubio,0,18.8
Edmonson,Republican,Donald Trump,531,16.1
Green,Democrat,Bernie Sanders,4359,10.3
Mercer,Democrat,Bernie Sanders,1331,16.8
Clinch,Republican,Donald Trump,412,29.1
Calhoun,Democrat,Bernie Sanders,5810,17.8
Wells,Republican,Ted Cruz,3826,10.7
Clark,Republican,Donald Trump,1484,12.3
Madison,Republican,Donald Trump,916,21.4
Covington,Republican,Donald Trump,4608,20.0
Mecklenburg,Democrat,Hillary Clinton,71265,15.4
Duval,Democrat,Hillary Clinton,2272,19.7
El Paso,Democrat,Bernie Sanders,4954,12.4
Blaine,Republican,Donald Trump,99,17.7
Sebastian,Republican,Donald Trump,6030,21.2
Tehama,Republican,Donald Trump,3940,19.7
Coles,Republican,Donald Trump,3156,22.0
Perry,Democrat,Hillary Clinton,648,15.6
Nuckolls,Republican,Donald Trump,446,11.1
Berkeley,Democrat,Hillary Clinton,9471,14.4
Richland,Republican,Donald Trump,1435,14.2
Emanuel,Republican,Donald Trump,1489,29.4
Frio,Democrat,Hillary Clinton,1864,24.0
Upson,Republican,Donald Trump,1910,20.5
Custer,Republican,Donald Trump,1306,9.6
Iberia,Democrat,Hillary Clinton,2171,20.7
Washington,Democrat,Hillary Clinton,1511,18.4
Beaufort,Democrat,Hillary Clinton,9945,12.5
Madison,Democrat,Hillary Clinton,722,40.3
Bracken,Democrat,Bernie Sanders,424,16.8
Calhoun,Democrat,Bernie Sanders,545,23.5
Webster,Democrat,Bernie Sanders,837,25.2
Grundy,Republican,Donald Trump,978,15.8
Portage,Democrat,Bernie Sanders,9348,13.7
Hot Spring,Republican,Donald Trump,1597,14.2
Pecos,Democrat,Hillary Clinton,816,16.7
Atoka,Democrat,Bernie Sanders,723,21.8
St. Charles,Democrat,Hillary Clinton,2245,12.7
Lake,Democrat,Bernie Sanders,2704,25.0
Deuel,Republican,Donald Trump,274,13.5
Walker,Republican,Donald Trump,8394,20.9
Howard,Democrat,Hillary Clinton,30873,4.6
Toombs,Republican,Donald Trump,1513,26.9
Harris,Democrat,Hillary Clinton,156729,18.5
Carroll,Republican,Donald Trump,1004,13.6
Alachua,Democrat,Hillary Clinton,17733,24.9
Osage,Republican,Donald Trump,1316,8.7
Stewart,Democrat,Hillary Clinton,460,30.7
Lincoln,Republican,Ted Cruz,276,16.6
Kossuth,Democrat,Hillary Clinton,360,8.7
Kleberg,Democrat,Hillary Clinton,1738,24.5
Bullock,Democrat,Hillary Clinton,2451,21.6
Caldwell,Democrat,Bernie Sanders,866,21.4
Lake,Democrat,Hillary Clinton,43091,17.8
Colfax,Republican,Donald Trump,494,15.5
Carroll,Democrat,Hillary Clinton,504,9.6
Grant,Republican,Ted Cruz,1329,9.9
Santa Clara,Democrat,Hillary Clinton,109963,10.2
Dawson,Republican,Donald Trump,1950,14.8
Teton,Republican,Ted Cruz,465,11.7
Pike,Republican,Donald Trump,1930,11.2
Boone,Democrat,Bernie Sanders,2410,20.7
Warren,Democrat,Hillary Clinton,3463,24.4
Cobb,Democrat,Hillary Clinton,39277,12.8
Clay,Democrat,Hillary Clinton,297,44.5
Walton,Republican,Donald Trump,7910,13.8
Henry,Republican,Donald Trump,5714,17.0
Bullitt,Democrat,Bernie Sanders,3210,10.2
Hardee,Republican,Donald Trump,1113,29.6
Saginaw,Democrat,Hillary Clinton,12348,19.2
Baltimore City,Democrat,Hillary Clinton,81115,23.8
Gordon,Republican,Donald Trump,4339,21.0
Jefferson,Republican,Donald Trump,1648,7.8
Natrona,Democrat,Hillary Clinton,20,9.9
Lincoln,Democrat,Bernie Sanders,4674,16.0
St. Joseph,Republican,Ted Cruz,2655,17.6
Grand,Democrat,Bernie Sanders,187,11.1
JoDaviess,Republican,Donald Trump,1666,9.5
Jersey,Republican,Donald Trump,1902,7.6
Murray,Democrat,Bernie Sanders,909,14.5
Glacier,Democrat,Bernie Sanders,1074,33.7
Guthrie,Democrat,Hillary Clinton,220,10.3
