"county","party","candidate","votes","households"
Hancock,Republican,Donald Trump,1494,8101
Lewis,Republican,Donald Trump,286,1660
Livingston,Republican,Ted Cruz,3235,14446
Pulaski,Republican,Donald Trump,673,4034
Johnson,Republican,Donald Trump,17218,52239
Colusa,Republican,Donald Trump,1342,6853
Fayette,Democrat,Bernie Sanders,3585,17250
Onondaga,Democrat,Hillary Clinton,20397,184855
Pickens,Republican,Donald Trump,3360,11083
Wibaux,Republican,Donald Trump,231,409
Tillamook,Democrat,Bernie Sanders,2207,10236
Latah,Republican,Ted Cruz,2134,14941
Hopkins,Democrat,Bernie Sanders,2696,18495
Porter,Republican,Donald Trump,16194,61502
Union,Republican,Donald Trump,719,3807
Elmore,Republican,Donald Trump,1252,9555
Marshall,Republican,Donald Trump,4755,17581
Chippewa,Republican,Donald Trump,1959,14605
Independence,Republican,Donald Trump,2077,14544
Tensas,Democrat,Hillary Clinton,492,2049
Park,Democrat,Bernie Sanders,231,7038
Towns,Republican,Donald Trump,1356,4261
Holt,Republican,Donald Trump,504,2218
Nash,Democrat,Hillary Clinton,8554,37726
Brown,Republican,Donald Trump,2202,5889
Rapides,Democrat,Hillary Clinton,4722,47606
Big Horn,Republican,Donald Trump,1087,3444
Granville,Democrat,Hillary Clinton,4693,19953
Chase,Republican,Donald Trump,476,1697
Fayette,Democrat,Hillary Clinton,20014,123142
Hancock,Democrat,Hillary Clinton,1112,2742
Wells,Republican,Ted Cruz,3826,10904
Livingston,Republican,Donald Trump,15359,67691
Saint Lawrence,Democrat,Bernie Sanders,4102,41839
Greene,Democrat,Hillary Clinton,2714,3264
Morgan,Democrat,Bernie Sanders,988,4697
St. Clair,Republican,Donald Trump,962,4139
Volusia,Republican,Donald Trump,34167,195907
Kane,Democrat,Bernie Sanders,31085,170358
Grand Traverse,Democrat,Bernie Sanders,8091,34655
Adams,Republican,Donald Trump,2798,12578
Talbot,Democrat,Hillary Clinton,852,2682
Berkeley,Democrat,Hillary Clinton,9471,65392
Grant,Republican,Donald Trump,162,246
Kenosha,Democrat,Bernie Sanders,14612,62560
Presidio,Democrat,Hillary Clinton,776,2616
Meade,Democrat,Bernie Sanders,1541,10342
Hardee,Republican,Donald Trump,1113,7463
Blaine,Republican,Donald Trump,465,2237
Breckinridge,Democrat,Hillary Clinton,877,7213
Bracken,Democrat,Bernie Sanders,424,3252
Braxton,Democrat,Bernie Sanders,1321,5780
Martin,Republican,Donald Trump,1398,4146
Montgomery,Republican,Donald Trump,2269,11192
McCormick,Democrat,Hillary Clinton,973,4069
Monroe,Democrat,Hillary Clinton,2438,8333
Clear Creek,Democrat,Bernie Sanders,199,4024
Marion,Republican,Ted Cruz,2263,11203
Bannock,Republican,Ted Cruz,4404,30271
Forrest,Republican,Donald Trump,4267,27822
Shiawassee,Democrat,Bernie Sanders,4452,27485
Okmulgee,Democrat,Bernie Sanders,1882,15124
Simpson,Republican,Donald Trump,2420,9786
Rockcastle,Republican,Donald Trump,743,6605
Warren,Democrat,Hillary Clinton,1217,17378
Dodge,Republican,Donald Trump,2760,15221
Roanoke City,Democrat,Hillary Clinton,4783,42494
Madison,Democrat,Bernie Sanders,4385,31484
Toole,Republican,Donald Trump,863,1927
Caddo,Democrat,Bernie Sanders,1543,10230
Dale,Republican,Donald Trump,4151,19345
Greene,Republican,Donald Trump,4491,12894
LaSalle,Republican,Donald Trump,577,5619
Converse,Democrat,Bernie Sanders,3,5746
Cuming,Republican,Donald Trump,783,3822
East Carroll,Democrat,Hillary Clinton,508,2488
Marshall,Republican,Donald Trump,9115,34250
Calcasieu,Democrat,Hillary Clinton,6594,73726
Breathitt,Democrat,Bernie Sanders,1716,5290
Muskegon,Democrat,Bernie Sanders,10062,65008
Jackson,Republican,Donald Trump,9934,50007
Lucas,Republican,Ted Cruz,213,3734
Muhlenberg,Democrat,Bernie Sanders,1632,11869
Rio Grande,Democrat,Bernie Sanders,59,4722
Baker,Republican,Donald Trump,2163,8216
Nodaway,Republican,Donald Trump,1268,8599
Prince William,Democrat,Hillary Clinton,26439,132442
Logan,Republican,Donald Trump,166,345
Schuyler,Republican,Donald Trump,428,1773
Cape Girardeau,Republican,Ted Cruz,7332,29411
St. Mary's,Republican,Donald Trump,6576,37589
Monroe,Republican,Donald Trump,3272,12506
Clay,Republican,Donald Trump,887,7317
Ray,Republican,Donald Trump,1565,8735
Cecil,Republican,Donald Trump,7348,36394
Riverside,Republican,Donald Trump,82814,683144
McCurtain,Democrat,Bernie Sanders,1314,13078
Boulder,Democrat,Bernie Sanders,11142,120521
Pima,Democrat,Hillary Clinton,56317,384041
Dawson,Republican,Donald Trump,2649,8506
Hot Springs,Democrat,Bernie Sanders,1,2238
Powell,Democrat,Bernie Sanders,744,4730
Boone,Democrat,Bernie Sanders,2410,9559
Chowan,Democrat,Hillary Clinton,974,5945
Robeson,Democrat,Hillary Clinton,8457,45154
LaClede,Republican,Donald Trump,3493,13912
Baltimore City,Democrat,Hillary Clinton,81115,241455
Owen,Republican,Donald Trump,2679,8552
Sampson,Democrat,Hillary Clinton,3790,23336
Monroe,Republican,Donald Trump,2602,13960
Bingham,Republican,Ted Cruz,3471,14650
Ohio,Democrat,Bernie Sanders,943,8715
Lackawanna,Democrat,Hillary Clinton,22971,85769
Vernon,Republican,Donald Trump,1119,18148
Minnehaha,Democrat,Hillary Clinton,6018,67623
Weld,Democrat,Bernie Sanders,1647,90465
Ouray,Democrat,Bernie Sanders,156,1943
Danville,Democrat,Hillary Clinton,2676,18659
Monroe,Republican,Donald Trump,805,4401
Bonneville,Republican,Ted Cruz,7794,36066
Cumberland,Republican,Donald Trump,1081,4184
Roberts,Democrat,Bernie Sanders,397,3646
Tillman,Democrat,Bernie Sanders,346,3013
Lincoln,Republican,Donald Trump,3235,15067
Columbia,Republican,Donald Trump,4019,23604
Rensselaer,Democrat,Bernie Sanders,6649,64242
Howard,Republican,Ted Cruz,798,3825
Monroe,Democrat,Hillary Clinton,843,3393
Thomas,Republican,Donald Trump,2649,17377
Hamilton,Republican,Donald Trump,35031,103234
Gooding,Republican,Ted Cruz,863,5552
Dooly,Democrat,Hillary Clinton,737,5133
Lee,Republican,Ted Cruz,5921,31898
Clay,Democrat,Hillary Clinton,297,1235
Camden,Democrat,Hillary Clinton,43720,187941
Perry,Republican,Donald Trump,1642,7411
Liberty,Democrat,Bernie Sanders,392,2305
Val Verde,Democrat,Hillary Clinton,1777,15082
DeKalb,Democrat,Hillary Clinton,82348,264496
Banner,Republican,Donald Trump,108,330
Winnebago,Democrat,Bernie Sanders,16715,113449
Chesterfield,Democrat,Hillary Clinton,22674,113637
Cameron,Democrat,Hillary Clinton,20326,117836
Hardin,Democrat,Hillary Clinton,4359,39401
Cherokee,Republican,Donald Trump,248,5354
Menominee,Republican,Donald Trump,1304,10787
Madison,Democrat,Bernie Sanders,2044,8207
Scott,Republican,Donald Trump,715,4324
Barry,Republican,Donald Trump,3478,22610
Warren,Democrat,Hillary Clinton,2827,7731
Menifee,Democrat,Bernie Sanders,323,2379
Pocahontas,Democrat,Hillary Clinton,198,3227
Carroll,Republican,Donald Trump,0,11019
Jefferson,Republican,Donald Trump,533,3301
Randolph,Republican,Donald Trump,1917,11889
Clarke,Democrat,Hillary Clinton,232,3672
Person,Democrat,Hillary Clinton,2954,15320
Hickman,Democrat,Bernie Sanders,300,1983
Clark,Democrat,Hillary Clinton,1650,8341
Barry,Republican,Ted Cruz,3189,13464
Lincoln,Democrat,Hillary Clinton,779,9692
Cleveland,Democrat,Bernie Sanders,16428,96701
Otsego,Democrat,Bernie Sanders,2623,24078
Muscogee,Democrat,Hillary Clinton,12801,72243
McPherson,Republican,Donald Trump,114,169
Harrison,Republican,Donald Trump,755,3515
Camden,Republican,Donald Trump,5467,17647
Dinwiddie,Democrat,Hillary Clinton,1935,9932
Crawford,Republican,Donald Trump,2189,9485
Gilpin,Democrat,Bernie Sanders,173,2504
Marion,Republican,Donald Trump,2454,9985
Montgomery,Republican,Donald Trump,4412,14590
Cleburne,Republican,Donald Trump,2120,5601
Worth,Democrat,Bernie Sanders,218,3197
Ida,Republican,Donald Trump,136,3182
Benton,Republican,Marco Rubio,12863,82150
Otsego,Republican,Donald Trump,1933,9818
Bullitt,Democrat,Bernie Sanders,3210,27874
Carroll,Republican,Donald Trump,1004,3613
Henry,Republican,Donald Trump,3021,20393
Adair,Republican,Donald Trump,1404,9648
Crawford,Republican,Donald Trump,1108,5781
Greene,Republican,Donald Trump,1555,6353
Bronx,Democrat,Hillary Clinton,95772,474842
Craighead,Republican,Ted Cruz,4108,37834
Roscommon,Republican,Donald Trump,2257,11617
Charlotte,Republican,Donald Trump,16525,70545
Dallas,Republican,Donald Trump,1672,6443
Columbia,Democrat,Bernie Sanders,6455,22735
Jefferson,Democrat,Hillary Clinton,16580,92634
Jackson,Democrat,Bernie Sanders,4656,23567
Daviess,Republican,Donald Trump,634,3151
Tulare,Republican,Donald Trump,15334,131642
Champaign,Democrat,Bernie Sanders,20581,79137
Copiah,Democrat,Hillary Clinton,3373,9897
Webster,Republican,Donald Trump,191,1129
Mono,Democrat,Bernie Sanders,917,5268
Bienville,Democrat,Hillary Clinton,1056,5668
Hendricks,Republican,Donald Trump,18555,52946
Paulding,Republican,Donald Trump,10002,47881
Madison,Republican,Donald Trump,2460,9732
Montrose,Democrat,Bernie Sanders,258,16586
Carter,Republican,Donald Trump,349,495
Cass,Republican,Donald Trump,680,5134
Polk,Republican,Donald Trump,1895,8069
Woodford,Republican,Ted Cruz,5091,14362
Cochise,Republican,Donald Trump,6339,49174
Floyd,Democrat,Bernie Sanders,4010,15422
Worth,Republican,Donald Trump,224,940
Vigo,Republican,Donald Trump,8539,39597
Warren,Democrat,Hillary Clinton,3463,18404
Bergen,Democrat,Hillary Clinton,55264,335422
Boyd,Democrat,Bernie Sanders,2262,19530
Pinellas,Democrat,Hillary Clinton,63699,401708
Green,Republican,Donald Trump,655,4495
Bay,Democrat,Bernie Sanders,6363,44127
Wicomico,Republican,Donald Trump,6998,36405
Menard,Republican,Ted Cruz,1064,5071
Milwaukee,Democrat,Hillary Clinton,100932,379637
Socorro,Democrat,Hillary Clinton,1050,5329
Columbia,Democrat,Bernie Sanders,4221,19069
Marshall,Democrat,Hillary Clinton,3361,13050
Alexander,Democrat,Hillary Clinton,770,2860
Hertford,Democrat,Hillary Clinton,2926,8624
Attala,Democrat,Hillary Clinton,1519,7185
Douglas,Democrat,Hillary Clinton,9375,46295
Humboldt,Democrat,Bernie Sanders,13245,53296
Lincoln,Republican,Donald Trump,3073,8872
McIntosh,Democrat,Bernie Sanders,1261,8092
Hinds,Democrat,Hillary Clinton,31386,87844
Boone,Republican,Donald Trump,7023,21908
Mayes,Democrat,Bernie Sanders,2144,15896
Shasta,Republican,Donald Trump,14822,68980
Chatham,Democrat,Hillary Clinton,7406,26017
Santa Cruz,Democrat,Hillary Clinton,2496,15078
Cumberland,Republican,Donald Trump,460,2604
Richmond,Democrat,Hillary Clinton,16269,72281
Sumter,Democrat,Hillary Clinton,9816,39373
Choctaw,Democrat,Bernie Sanders,745,6043
Platte,Republican,Ted Cruz,5798,36781
Newton,Republican,Donald Trump,1814,5374
Saline,Republican,Ted Cruz,7507,41287
Crowley,Democrat,Bernie Sanders,16,1173
Gallatin,Republican,Donald Trump,8313,36973
Pontotoc,Republican,Ted Cruz,2498,9937
Gallatin,Democrat,Bernie Sanders,340,2995
Perry,Republican,Donald Trump,676,4483
Teton,Republican,Ted Cruz,465,3583
Stephens,Republican,Donald Trump,1726,9227
Clay,Democrat,Bernie Sanders,754,3435
Gibson,Republican,Donald Trump,4237,13094
Lafayette,Republican,Donald Trump,7171,86504
Platte,Democrat,Bernie Sanders,2,3642
Tuscola,Republican,Donald Trump,3750,21211
Wilson,Democrat,Hillary Clinton,6408,31690
Franklin,Republican,Donald Trump,333,1398
Mackinac,Republican,Donald Trump,856,5000
Clay,Republican,Donald Trump,3615,10230
Floyd,Republican,Donald Trump,7456,29087
Winn,Democrat,Hillary Clinton,488,5402
Clinton,Republican,Donald Trump,2522,14051
Santa Clara,Democrat,Hillary Clinton,109963,609377
San Mateo,Democrat,Hillary Clinton,47358,257941
Woodruff,Democrat,Hillary Clinton,862,3070
Harrison,Republican,Donald Trump,12555,72253
Alameda,Democrat,Hillary Clinton,107102,545071
Delaware,Democrat,Hillary Clinton,440,7129
Dallas,Republican,Marco Rubio,2469,26262
Jasper,Republican,Donald Trump,1205,5132
Cass,Republican,Donald Trump,3941,14827
Crawford,Democrat,Bernie Sanders,1582,6772
Mills,Republican,Donald Trump,300,5375
Gates,Democrat,Hillary Clinton,749,4459
Schenectady,Democrat,Bernie Sanders,6862,58059
Amite,Democrat,Hillary Clinton,1212,5212
Black Hawk,Democrat,Bernie Sanders,3647,52276
Walker,Republican,Donald Trump,4208,26191
Osage,Republican,Donald Trump,1316,5168
Washington,Republican,Donald Trump,1666,9199
Carter,Democrat,Bernie Sanders,1051,10319
Fergus,Republican,Donald Trump,1975,4924
Benton,Democrat,Hillary Clinton,557,3195
Forsyth,Republican,Donald Trump,15698,58080
Greene,Republican,Donald Trump,1088,4117
Florence,Democrat,Hillary Clinton,9411,51332
Solano,Democrat,Hillary Clinton,31753,141464
Carroll,Republican,Donald Trump,7495,39494
Sauk,Democrat,Bernie Sanders,7195,25206
Delta,Democrat,Bernie Sanders,417,12671
O'Brien,Republican,Ted Cruz,347,6098
Hudson,Democrat,Hillary Clinton,49798,243875
Adams,Democrat,Hillary Clinton,3013,12087
Iroquois,Republican,Donald Trump,2836,11892
Ottawa,Republican,Ted Cruz,23862,94666
Lafayette,Republican,Donald Trump,556,2710
Genesee,Democrat,Hillary Clinton,31284,165669
Coconino,Democrat,Bernie Sanders,6941,46198
McHenry,Republican,Donald Trump,16514,108852
Arkansas,Republican,Donald Trump,1073,7883
Okaloosa,Republican,Donald Trump,17770,73253
Camden,Republican,Donald Trump,3065,18386
Poinsett,Republican,Donald Trump,1036,9369
Bossier,Republican,Ted Cruz,4988,45776
Edgar,Republican,Donald Trump,1562,7893
Douglas,Democrat,Bernie Sanders,2347,103780
Crenshaw,Republican,Donald Trump,1496,5601
Taliaferro,Democrat,Hillary Clinton,236,704
Lincoln,Democrat,Hillary Clinton,1692,16877
Benewah,Republican,Ted Cruz,671,3888
Greene,Republican,Donald Trump,1014,5790
Stillwater,Republican,Donald Trump,1658,3757
Queens,Democrat,Hillary Clinton,122386,778630
Upson,Republican,Donald Trump,1910,10341
Brooks,Republican,Donald Trump,1009,6573
Yuba,Republican,Donald Trump,3210,24300
Pettis,Republican,Donald Trump,3343,16212
Vanderburgh,Republican,Donald Trump,14544,73963
Stanislaus,Republican,Donald Trump,15390,166883
El Paso,Democrat,Bernie Sanders,4954,237039
Dolores,Democrat,Bernie Sanders,22,780
Sanilac,Republican,Donald Trump,3279,16329
Clay,Republican,Ted Cruz,13559,86934
Trigg,Democrat,Bernie Sanders,715,5935
Lincoln,Democrat,Hillary Clinton,599,4188
Pendleton,Democrat,Bernie Sanders,546,5357
Carroll,Republican,Donald Trump,16534,59909
Las Animas,Democrat,Bernie Sanders,106,5992
Alcorn,Republican,Donald Trump,2901,14679
Talladega,Republican,Donald Trump,6304,31486
Woodbury,Democrat,Bernie Sanders,1920,38654
Newton,Democrat,Hillary Clinton,7269,33840
Ohio,Republican,Donald Trump,786,2422
Leslie,Republican,Donald Trump,503,4206
Chatham,Democrat,Hillary Clinton,19898,102484
Taney,Republican,Donald Trump,5086,20698
Stone,Republican,Donald Trump,3928,13320
Pope,Republican,Donald Trump,507,1736
Boyd,Republican,Donald Trump,327,938
Columbia,Democrat,Bernie Sanders,3302,25280
Ada,Republican,Ted Cruz,20156,151600
Sullivan,Republican,Donald Trump,510,2640
Erie,Democrat,Hillary Clinton,50199,380152
Fredericksburg,Democrat,Hillary Clinton,1396,9779
Terrebonne,Republican,Donald Trump,3454,39279
Henry,Republican,Ted Cruz,379,7493
Jackson,Republican,Donald Trump,8113,60100
Jackson,Republican,Donald Trump,5463,20765
Washakie,Democrat,Hillary Clinton,2,3468
Carroll,Republican,Ted Cruz,0,11019
Atoka,Democrat,Bernie Sanders,723,5303
Lyon,Democrat,Bernie Sanders,561,3294
LeFlore,Democrat,Bernie Sanders,2283,18412
Harris,Democrat,Hillary Clinton,156729,1434694
Lowndes,Democrat,Hillary Clinton,3782,4212
Boise,Republican,Donald Trump,691,2994
Jefferson,Democrat,Hillary Clinton,64090,305832
Archuleta,Democrat,Bernie Sanders,156,4881
Owsley,Republican,Donald Trump,168,1721
Yalobusha,Democrat,Hillary Clinton,1214,4797
Charlton,Republican,Donald Trump,602,3727
Brunswick,Democrat,Hillary Clinton,1354,5826
Bond,Republican,Donald Trump,1102,6373
Summit,Democrat,Bernie Sanders,1645,13627
Nuckolls,Republican,Donald Trump,446,2119
Caddo,Democrat,Hillary Clinton,16666,98554
Bryan,Democrat,Bernie Sanders,1913,16575
Jasper,Democrat,Hillary Clinton,927,14826
Pawnee,Democrat,Bernie Sanders,762,6341
Lee,Republican,Donald Trump,273,2951
Larimer,Democrat,Bernie Sanders,6664,121423
Calloway,Democrat,Bernie Sanders,2239,14937
Stoddard,Republican,Donald Trump,3024,12224
Letcher,Democrat,Bernie Sanders,1788,9366
St. Tammany,Republican,Donald Trump,12933,87518
Bleckley,Republican,Donald Trump,935,3955
Foard,Democrat,Bernie Sanders,112,491
Phelps,Republican,Donald Trump,3425,16699
Northampton,Democrat,Hillary Clinton,3195,8604
Faulkner,Republican,Ted Cruz,6228,42413
Golden Valley,Republican,Donald Trump,203,323
Texas,Republican,Donald Trump,2659,9370
Christian,Republican,Ted Cruz,10586,29652
Woodford,Democrat,Bernie Sanders,1918,9698
Tishomingo,Republican,Donald Trump,1854,7643
Early,Republican,Donald Trump,760,4030
Clinch,Republican,Donald Trump,412,2586
St. Helena,Democrat,Hillary Clinton,1407,4130
Burlington,Democrat,Hillary Clinton,32712,164979
Columbia,Republican,Donald Trump,1149,9449
McCone,Republican,Donald Trump,410,760
Bay,Republican,Donald Trump,14426,67561
Union,Republican,Donald Trump,1332,6852
Jefferson,Republican,Donald Trump,3281,15288
Deer Lodge,Democrat,Hillary Clinton,986,3855
Harford,Republican,Donald Trump,21771,90708
Sangamon,Republican,Ted Cruz,12261,82807
Wapello,Democrat,Hillary Clinton,817,14534
Sevier,Republican,Donald Trump,593,5745
Richmond City,Democrat,Hillary Clinton,21822,84833
Crawford,Republican,Donald Trump,930,4620
Cumberland,Democrat,Hillary Clinton,6875,50676
Carroll,Republican,John Kasich,0,11019
Edgefield,Democrat,Hillary Clinton,1474,9108
Comanche,Democrat,Bernie Sanders,3804,44251
Callaway,Republican,Ted Cruz,3261,16548
Barnwell,Democrat,Hillary Clinton,1560,8416
Dickinson,Republican,Donald Trump,1708,11432
Covington,Republican,Donald Trump,4608,15041
Beaverhead,Republican,Donald Trump,1626,4110
Jefferson,Democrat,Bernie Sanders,654,6919
Virginia Beach,Democrat,Hillary Clinton,22352,164944
Washington,Democrat,Hillary Clinton,2982,18123
Conejos,Democrat,Hillary Clinton,73,3099
Franklin,Republican,Donald Trump,3130,16110
Alachua,Democrat,Hillary Clinton,17733,96043
Radford,Democrat,Bernie Sanders,655,5516
Moultrie,Republican,Ted Cruz,1321,5676
Will,Democrat,Bernie Sanders,46305,222652
Cheyenne,Democrat,Hillary Clinton,5,839
Williamson,Republican,Donald Trump,4929,26819
Mason,Republican,Donald Trump,1785,12470
Butler,Democrat,Bernie Sanders,350,6189
Marion,Republican,Donald Trump,3503,12700
St. Bernard,Democrat,Hillary Clinton,1057,13714
Searcy,Republican,Donald Trump,939,3296
Mingo,Democrat,Bernie Sanders,2425,10827
Branch,Republican,Donald Trump,2455,15862
Jackson,Republican,Donald Trump,5484,21293
Martin,Democrat,Hillary Clinton,2469,9444
Emporia,Democrat,Hillary Clinton,404,2488
Cedar,Republican,Ted Cruz,1404,5970
Philadelphia,Democrat,Hillary Clinton,212785,580017
Williamsburg,Democrat,Bernie Sanders,1197,4391
Jackson,Democrat,Bernie Sanders,1845,8112
Lenoir,Democrat,Hillary Clinton,4731,23569
Summers,Democrat,Bernie Sanders,1060,5350
Logan,Democrat,Bernie Sanders,3201,14699
Monongalia,Democrat,Bernie Sanders,8096,36449
Dunklin,Republican,Donald Trump,1781,12882
Barrow,Republican,Donald Trump,4653,23413
Madison,Republican,Donald Trump,916,4603
Orange,Republican,Donald Trump,2574,7688
Gallatin,Democrat,Bernie Sanders,663,2369
Ford,Republican,Ted Cruz,1281,5651
Lunenburg,Democrat,Hillary Clinton,738,4572
Northampton,Democrat,Hillary Clinton,868,5149
Calhoun,Democrat,Bernie Sanders,503,2061
Douglas,Republican,Donald Trump,1657,5178
Twiggs,Democrat,Hillary Clinton,818,3056
Saint Francis,Democrat,Hillary Clinton,1912,9358
Ottawa,Democrat,Bernie Sanders,1238,12134
Osceola,Republican,Ted Cruz,113,2676
Trimble,Democrat,Bernie Sanders,542,3512
George,Republican,Donald Trump,2245,7842
Flathead,Republican,Donald Trump,10642,36901
Rankin,Republican,Donald Trump,13729,53223
Portage,Democrat,Bernie Sanders,9348,27975
Mobile,Democrat,Hillary Clinton,28927,155178
Elbert,Democrat,Bernie Sanders,144,8240
Lonoke,Republican,Ted Cruz,4028,25052
Cleveland,Democrat,Hillary Clinton,4880,37760
Zapata,Democrat,Hillary Clinton,1969,4460
Broome,Democrat,Bernie Sanders,9176,79763
Coosa,Republican,Donald Trump,1233,4506
Hardin,Republican,Donald Trump,496,1800
Power,Republican,Ted Cruz,421,2568
Oconee,Republican,Donald Trump,2871,11485
Buffalo,Republican,Donald Trump,3748,17705
Edgecombe,Democrat,Hillary Clinton,6411,21021
Adams,Republican,Donald Trump,354,1707
Anne Arundel,Democrat,Hillary Clinton,35659,199904
Big Horn,Democrat,Hillary Clinton,2,4462
Saginaw,Democrat,Hillary Clinton,12348,77412
Chaffee,Democrat,Bernie Sanders,404,7832
St. Joseph,Republican,Ted Cruz,2655,22326
Ware,Republican,Donald Trump,1998,13460
Smith,Republican,Donald Trump,1820,6269
Dawes,Republican,Donald Trump,831,3709
Anson,Democrat,Hillary Clinton,2307,9686
Calhoun,Democrat,Hillary Clinton,200,4356
Tallapoosa,Republican,Donald Trump,4658,16373
Livingston,Republican,Donald Trump,1191,5660
Prairie,Republican,Donald Trump,269,502
Clark,Democrat,Bernie Sanders,1888,14498
Iowa,Democrat,Bernie Sanders,3198,9610
Alger,Democrat,Bernie Sanders,622,3607
Carroll,Republican,Marco Rubio,0,11019
Craig,Democrat,Bernie Sanders,926,5603
Barbour,Democrat,Hillary Clinton,2567,9200
La Paz,Republican,Donald Trump,940,10221
Menominee,Democrat,Bernie Sanders,355,1220
Miller,Republican,Donald Trump,2482,10034
Warren,Democrat,Hillary Clinton,468,2208
Iowa,Democrat,Hillary Clinton,357,6745
Carbon,Republican,Donald Trump,1507,4322
St. Louis City,Democrat,Hillary Clinton,34458,140652
Benton,Democrat,Hillary Clinton,672,10079
Calhoun,Democrat,Hillary Clinton,413,2046
Union,Republican,Donald Trump,2691,9141
Cross,Republican,Donald Trump,972,6818
Bacon,Republican,Donald Trump,904,4036
Collier,Republican,Donald Trump,30071,122972
Tuscaloosa,Democrat,Hillary Clinton,12136,67882
Richland,Democrat,Hillary Clinton,696,7619
Grady,Republican,Donald Trump,1422,9290
Bureau,Republican,Donald Trump,2185,13998
Talbot,Republican,Donald Trump,3104,16013
Manhattan,Democrat,Hillary Clinton,177496,736192
Iberia,Democrat,Hillary Clinton,2171,26496
Vermillion,Republican,Donald Trump,1748,6466
Greene,Republican,Donald Trump,2103,16603
Madison,Republican,Donald Trump,23791,132975
Sacramento,Democrat,Hillary Clinton,68248,517243
Sebastian,Republican,Donald Trump,6030,49294
Johnson,Republican,Donald Trump,1338,10046
El Dorado,Republican,Donald Trump,17651,67885
Whitley,Republican,Donald Trump,1556,13172
Evangeline,Democrat,Hillary Clinton,1319,11967
Hampton,Democrat,Hillary Clinton,13529,52511
Warren,Republican,Donald Trump,1018,6972
Los Alamos,Democrat,Hillary Clinton,1424,7590
Jefferson,Democrat,Hillary Clinton,9936,28367
Morgan,Republican,Donald Trump,1976,8164
Knox,Republican,Donald Trump,642,3776
Jackson,Democrat,Bernie Sanders,3021,15609
Oldham,Democrat,Hillary Clinton,2730,19532
Perry,Democrat,Hillary Clinton,648,3903
Flagler,Republican,Donald Trump,9684,35647
Washita,Democrat,Bernie Sanders,700,4630
Essex,Democrat,Hillary Clinton,642,4286
Howard,Democrat,Hillary Clinton,30873,106142
Scott,Republican,Donald Trump,1929,8914
Payette,Republican,Ted Cruz,1364,8056
Garland,Republican,Donald Trump,5538,39881
Pecos,Democrat,Hillary Clinton,816,4588
Garfield,Republican,Donald Trump,357,465
Glenn,Republican,Donald Trump,1699,9628
Napa,Democrat,Hillary Clinton,7370,49431
Hot Spring,Republican,Donald Trump,1597,12231
Multnomah,Democrat,Bernie Sanders,87247,305939
Travis,Democrat,Bernie Sanders,73889,411876
Trumbull,Democrat,Hillary Clinton,17903,86246
Mercer,Republican,Ted Cruz,1073,6716
Shelby,Republican,Donald Trump,18260,74144
Lexington,Democrat,Hillary Clinton,402,1709
Charles City,Democrat,Hillary Clinton,863,2850
Dallas,Democrat,Hillary Clinton,113574,858332
Beaver,Democrat,Hillary Clinton,12963,70867
Henry,Democrat,Hillary Clinton,15639,69238
Lincoln,Republican,Donald Trump,4144,18714
Choctaw,Democrat,Hillary Clinton,1772,5518
Hudspeth,Democrat,Hillary Clinton,147,1096
San Miguel,Democrat,Bernie Sanders,329,3234
Warren,Republican,Donald Trump,2722,12572
Lafourche,Republican,Donald Trump,2725,35072
Dawson,Republican,Donald Trump,1950,8774
Murray,Republican,Donald Trump,3084,14092
Rosebud,Republican,Donald Trump,959,3268
Wolfe,Democrat,Bernie Sanders,499,2779
Quitman,Democrat,Hillary Clinton,193,932
Clay,Democrat,Hillary Clinton,623,5145
Jasper,Republican,Donald Trump,3903,11924
Butts,Republican,Donald Trump,1884,7776
Kiowa,Democrat,Bernie Sanders,514,3886
Izard,Republican,Donald Trump,873,5682
Garden,Republican,Donald Trump,372,836
Putnam,Democrat,Bernie Sanders,504,2471
Manassas,Democrat,Hillary Clinton,1812,12072
Yankton,Democrat,Hillary Clinton,706,8698
Benton,Democrat,Bernie Sanders,11567,33384
Furnas,Republican,Donald Trump,546,2215
Madison,Republican,Ted Cruz,4079,10323
Petroleum,Republican,Donald Trump,167,233
St. Charles,Democrat,Hillary Clinton,2245,18547
Reynolds,Republican,Donald Trump,647,2664
Clay,Democrat,Hillary Clinton,2372,7750
Oktibbeha,Democrat,Hillary Clinton,2389,18176
LaPorte,Republican,Donald Trump,9494,42690
Brantley,Republican,Donald Trump,1161,6550
Robertson,Democrat,Bernie Sanders,177,884
San Juan,Democrat,Bernie Sanders,27,321
King and Queen,Democrat,Hillary Clinton,477,2863
Calaveras,Republican,Donald Trump,4902,18702
Jackson,Democrat,Hillary Clinton,827,6090
Jefferson,Democrat,Bernie Sanders,8281,219562
McKinley,Democrat,Hillary Clinton,4761,17427
Custer,Republican,Donald Trump,1306,4738
Baraga,Republican,Donald Trump,468,3234
Cassia,Republican,Ted Cruz,2095,7653
McDonough,Republican,Donald Trump,1599,12620
Elbert,Republican,Donald Trump,1394,7635
Sublette,Democrat,Bernie Sanders,3,3502
Nelson,Democrat,Hillary Clinton,2395,16571
Candler,Republican,Donald Trump,897,3861
Calhoun,Democrat,Bernie Sanders,5810,53428
Wayne,Republican,Donald Trump,1376,5589
Arthur,Republican,Donald Trump,68,177
Wetzel,Democrat,Bernie Sanders,1744,6903
Brown,Republican,Donald Trump,555,1544
Lapeer,Republican,Donald Trump,7446,32684
