"county","party","candidate","votes","households"
Kent,Republican,Donald Trump,8294,58524
Phillips,Democrat,Bernie Sanders,18,1668
Chouteau,Republican,Donald Trump,865,2228
Beauregard,Republican,Ted Cruz,1363,12948
Jefferson,Democrat,Bernie Sanders,347,2456
Maverick,Democrat,Hillary Clinton,4342,15714
Buffalo,Democrat,Hillary Clinton,110,542
Appling,Republican,Donald Trump,1290,6934
McDonald,Republican,Donald Trump,1580,8221
Wayne,Democrat,Bernie Sanders,2898,16555
Fremont,Democrat,Hillary Clinton,10,15425
Jefferson,Republican,Ted Cruz,3080,8058
Caroline,Republican,Donald Trump,2521,11806
Monroe,Democrat,Bernie Sanders,15166,53914
Alpena,Republican,Donald Trump,1885,12899
Crockett,Democrat,Hillary Clinton,266,1375
Macon,Democrat,Hillary Clinton,4293,8107
Polk,Republican,Ted Cruz,3430,11937
Cass,Democrat,Hillary Clinton,300,6081
Shoshone,Republican,Donald Trump,632,5714
Chattahoochee,Democrat,Hillary Clinton,182,2613
Lauderdale,Republican,Donald Trump,7502,38458
Davis,Republican,Donald Trump,205,3115
Tunica,Democrat,Hillary Clinton,904,4116
Marin,Democrat,Hillary Clinton,27238,102912
Escambia,Republican,Donald Trump,20856,111689
Mason,Republican,Donald Trump,896,6310
Randolph,Republican,Donald Trump,735,7244
Macoupin,Democrat,Bernie Sanders,3552,19254
Sioux,Republican,Ted Cruz,1524,11623
Logan,Republican,Ted Cruz,2361,10963
Jenkins,Republican,Donald Trump,513,3354
Wilkinson,Democrat,Hillary Clinton,832,3348
Henry,Republican,Donald Trump,1636,9551
Wayne,Democrat,Hillary Clinton,7546,47330
Cleburne,Republican,Donald Trump,2530,10286
Panola,Democrat,Hillary Clinton,3061,11928
Abbeville,Democrat,Hillary Clinton,1501,9809
Grundy,Republican,Donald Trump,3625,18082
Harmon,Democrat,Bernie Sanders,167,1106
El Paso,Democrat,Hillary Clinton,36067,255573
Lee,Democrat,Hillary Clinton,929,14241
Adams,Democrat,Bernie Sanders,3279,152803
Clay,Republican,Donald Trump,1294,5486
Kalamazoo,Democrat,Bernie Sanders,20146,100072
Wayne,Republican,Donald Trump,6116,28185
Dewey,Democrat,Bernie Sanders,342,1687
Little River,Democrat,Hillary Clinton,721,5315
Clayton,Democrat,Bernie Sanders,408,7707
Cass,Republican,Ted Cruz,7671,37307
Taylor,Republican,Donald Trump,1203,7672
Ouachita,Democrat,Hillary Clinton,2095,10733
Midland,Republican,Ted Cruz,4720,33717
Jeff Davis,Republican,Donald Trump,1071,5509
Stone,Republican,Donald Trump,993,5135
Henderson,Democrat,Hillary Clinton,2887,18787
Colquitt,Republican,Donald Trump,2967,15918
Grant,Democrat,Bernie Sanders,715,8334
Camas,Republican,Donald Trump,130,464
Mendocino,Democrat,Bernie Sanders,4654,33878
Pike,Democrat,Bernie Sanders,4848,26362
Forsyth,Democrat,Hillary Clinton,24446,140439
Daviess,Republican,Donald Trump,3894,11160
Metcalfe,Democrat,Bernie Sanders,582,3919
Haywood,Democrat,Hillary Clinton,1197,7099
West Feliciana,Democrat,Hillary Clinton,902,4007
Wabash,Republican,Donald Trump,3932,12703
Edmonson,Republican,Donald Trump,531,4766
Harrison,Republican,Donald Trump,315,5996
Turner,Republican,Donald Trump,652,3166
Bexar,Democrat,Hillary Clinton,76502,604698
St. Clair,Republican,Donald Trump,8596,31353
Bayfield,Democrat,Bernie Sanders,2604,6964
New Madrid,Republican,Donald Trump,1376,7423
Louisa,Republican,Donald Trump,261,4381
Seminole,Republican,Donald Trump,754,3317
Custer,Democrat,Bernie Sanders,45,2048
Lancaster,Republican,Donald Trump,13251,115237
Boone,Republican,Donald Trump,2577,15086
Dallas,Democrat,Hillary Clinton,8577,16173
Deuel,Republican,Donald Trump,274,855
Prairie,Democrat,Hillary Clinton,558,3737
Covington,Republican,Donald Trump,1724,7036
Garfield,Democrat,Bernie Sanders,734,20163
Union,Democrat,Bernie Sanders,1106,5586
Gilmer,Republican,Donald Trump,3314,11513
Montgomery,Democrat,Hillary Clinton,28650,88844
Starke,Republican,Donald Trump,2456,8964
Gladwin,Republican,Donald Trump,1774,10895
Culberson,Democrat,Hillary Clinton,355,838
Buena Vista,Republican,Ted Cruz,309,7615
Wakulla,Republican,Donald Trump,1664,10455
St. Joseph,Republican,Donald Trump,19059,101947
Newton,Republican,Donald Trump,1794,7931
Jefferson,Republican,Donald Trump,17781,80812
Webster,Republican,Ted Cruz,4124,12668
Keith,Republican,Donald Trump,1253,3786
Fayette,Republican,Donald Trump,2744,9536
Marion,Republican,Donald Trump,2760,15893
Albemarle,Democrat,Hillary Clinton,8284,37964
Cass,Republican,Donald Trump,1811,9701
Bolivar,Democrat,Hillary Clinton,3029,12301
Greensville,Democrat,Hillary Clinton,832,3389
Lamar,Republican,Donald Trump,1398,6393
Fulton,Democrat,Hillary Clinton,315,2744
Vernon,Republican,Donald Trump,1530,7999
Evans,Republican,Donald Trump,481,4067
Delaware,Democrat,Bernie Sanders,1773,16589
Dakota,Republican,Donald Trump,819,7309
Wabash,Republican,Donald Trump,977,4785
Coles,Republican,Donald Trump,3156,21046
Cerro Gordo,Democrat,Bernie Sanders,1108,19967
Kimball,Republican,Donald Trump,439,1641
Spalding,Republican,Donald Trump,4257,22997
Daviess,Democrat,Bernie Sanders,5188,37677
Maui,Democrat,Bernie Sanders,4419,52623
Miner,Democrat,Hillary Clinton,109,1053
Humphreys,Democrat,Hillary Clinton,2894,3107
Okeechobee,Republican,Donald Trump,2202,12999
Atchison,Republican,Donald Trump,487,2448
Frio,Democrat,Hillary Clinton,1864,4805
Ouachita,Democrat,Hillary Clinton,8995,57551
Berrien,Republican,Donald Trump,7817,60414
Jones,Democrat,Bernie Sanders,480,8063
Laramie,Democrat,Hillary Clinton,26,36859
Lawrence,Democrat,Bernie Sanders,659,5823
Lowndes,Republican,Donald Trump,5194,39722
Greer,Democrat,Bernie Sanders,332,2246
Essex,Democrat,Bernie Sanders,1932,15919
Allen,Democrat,Hillary Clinton,536,8099
New Castle,Democrat,Hillary Clinton,38580,200739
Lee,Democrat,Hillary Clinton,7137,55864
Sussex,Republican,Donald Trump,17794,76444
St. Charles,Republican,Donald Trump,30489,135974
